,SQUID_Volt(V),timestamp,MOD_CURR(A)
265,-3.01044000E-05,1558940886.491,+1.08275790E+00
266,-2.93102000E-05,1558940886.6993332,+1.08273640E+00
267,-2.99241000E-05,1558940886.9076667,+1.08273860E+00
268,-3.02847000E-05,1558940887.116,+1.08276320E+00
269,-3.02046000E-05,1558940887.3243332,+1.08275240E+00
270,-3.09919000E-05,1558940887.5326667,+1.08275160E+00
271,-3.16059000E-05,1558940887.741,+1.08275770E+00
272,-2.96439000E-05,1558940887.9493332,+1.08277170E+00
273,-2.98641000E-05,1558940888.1576667,+1.08277640E+00
274,-3.09185000E-05,1558940888.366,+1.08277980E+00
275,-3.02245000E-05,1558940892.078,+1.08276720E+00
276,-2.96573000E-05,1558940892.2863333,+1.09931740E+00
277,-3.00377000E-05,1558940892.4946668,+1.09932300E+00
278,-3.10453000E-05,1558940892.703,+1.10095520E+00
279,-3.05515000E-05,1558940892.9113333,+1.12288790E+00
280,-3.09387000E-05,1558940893.1196668,+1.12287770E+00
281,-3.07784000E-05,1558940893.328,+1.12446230E+00
282,-3.04848000E-05,1558940893.5363333,+1.13937910E+00
283,-3.03113000E-05,1558940893.7446668,+1.13937540E+00
284,-3.00377000E-05,1558940893.953,+1.14227280E+00
285,-3.01979000E-05,1558940894.1613333,+1.16296660E+00
286,-3.03245000E-05,1558940894.3696668,+1.16297480E+00
287,-3.01777000E-05,1558940894.578,+1.16652490E+00
288,-3.08385000E-05,1558940894.7863333,+1.17951650E+00
289,-3.08385000E-05,1558940894.9946668,+1.17953640E+00
290,-3.00444000E-05,1558940895.203,+1.17952670E+00
291,-3.09118000E-05,1558940895.4113333,+1.17953270E+00
292,-2.98975000E-05,1558940895.6196668,+1.17952800E+00
293,-3.02179000E-05,1558940895.828,+1.17953590E+00
294,-3.06182000E-05,1558940896.0363333,+1.17953570E+00
295,-3.12589000E-05,1558940896.2446668,+1.17953830E+00
296,-3.13056000E-05,1558940896.453,+1.17954230E+00
297,-3.19730000E-05,1558940896.6613333,+1.17954540E+00
298,-3.06650000E-05,1558940896.8696668,+1.17954490E+00
299,-3.07651000E-05,1558940897.078,+1.17954120E+00
300,-2.99309000E-05,1558940900.566,+1.18957960E+00
301,-3.06918000E-05,1558940900.7743332,+1.19489030E+00
302,-3.04981000E-05,1558940900.9826667,+1.19489700E+00
303,-3.07318000E-05,1558940901.191,+1.21977480E+00
304,-3.12456000E-05,1558940901.3993332,+1.21978010E+00
305,-3.10920000E-05,1558940901.6076667,+1.21980120E+00
306,-2.93102000E-05,1558940901.816,+1.23631160E+00
307,-2.96038000E-05,1558940902.0243332,+1.23631820E+00
308,-3.11721000E-05,1558940902.2326667,+1.23631290E+00
309,-3.08852000E-05,1558940902.441,+1.25990170E+00
310,-3.06583000E-05,1558940902.6493332,+1.25992020E+00
311,-3.09185000E-05,1558940902.8576667,+1.25993080E+00
312,-3.04248000E-05,1558940903.066,+1.27645570E+00
313,-3.07785000E-05,1558940903.2743332,+1.27646630E+00
314,-3.08786000E-05,1558940903.4826667,+1.27647150E+00
315,-3.07784000E-05,1558940903.691,+1.27645830E+00
316,-3.08052000E-05,1558940903.8993332,+1.27646360E+00
317,-3.12656000E-05,1558940904.1076667,+1.27645830E+00
318,-3.09252000E-05,1558940904.316,+1.27646230E+00
319,-3.05248000E-05,1558940904.5243332,+1.27646230E+00
320,-3.02912000E-05,1558940904.7326667,+1.27645830E+00
321,-3.08453000E-05,1558940904.941,+1.27647680E+00
322,-3.10520000E-05,1558940905.1493332,+1.27646630E+00
323,-3.04981000E-05,1558940905.3576667,+1.27646360E+00
324,-3.07050000E-05,1558940905.566,+1.27646230E+00
325,-3.03580000E-05,1558940909.24,+1.28078060E+00
326,-3.06182000E-05,1558940909.4483333,+1.30000450E+00
327,-3.05248000E-05,1558940909.6566668,+1.29999660E+00
