,SQUID_Volt(V),timestamp,MOD_CURR(A)
157,-2.67010000E-05,1558941089.6723332,+6.25328530E-01
158,-2.53328000E-05,1558941089.8806667,+6.25327470E-01
159,-2.54597000E-05,1558941090.089,+6.27771180E-01
160,-2.55131000E-05,1558941090.2973332,+6.45209420E-01
161,-2.55531000E-05,1558941090.5056667,+6.45208500E-01
162,-2.64341000E-05,1558941090.714,+6.49326880E-01
163,-2.63873000E-05,1558941090.9223332,+6.64524000E-01
164,-2.64207000E-05,1558941091.1306667,+6.64529540E-01
165,-2.59135000E-05,1558941091.339,+6.64537730E-01
166,-2.42584000E-05,1558941091.5473332,+6.64552000E-01
167,-2.58600000E-05,1558941091.7556667,+6.64550680E-01
168,-2.56265000E-05,1558941091.964,+6.64554370E-01
169,-2.55464000E-05,1558941092.1723332,+6.64557280E-01
170,-2.58068000E-05,1558941092.3806667,+6.64562170E-01
171,-2.61871000E-05,1558941092.589,+6.64563090E-01
172,-2.59001000E-05,1558941092.7973332,+6.64564150E-01
173,-2.51061000E-05,1558941093.0056667,+6.64567580E-01
174,-2.60870000E-05,1558941093.214,+6.64567320E-01
175,-2.60937000E-05,1558941096.701,+6.76878640E-01
176,-2.52061000E-05,1558941096.9093332,+6.83282290E-01
177,-2.53262000E-05,1558941097.1176667,+6.83292720E-01
178,-2.52062000E-05,1558941097.326,+6.96960400E-01
179,-2.54130000E-05,1558941097.5343332,+7.03209650E-01
180,-2.41250000E-05,1558941097.7426667,+7.03223390E-01
181,-2.61404000E-05,1558941097.951,+7.18237550E-01
182,-2.51728000E-05,1558941098.1593332,+7.22556540E-01
183,-2.56131000E-05,1558941098.3676667,+7.22564070E-01
184,-2.62406000E-05,1558941098.576,+7.38104700E-01
185,-2.53729000E-05,1558941098.7843332,+7.41878630E-01
186,-2.52595000E-05,1558941098.9926667,+7.41889730E-01
187,-2.60337000E-05,1558941099.201,+7.58465260E-01
188,-2.51528000E-05,1558941099.4093332,+7.61829900E-01
189,-2.56866000E-05,1558941099.6176667,+7.61842850E-01
190,-2.59001000E-05,1558941099.826,+7.61853150E-01
191,-2.49058000E-05,1558941100.0343332,+7.61861340E-01
192,-2.50327000E-05,1558941100.2426667,+7.61874280E-01
193,-2.46721000E-05,1558941100.451,+7.61881940E-01
194,-2.51126000E-05,1558941100.6593332,+7.61890660E-01
195,-2.52195000E-05,1558941100.8676667,+7.61899110E-01
196,-2.56933000E-05,1558941101.076,+7.61905180E-01
197,-2.51593000E-05,1558941101.2843332,+7.61912320E-01
198,-2.50791000E-05,1558941101.4926667,+7.61920510E-01
199,-2.52594000E-05,1558941101.701,+7.61927240E-01
200,-2.59469000E-05,1558941105.302,+7.74353740E-01
