,SQUID_Volt(V),timestamp,Temp(V)
147,-2.87964000E-05,1558949484.9373333,+6.90210000E-05
148,-2.88698000E-05,1558949485.1456668,+6.86980000E-05
149,-2.86963000E-05,1558949485.354,+6.90700000E-05
150,-2.86429000E-05,1558949488.953,+6.87850000E-05
151,-2.86628000E-05,1558949489.1613333,+6.93060000E-05
152,-2.84893000E-05,1558949489.3696668,+6.93800000E-05
153,-2.85361000E-05,1558949489.578,+6.96650000E-05
154,-2.85962000E-05,1558949489.7863333,+6.94670000E-05
155,-2.84694000E-05,1558949489.9946668,+6.93920000E-05
156,-2.85962000E-05,1558949490.203,+6.96900000E-05
157,-2.86029000E-05,1558949490.4113333,+6.93920000E-05
158,-2.85027000E-05,1558949490.6196668,+6.92060000E-05
159,-2.85961000E-05,1558949490.828,+6.97390000E-05
160,-2.84760000E-05,1558949491.0363333,+6.93430000E-05
161,-2.84427000E-05,1558949491.2446668,+6.92680000E-05
162,-2.85761000E-05,1558949491.453,+6.87480000E-05
163,-2.86296000E-05,1558949491.6613333,+6.90580000E-05
164,-2.86495000E-05,1558949491.8696668,+6.89210000E-05
165,-2.85495000E-05,1558949492.078,+6.88840000E-05
166,-2.85494000E-05,1558949492.2863333,+6.92060000E-05
167,-2.84226000E-05,1558949492.4946668,+6.89210000E-05
168,-2.85561000E-05,1558949492.703,+6.92560000E-05
169,-2.84560000E-05,1558949492.9113333,+6.89340000E-05
170,-2.85360000E-05,1558949493.1196668,+6.90080000E-05
171,-2.85895000E-05,1558949493.328,+6.88970000E-05
172,-2.86228000E-05,1558949493.5363333,+6.87110000E-05
173,-2.84493000E-05,1558949493.7446668,+6.88100000E-05
174,-2.85761000E-05,1558949493.953,+6.88600000E-05
175,-2.87764000E-05,1558949497.554,+6.90210000E-05
176,-2.86963000E-05,1558949497.7623332,+6.93800000E-05
177,-2.86896000E-05,1558949497.9706666,+6.95530000E-05
178,-2.88230000E-05,1558949498.179,+6.93430000E-05
179,-2.87898000E-05,1558949498.3873332,+6.95410000E-05
180,-2.88832000E-05,1558949498.5956666,+6.96650000E-05
181,-2.88231000E-05,1558949498.804,+6.94170000E-05
182,-2.87564000E-05,1558949499.0123332,+6.95780000E-05
183,-2.87430000E-05,1558949499.2206666,+6.90580000E-05
184,-2.88966000E-05,1558949499.429,+6.94790000E-05
185,-2.88431000E-05,1558949499.6373332,+6.98630000E-05
186,-2.90100000E-05,1558949499.8456666,+6.92190000E-05
187,-2.88365000E-05,1558949500.054,+6.92190000E-05
188,-2.90833000E-05,1558949500.2623332,+6.91070000E-05
189,-2.89032000E-05,1558949500.4706666,+6.95040000E-05
190,-2.89633000E-05,1558949500.679,+6.91320000E-05
191,-2.88964000E-05,1558949500.8873332,+6.91690000E-05
192,-2.88899000E-05,1558949501.0956666,+6.90580000E-05
193,-2.89832000E-05,1558949501.304,+6.95910000E-05
194,-2.90032000E-05,1558949501.5123332,+6.91940000E-05
195,-2.89433000E-05,1558949501.7206666,+6.95780000E-05
196,-2.91234000E-05,1558949501.929,+6.93060000E-05
197,-2.88964000E-05,1558949502.1373332,+6.90950000E-05
198,-2.91166000E-05,1558949502.3456666,+6.93430000E-05
199,-2.90100000E-05,1558949502.554,+6.94050000E-05
200,-2.91100000E-05,1558949506.153,+6.90580000E-05
201,-2.89698000E-05,1558949506.3613334,+6.93920000E-05
202,-2.88832000E-05,1558949506.5696669,+7.02470000E-05
203,-2.86763000E-05,1558949506.778,+6.99370000E-05
204,-2.90032000E-05,1558949506.9863334,+6.96030000E-05
205,-2.89032000E-05,1558949507.1946669,+6.97760000E-05
206,-2.90699000E-05,1558949507.403,+7.00610000E-05
207,-2.90032000E-05,1558949507.6113334,+6.94540000E-05
208,-2.88898000E-05,1558949507.8196669,+6.94170000E-05
209,-2.89898000E-05,1558949508.028,+6.98260000E-05
210,-2.90767000E-05,1558949508.2363334,+6.92440000E-05
211,-2.89965000E-05,1558949508.4446669,+6.96520000E-05
212,-2.90299000E-05,1558949508.653,+6.92060000E-05
213,-2.90833000E-05,1558949508.8613334,+6.92440000E-05
214,-2.89366000E-05,1558949509.0696669,+6.92810000E-05
215,-2.89432000E-05,1558949509.278,+6.89590000E-05
216,-2.88565000E-05,1558949509.4863334,+6.93550000E-05
217,-2.93235000E-05,1558949509.6946669,+6.89710000E-05
218,-2.87497000E-05,1558949509.903,+6.95530000E-05
219,-2.88096000E-05,1558949510.1113334,+6.93300000E-05
220,-2.89633000E-05,1558949510.3196669,+6.88350000E-05
221,-2.90634000E-05,1558949510.528,+6.88970000E-05
222,-2.89231000E-05,1558949510.7363334,+6.87480000E-05
223,-2.89164000E-05,1558949510.9446669,+6.89590000E-05
224,-2.89765000E-05,1558949511.153,+6.89960000E-05
225,-2.86430000E-05,1558949514.754,+6.92560000E-05
226,-2.85895000E-05,1558949514.9623332,+6.91070000E-05
227,-2.85962000E-05,1558949515.1706667,+6.95040000E-05
228,-2.86762000E-05,1558949515.379,+6.90830000E-05
229,-2.84760000E-05,1558949515.5873332,+6.92440000E-05
230,-2.85427000E-05,1558949515.7956667,+6.89960000E-05
231,-2.86362000E-05,1558949516.004,+6.88970000E-05
232,-2.85895000E-05,1558949516.2123332,+6.86240000E-05
233,-2.85629000E-05,1558949516.4206667,+6.93060000E-05
234,-2.85827000E-05,1558949516.629,+6.88470000E-05
235,-2.85295000E-05,1558949516.8373332,+6.87110000E-05
