,SQUID_Volt(V),timestamp,Temp(V),SQUID_Curr(A)
156,+1.23013000E-06,1558906616.561,+1.09000000E-06,-1.49211300E-03
157,+1.21545000E-06,1558906616.7693334,+1.36300000E-06,-1.49211300E-03
158,+1.18740000E-06,1558906616.9776669,+1.48700000E-06,-1.49213900E-03
159,+1.25217000E-06,1558906617.186,+1.43700000E-06,-1.49232100E-03
160,+1.19340000E-06,1558906617.3943334,+1.51100000E-06,-1.49221700E-03
161,+1.13330000E-06,1558906617.6026669,+1.45000000E-06,-1.49226900E-03
162,+1.17537000E-06,1558906617.811,+1.26400000E-06,-1.49226900E-03
163,+1.13264000E-06,1558906618.0193334,+1.46200000E-06,-1.49241200E-03
164,+1.21545000E-06,1558906618.2276669,+1.75900000E-06,-1.49233400E-03
165,+1.13798000E-06,1558906618.436,+1.73400000E-06,-1.49230800E-03
166,+1.21611000E-06,1558906618.6443334,+1.82100000E-06,-1.49236000E-03
167,+1.19341000E-06,1558906618.8526669,+1.40000000E-06,-1.49212600E-03
168,+1.23281000E-06,1558906619.061,+1.36300000E-06,-1.49225600E-03
169,+1.23948000E-06,1558906619.2693334,+1.58600000E-06,-1.49224300E-03
170,+1.24817000E-06,1558906619.4776669,+1.58600000E-06,-1.49203500E-03
171,+1.28957000E-06,1558906619.686,+1.40000000E-06,-1.49207400E-03
172,+1.27554000E-06,1558906619.8943334,+1.32600000E-06,-1.49197000E-03
173,+1.31896000E-06,1558906620.1026669,+1.48700000E-06,-1.49195700E-03
174,+1.36170000E-06,1558906620.311,+1.05300000E-06,-1.49238600E-03
175,+1.50729000E-06,1558906623.911,+1.53600000E-06,-1.49259400E-03
176,+1.47055000E-06,1558906624.1193333,+1.41200000E-06,-1.49221700E-03
177,+1.53266000E-06,1558906624.3276668,+1.26400000E-06,-1.49217800E-03
178,+1.54134000E-06,1558906624.536,+1.58600000E-06,-1.49232100E-03
179,+1.49460000E-06,1558906624.7443333,+1.47400000E-06,-1.49206100E-03
180,+1.52465000E-06,1558906624.9526668,+1.31300000E-06,-1.49239900E-03
181,+1.50060000E-06,1558906625.161,+1.54900000E-06,-1.44379400E-03
182,+1.47390000E-06,1558906625.3693333,+1.43700000E-06,-1.37625800E-03
183,+1.49126000E-06,1558906625.5776668,+1.61100000E-06,-1.38022400E-03
184,+1.50928000E-06,1558906625.786,+1.49900000E-06,-1.38158900E-03
185,+1.55069000E-06,1558906625.9943333,+1.58600000E-06,-1.38256400E-03
186,+1.53533000E-06,1558906626.2026668,+1.61100000E-06,-1.38342200E-03
187,+1.55737000E-06,1558906626.411,+1.38800000E-06,-1.38208300E-03
188,+1.54868000E-06,1558906626.6193333,+1.48700000E-06,-1.38394200E-03
189,+1.45452000E-06,1558906626.8276668,+1.37500000E-06,-1.38456700E-03
190,+1.51329000E-06,1558906627.036,+1.25100000E-06,-1.38504800E-03
191,+1.49659000E-06,1558906627.2443333,+1.40000000E-06,-1.38591900E-03
192,+1.43783000E-06,1558906627.4526668,+1.64800000E-06,-1.38589300E-03
193,+1.47323000E-06,1558906627.661,+1.75900000E-06,-1.38654300E-03
194,+1.42247000E-06,1558906627.8693333,+1.64800000E-06,-1.38721900E-03
195,+1.43182000E-06,1558906628.0776668,+1.59800000E-06,-1.38766100E-03
196,+1.39309000E-06,1558906628.286,+1.53600000E-06,-1.38805100E-03
197,+1.40511000E-06,1558906628.4943333,+1.33800000E-06,-1.38823300E-03
198,+1.40377000E-06,1558906628.7026668,+1.40000000E-06,-1.38875300E-03
199,+1.34300000E-06,1558906628.911,+1.83400000E-06,-1.38901400E-03
200,+1.34500000E-06,1558906632.512,+1.28800000E-06,-1.38969000E-03
201,+1.35836000E-06,1558906632.7203333,+1.59800000E-06,-1.38982000E-03
