,Temp(V),timestamp
1869,+1.21904380E+00,1558939589.8383334
1870,+1.21887280E+00,1558939590.0466669
1871,+1.21899180E+00,1558939590.255
1872,+1.21910580E+00,1558939590.4633334
1873,+1.21938350E+00,1558939590.6716669
1874,+1.21928680E+00,1558939590.88
1875,+1.21905750E+00,1558939594.439
1876,+1.21884920E+00,1558939594.6473331
1877,+1.21913680E+00,1558939594.8556666
1878,+1.21933640E+00,1558939595.064
1879,+1.21877980E+00,1558939595.2723331
1880,+1.21945780E+00,1558939595.4806666
1881,+1.21965740E+00,1558939595.689
1882,+1.21915040E+00,1558939595.8973331
1883,+1.21968960E+00,1558939596.1056666
1884,+1.21911200E+00,1558939596.314
1885,+1.21910950E+00,1558939596.5223331
1886,+1.21921360E+00,1558939596.7306666
1887,+1.21909340E+00,1558939596.939
1888,+1.21899920E+00,1558939597.1473331
1889,+1.21920000E+00,1558939597.3556666
1890,+1.21928180E+00,1558939597.564
1891,+1.21895090E+00,1558939597.7723331
1892,+1.21977020E+00,1558939597.9806666
1893,+1.21910210E+00,1558939598.189
1894,+1.21979500E+00,1558939598.3973331
1895,+1.21920370E+00,1558939598.6056666
1896,+1.21953840E+00,1558939598.814
1897,+1.21928060E+00,1558939599.0223331
1898,+1.21902520E+00,1558939599.2306666
1899,+1.21908840E+00,1558939599.439
1900,+1.21905990E+00,1558939603.039
1901,+1.21897570E+00,1558939603.2473333
1902,+1.21875130E+00,1558939603.4556668
1903,+1.21900170E+00,1558939603.664
1904,+1.21884920E+00,1558939603.8723333
1905,+1.21888520E+00,1558939604.0806668
1906,+1.21919630E+00,1558939604.289
1907,+1.21861000E+00,1558939604.4973333
1908,+1.21854310E+00,1558939604.7056668
1909,+1.21882940E+00,1558939604.914
1910,+1.21842780E+00,1558939605.1223333
1911,+1.21822700E+00,1558939605.3306668
1912,+1.21889010E+00,1558939605.539
1913,+1.21890250E+00,1558939605.7473333
1914,+1.21879720E+00,1558939605.9556668
1915,+1.21846870E+00,1558939606.164
1916,+1.21820710E+00,1558939606.3723333
1917,+1.21850090E+00,1558939606.5806668
1918,+1.21879720E+00,1558939606.789
1919,+1.21878480E+00,1558939606.9973333
1920,+1.21862610E+00,1558939607.2056668
1921,+1.21884920E+00,1558939607.414
1922,+1.21859640E+00,1558939607.6223333
1923,+1.21902400E+00,1558939607.8306668
1924,+1.21973050E+00,1558939608.039
1925,+1.21917650E+00,1558939611.639
1926,+1.21949250E+00,1558939611.8473332
1927,+1.21932520E+00,1558939612.0556667
1928,+1.21855670E+00,1558939612.264
1929,+1.21845010E+00,1558939612.4723332
1930,+1.21817990E+00,1558939612.6806667
1931,+1.21802490E+00,1558939612.889
1932,+1.21806090E+00,1558939613.0973332
1933,+1.21784520E+00,1558939613.3056667
1934,+1.21827780E+00,1558939613.514
1935,+1.21753280E+00,1558939613.7223332
1936,+1.21768530E+00,1558939613.9306667
1937,+1.21802000E+00,1558939614.139
1938,+1.21764190E+00,1558939614.3473332
1939,+1.21853690E+00,1558939614.5556667
1940,+1.21978510E+00,1558939614.764
1941,+1.22156630E+00,1558939614.9723332
1942,+1.22421760E+00,1558939615.1806667
1943,+1.22637070E+00,1558939615.389
1944,+1.22948560E+00,1558939615.5973332
1945,+1.22846300E+00,1558939615.8056667
1946,+1.23117750E+00,1558939616.014
1947,+1.23260800E+00,1558939616.2223332
1948,+1.23517380E+00,1558939616.4306667
1949,+1.23963730E+00,1558939616.639
1950,+1.25978360E+00,1558939620.239
1951,+1.26590810E+00,1558939620.4473333
1952,+1.27516980E+00,1558939620.6556668
1953,+1.28229590E+00,1558939620.864
1954,+1.29477420E+00,1558939621.0723333
1955,+1.30962870E+00,1558939621.2806668
1956,+1.32112530E+00,1558939621.489
1957,+1.33066840E+00,1558939621.6973333
1958,+1.33528930E+00,1558939621.9056668
1959,+1.34105930E+00,1558939622.114
1960,+1.34131340E+00,1558939622.3223333
1961,+1.34275750E+00,1558939622.5306668
1962,+1.34523650E+00,1558939622.739
1963,+1.34698300E+00,1558939622.9473333
1964,+1.34750240E+00,1558939623.1556668
1965,+1.34908900E+00,1558939623.364
1966,+1.35013140E+00,1558939623.5723333
1967,+1.35047230E+00,1558939623.7806668
1968,+1.35182210E+00,1558939623.989
1969,+1.35257330E+00,1558939624.1973333
1970,+1.35309390E+00,1558939624.4056668
1971,+1.35390200E+00,1558939624.614
1972,+1.35451680E+00,1558939624.8223333
1973,+1.35532870E+00,1558939625.0306668
1974,+1.35614190E+00,1558939625.239
1975,+1.35745950E+00,1558939628.839
1976,+1.35848700E+00,1558939629.0473332
1977,+1.35912040E+00,1558939629.2556667
1978,+1.36000790E+00,1558939629.464
1979,+1.36072440E+00,1558939629.6723332
1980,+1.36136030E+00,1558939629.8806667
1981,+1.36203580E+00,1558939630.089
1982,+1.36263570E+00,1558939630.2973332
1983,+1.36320120E+00,1558939630.5056667
1984,+1.36388290E+00,1558939630.714
1985,+1.36445180E+00,1558939630.9223332
1986,+1.36488690E+00,1558939631.1306667
1987,+1.36522280E+00,1558939631.339
1988,+1.36561820E+00,1558939631.5473332
1989,+1.36597770E+00,1558939631.7556667
1990,+1.36639420E+00,1558939631.964
1991,+1.36672390E+00,1558939632.1723332
1992,+1.36687510E+00,1558939632.3806667
1993,+1.36728410E+00,1558939632.589
1994,+1.36755440E+00,1558939632.7973332
1995,+1.36775640E+00,1558939633.0056667
1996,+1.36846910E+00,1558939633.214
1997,+1.36891040E+00,1558939633.4223332
1998,+1.36964670E+00,1558939633.6306667
1999,+1.37089240E+00,1558939633.839
2000,+1.37225960E+00,1558939637.44
2001,+1.37329460E+00,1558939637.6483333
2002,+1.37345570E+00,1558939637.8566668
2003,+1.37366890E+00,1558939638.065
2004,+1.37394040E+00,1558939638.2733333
2005,+1.37414370E+00,1558939638.4816668
2006,+1.37472010E+00,1558939638.69
2007,+1.37573400E+00,1558939638.8983333
2008,+1.37631910E+00,1558939639.1066668
2009,+1.37815600E+00,1558939639.315
2010,+1.38133050E+00,1558939639.5233333
2011,+1.38851230E+00,1558939639.7316668
2012,+1.39612050E+00,1558939639.94
2013,+1.40499300E+00,1558939640.1483333
2014,+1.41657760E+00,1558939640.3566668
2015,+1.42536460E+00,1558939640.565
2016,+1.43656870E+00,1558939640.7733333
2017,+1.44669680E+00,1558939640.9816668
2018,+1.45080590E+00,1558939641.19
2019,+1.45047860E+00,1558939641.3983333
2020,+1.45112440E+00,1558939641.6066668
2021,+1.45224120E+00,1558939641.815
2022,+1.45259700E+00,1558939642.0233333
2023,+1.45324650E+00,1558939642.2316668
2024,+1.45325520E+00,1558939642.44
2025,+1.45436700E+00,1558939646.039
2026,+1.45549750E+00,1558939646.2473333
2027,+1.45553840E+00,1558939646.4556668
2028,+1.45601190E+00,1558939646.664
2029,+1.45648780E+00,1558939646.8723333
2030,+1.45675680E+00,1558939647.0806668
2031,+1.45711500E+00,1558939647.289
2032,+1.45772240E+00,1558939647.4973333
2033,+1.45789720E+00,1558939647.7056668
2034,+1.45831990E+00,1558939647.914
2035,+1.45868430E+00,1558939648.1223333
2036,+1.45890740E+00,1558939648.3306668
2037,+1.45930650E+00,1558939648.539
2038,+1.45957300E+00,1558939648.7473333
2039,+1.45976890E+00,1558939648.9556668
2040,+1.46000690E+00,1558939649.164
2041,+1.46010110E+00,1558939649.3723333
2042,+1.46027090E+00,1558939649.5806668
2043,+1.46049900E+00,1558939649.789
2044,+1.46059070E+00,1558939649.9973333
2045,+1.46077410E+00,1558939650.2056668
2046,+1.46094020E+00,1558939650.414
2047,+1.46089440E+00,1558939650.6223333
2048,+1.46098980E+00,1558939650.8306668
2049,+1.46115090E+00,1558939651.039
2050,+1.46116710E+00,1558939654.64
2051,+1.46127740E+00,1558939654.8483334
2052,+1.46125750E+00,1558939655.0566669
2053,+1.46132570E+00,1558939655.265
2054,+1.46135170E+00,1558939655.4733334
2055,+1.46127120E+00,1558939655.6816669
2056,+1.46133560E+00,1558939655.89
2057,+1.46134930E+00,1558939656.0983334
2058,+1.46131700E+00,1558939656.3066669
2059,+1.46134550E+00,1558939656.515
2060,+1.46130710E+00,1558939656.7233334
2061,+1.46119800E+00,1558939656.9316669
2062,+1.46127610E+00,1558939657.14
2063,+1.46115710E+00,1558939657.3483334
2064,+1.46111500E+00,1558939657.5566669
2065,+1.46112740E+00,1558939657.765
2066,+1.46106170E+00,1558939657.9733334
2067,+1.46100720E+00,1558939658.1816669
2068,+1.46099100E+00,1558939658.39
2069,+1.46088070E+00,1558939658.5983334
2070,+1.46088070E+00,1558939658.8066669
2071,+1.46080260E+00,1558939659.015
2072,+1.46067740E+00,1558939659.2233334
2073,+1.46072830E+00,1558939659.4316669
2074,+1.46112370E+00,1558939659.64
