,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
186,-3.91071000E-05,1558914670.2486668,+7.62006750E-01,+6.03828500E-03
187,-3.89669000E-05,1558914670.457,+7.75282200E-01,+6.03815500E-03
188,-3.91270000E-05,1558914670.6653333,+7.81339430E-01,+6.03823300E-03
189,-3.89401000E-05,1558914670.8736668,+7.81337180E-01,+6.03833700E-03
190,-3.94942000E-05,1558914671.082,+7.81342200E-01,+6.03844100E-03
191,-3.89268000E-05,1558914671.2903333,+7.81341670E-01,+6.03877900E-03
192,-3.93272000E-05,1558914671.4986668,+7.81351050E-01,+6.03845400E-03
193,-3.90137000E-05,1558914671.707,+7.81354220E-01,+6.03820700E-03
194,-3.92872000E-05,1558914671.9153333,+7.81354750E-01,+6.03828500E-03
195,-3.91271000E-05,1558914672.1236668,+7.81359370E-01,+6.03833700E-03
196,-3.89268000E-05,1558914672.332,+7.81354480E-01,+6.03845400E-03
197,-3.92739000E-05,1558914672.5403333,+7.81360290E-01,+6.03770000E-03
198,-3.91737000E-05,1558914672.7486668,+7.81360560E-01,+6.03802500E-03
199,-3.93806000E-05,1558914672.957,+7.81362800E-01,+6.03841500E-03
200,-3.93272000E-05,1558914676.558,+7.90785590E-01,+6.03803800E-03
201,-3.94408000E-05,1558914676.7663333,+8.00662320E-01,+6.03802500E-03
202,-3.93005000E-05,1558914676.9746668,+8.00665890E-01,+6.03764800E-03
203,-3.93672000E-05,1558914677.183,+8.10017340E-01,+6.03809000E-03
204,-3.94942000E-05,1558914677.3913333,+8.18840680E-01,+6.03806400E-03
205,-3.95008000E-05,1558914677.5996668,+8.18844770E-01,+6.03844100E-03
206,-3.94875000E-05,1558914677.808,+8.33306200E-01,+6.03807700E-03
207,-3.94474000E-05,1558914678.0163333,+8.42825930E-01,+6.03803800E-03
208,-3.95141000E-05,1558914678.2246668,+8.42834380E-01,+6.03781700E-03
209,-3.95409000E-05,1558914678.433,+8.52765000E-01,+6.03835000E-03
210,-3.98077000E-05,1558914678.6413333,+8.58646530E-01,+6.03807700E-03
211,-3.96542000E-05,1558914678.8496668,+8.58654850E-01,+6.03818100E-03
212,-3.95608000E-05,1558914679.058,+8.70424430E-01,+6.03816800E-03
213,-4.00212000E-05,1558914679.2663333,+8.75051940E-01,+6.03818100E-03
214,-3.95741000E-05,1558914679.4746668,+8.75050750E-01,+6.03797300E-03
215,-3.97276000E-05,1558914679.683,+8.75054320E-01,+6.03767400E-03
216,-3.98812000E-05,1558914679.8913333,+8.75060920E-01,+6.03786900E-03
217,-3.97743000E-05,1558914680.0996668,+8.75058410E-01,+6.03801200E-03
218,-3.98879000E-05,1558914680.308,+8.75059470E-01,+6.03798600E-03
219,-3.98479000E-05,1558914680.5163333,+8.75061180E-01,+6.03814200E-03
220,-4.00212000E-05,1558914680.7246668,+8.75054840E-01,+6.03820700E-03
221,-4.02682000E-05,1558914680.933,+8.75067660E-01,+6.03771300E-03
222,-3.99680000E-05,1558914681.1413333,+8.75070830E-01,+6.03777800E-03
223,-3.99813000E-05,1558914681.3496668,+8.75072810E-01,+6.03786900E-03
224,-3.97877000E-05,1558914681.558,+8.75080730E-01,+6.03806400E-03
225,-4.00281000E-05,1558914685.157,+8.87543020E-01,+6.03777800E-03
226,-4.01480000E-05,1558914685.3653333,+8.99078960E-01,+6.03796000E-03
227,-4.01614000E-05,1558914685.5736668,+8.99085820E-01,+6.03796000E-03
228,-4.01547000E-05,1558914685.782,+9.07696500E-01,+6.03784300E-03
229,-4.02748000E-05,1558914685.9903333,+9.14924790E-01,+6.03746600E-03
230,-4.01680000E-05,1558914686.1986668,+9.14928750E-01,+6.03784300E-03
231,-4.05086000E-05,1558914686.407,+9.30092420E-01,+6.03803800E-03
232,-4.05018000E-05,1558914686.6153333,+9.38917060E-01,+6.03803800E-03
233,-4.02549000E-05,1558914686.8236668,+9.38923130E-01,+6.03815500E-03
234,-4.04016000E-05,1558914687.032,+9.49325520E-01,+6.03793400E-03
235,-4.06154000E-05,1558914687.2403333,+9.54729900E-01,+6.03818100E-03
236,-4.04017000E-05,1558914687.4486668,+9.54734920E-01,+6.03794700E-03
237,-4.04216000E-05,1558914687.657,+9.71089870E-01,+6.03799900E-03
238,-4.06353000E-05,1558914687.8653333,+9.78725610E-01,+6.03789500E-03
239,-4.06420000E-05,1558914688.0736668,+9.78730230E-01,+6.03810300E-03
240,-4.05285000E-05,1558914688.282,+9.78730360E-01,+6.03805100E-03
241,-4.07154000E-05,1558914688.4903333,+9.78729970E-01,+6.03818100E-03
242,-4.07420000E-05,1558914688.6986668,+9.78732740E-01,+6.03835000E-03
243,-4.06287000E-05,1558914688.907,+9.78731950E-01,+6.03790800E-03
244,-4.09690000E-05,1558914689.1153333,+9.78740140E-01,+6.03815500E-03
245,-4.08222000E-05,1558914689.3236668,+9.78740930E-01,+6.03818100E-03
246,-4.09423000E-05,1558914689.532,+9.78741720E-01,+6.03846700E-03
247,-4.10023000E-05,1558914689.7403333,+9.78733530E-01,+6.03810300E-03
248,-4.08088000E-05,1558914689.9486668,+9.78736840E-01,+6.03776500E-03
249,-4.10957000E-05,1558914690.157,+9.78737230E-01,+6.03828500E-03
250,-4.11292000E-05,1558914693.758,+9.86700640E-01,+6.03812900E-03
251,-4.10423000E-05,1558914693.9663332,+9.95140520E-01,+6.03831100E-03
252,-4.10824000E-05,1558914694.1746666,+9.95143950E-01,+6.03772600E-03
253,-4.10891000E-05,1558914694.383,+1.01900560E+00,+6.03845400E-03
254,-4.10758000E-05,1558914694.5913332,+1.01867590E+00,+6.03810300E-03
255,-4.12826000E-05,1558914694.7996666,+1.01863330E+00,+6.03806400E-03
256,-4.12359000E-05,1558914695.008,+1.04221670E+00,+6.03796000E-03
257,-4.13226000E-05,1558914695.2163332,+1.04221440E+00,+6.03815500E-03
258,-4.13428000E-05,1558914695.4246666,+1.04220480E+00,+6.03802500E-03
259,-4.13694000E-05,1558914695.633,+1.05867200E+00,+6.03807700E-03
260,-4.15495000E-05,1558914695.8413332,+1.05866670E+00,+6.03812900E-03
261,-4.16163000E-05,1558914696.0496666,+1.05866220E+00,+6.03793400E-03
262,-4.14294000E-05,1558914696.258,+1.08226690E+00,+6.03793400E-03
263,-4.15896000E-05,1558914696.4663332,+1.08227590E+00,+6.03789500E-03
264,-4.15428000E-05,1558914696.6746666,+1.08227940E+00,+6.03812900E-03
265,-4.17164000E-05,1558914696.883,+1.08228550E+00,+6.03790800E-03
266,-4.18766000E-05,1558914697.0913332,+1.08228790E+00,+6.03802500E-03
267,-4.16563000E-05,1558914697.2996666,+1.08229260E+00,+6.03784300E-03
268,-4.16698000E-05,1558914697.508,+1.08227880E+00,+6.03812900E-03
269,-4.16497000E-05,1558914697.7163332,+1.08228930E+00,+6.03792100E-03
270,-4.18032000E-05,1558914697.9246666,+1.08228790E+00,+6.03793400E-03
271,-4.16830000E-05,1558914698.133,+1.08228390E+00,+6.03789500E-03
272,-4.19366000E-05,1558914698.3413332,+1.08229050E+00,+6.03807700E-03
273,-4.19968000E-05,1558914698.5496666,+1.08227840E+00,+6.03805100E-03
274,-4.19033000E-05,1558914698.758,+1.08228330E+00,+6.03766100E-03
