,SQUID_Volt(V),timestamp,MOD_CURR(A)
154,-2.95400500E-05,1558943794.2813332,+6.06112380E-01
155,-2.96222000E-05,1558943794.4896667,+6.06116070E-01
156,-2.96221800E-05,1558943794.698,+6.08434490E-01
157,-2.95533900E-05,1558943794.9063332,+6.25455710E-01
158,-2.94325200E-05,1558943795.1146667,+6.25456770E-01
159,-2.94445400E-05,1558943795.323,+6.28298810E-01
160,-2.94692600E-05,1558943795.5313332,+6.45335420E-01
161,-2.94138200E-05,1558943795.7396667,+6.45339250E-01
162,-2.94245100E-05,1558943795.948,+6.48524280E-01
163,-2.94118200E-05,1558943796.1563332,+6.64662540E-01
164,-2.94245200E-05,1558943796.3646667,+6.64671260E-01
165,-2.94719200E-05,1558943796.573,+6.64673630E-01
166,-2.93470500E-05,1558943796.7813332,+6.64675480E-01
167,-2.92702300E-05,1558943796.9896667,+6.64679180E-01
168,-2.94886300E-05,1558943797.198,+6.64681030E-01
169,-2.93076500E-05,1558943797.4063332,+6.64684200E-01
170,-2.95033100E-05,1558943797.6146667,+6.64685780E-01
171,-2.94218400E-05,1558943797.823,+6.64684460E-01
172,-2.94478900E-05,1558943798.0313332,+6.64681430E-01
173,-2.94919700E-05,1558943798.2396667,+6.64689610E-01
174,-2.95293600E-05,1558943798.448,+6.64687500E-01
175,-2.93590700E-05,1558943801.937,+6.76893700E-01
176,-2.94104900E-05,1558943802.1453333,+6.83414090E-01
177,-2.94011400E-05,1558943802.3536668,+6.83417260E-01
178,-2.92963000E-05,1558943802.562,+6.98104790E-01
179,-2.93183300E-05,1558943802.7703333,+7.03338680E-01
180,-2.92415400E-05,1558943802.9786668,+7.03341330E-01
181,-2.91974400E-05,1558943803.187,+7.18027290E-01
182,-2.91573700E-05,1558943803.3953333,+7.22658770E-01
183,-2.91006200E-05,1558943803.6036668,+7.22658500E-01
184,-2.91994500E-05,1558943803.812,+7.37796050E-01
185,-2.90625600E-05,1558943804.0203333,+7.41986670E-01
186,-2.90351700E-05,1558943804.2286668,+7.41990630E-01
187,-2.89102800E-05,1558943804.437,+7.59322660E-01
188,-2.89670400E-05,1558943804.6453333,+7.61910340E-01
189,-2.90184800E-05,1558943804.8536668,+7.61922750E-01
190,-2.88007700E-05,1558943805.062,+7.61921300E-01
191,-2.87960900E-05,1558943805.2703333,+7.61929220E-01
192,-2.88067800E-05,1558943805.4786668,+7.61928300E-01
193,-2.87627000E-05,1558943805.687,+7.61926180E-01
194,-2.87593600E-05,1558943805.8953333,+7.61935030E-01
195,-2.88054300E-05,1558943806.1036668,+7.61924860E-01
196,-2.85984200E-05,1558943806.312,+7.61926710E-01
197,-2.87840700E-05,1558943806.5203333,+7.61931600E-01
198,-2.86137600E-05,1558943806.7286668,+7.61934900E-01
199,-2.85917300E-05,1558943806.937,+7.61934110E-01
200,-2.86010900E-05,1558943810.536,+7.74717730E-01
201,-2.86438200E-05,1558943810.7443333,+7.81268770E-01
202,-2.87059400E-05,1558943810.9526668,+7.81273260E-01
203,-2.86992600E-05,1558943811.161,+7.94476320E-01
204,-2.85650200E-05,1558943811.3693333,+8.00566700E-01
205,-2.84882200E-05,1558943811.5776668,+8.00567490E-01
206,-2.85329600E-05,1558943811.786,+8.14535100E-01
207,-2.85576800E-05,1558943811.9943333,+8.18731580E-01
208,-2.83599900E-05,1558943812.2026668,+8.18729740E-01
209,-2.83606600E-05,1558943812.411,+8.37738250E-01
210,-2.83018900E-05,1558943812.6193333,+8.42709440E-01
211,-2.83433100E-05,1558943812.8276668,+8.42715650E-01
212,-2.82291100E-05,1558943813.036,+8.56606560E-01
213,-2.81182500E-05,1558943813.2443333,+8.58520140E-01
214,-2.81616400E-05,1558943813.4526668,+8.58524100E-01
215,-2.79225800E-05,1558943813.661,+8.58531100E-01
216,-2.78824900E-05,1558943813.8693333,+8.58535720E-01
