,SQUID_Volt(V),timestamp,MOD_CURR(A)
172,-2.89902000E-05,1558932802.8063333,+6.82266790E-01
173,-2.85832000E-05,1558932803.0146668,+6.82276300E-01
174,-2.74018000E-05,1558932803.223,+6.82289110E-01
175,-2.73085000E-05,1558932806.695,+6.95511840E-01
176,-2.74887000E-05,1558932806.9033332,+7.02197950E-01
177,-2.79692000E-05,1558932807.1116667,+7.02213000E-01
178,-2.81895000E-05,1558932807.32,+7.15521770E-01
179,-2.75820000E-05,1558932807.5283332,+7.21537080E-01
180,-2.74754000E-05,1558932807.7366667,+7.21563370E-01
181,-2.93305000E-05,1558932807.945,+7.36544810E-01
182,-2.85563000E-05,1558932808.1533332,+7.40880840E-01
183,-2.86900000E-05,1558932808.3616667,+7.40898010E-01
184,-2.77623000E-05,1558932808.57,+7.56834970E-01
185,-2.80626000E-05,1558932808.7783332,+7.60830260E-01
186,-2.79958000E-05,1558932808.9866667,+7.60847820E-01
187,-2.80092000E-05,1558932809.195,+7.78010700E-01
188,-2.84697000E-05,1558932809.4033332,+7.80187900E-01
189,-2.94374000E-05,1558932809.6116667,+7.80203220E-01
190,-3.00113000E-05,1558932809.82,+7.80214840E-01
191,-3.03582000E-05,1558932810.0283332,+7.80230160E-01
192,-3.14727000E-05,1558932810.2366667,+7.80239670E-01
193,-3.14193000E-05,1558932810.445,+7.80258950E-01
194,-3.17063000E-05,1558932810.6533332,+7.80287610E-01
195,-3.00580000E-05,1558932810.8616667,+7.80315210E-01
196,-3.01047000E-05,1558932811.07,+7.80345990E-01
197,-2.95842000E-05,1558932811.2783332,+7.80366850E-01
198,-2.91771000E-05,1558932811.4866667,+7.80377150E-01
199,-2.90303000E-05,1558932811.695,+7.80389570E-01
200,-2.94640000E-05,1558932815.294,+7.92439650E-01
201,-2.90170000E-05,1558932815.5023332,+7.99697010E-01
202,-3.05318000E-05,1558932815.7106667,+7.99707580E-01
203,-2.90102000E-05,1558932815.919,+8.12642520E-01
204,-2.90368000E-05,1558932816.1273332,+8.17883370E-01
205,-2.94574000E-05,1558932816.3356667,+8.17902970E-01
206,-2.96442000E-05,1558932816.544,+8.37045930E-01
207,-3.03516000E-05,1558932816.7523332,+8.41884660E-01
208,-2.90769000E-05,1558932816.9606667,+8.41906580E-01
209,-2.95241000E-05,1558932817.169,+8.54932020E-01
210,-2.94973000E-05,1558932817.3773332,+8.57726920E-01
211,-2.89436000E-05,1558932817.5856667,+8.57749900E-01
212,-2.92238000E-05,1558932817.794,+8.71672630E-01
213,-3.00446000E-05,1558932818.0023332,+8.74160330E-01
214,-2.98711000E-05,1558932818.2106667,+8.74179610E-01
215,-3.02047000E-05,1558932818.419,+8.74202590E-01
216,-3.10723000E-05,1558932818.6273332,+8.74224910E-01
217,-3.00113000E-05,1558932818.8356667,+8.74240760E-01
218,-2.93506000E-05,1558932819.044,+8.74258190E-01
219,-3.06453000E-05,1558932819.2523332,+8.74273780E-01
220,-3.09857000E-05,1558932819.4606667,+8.74286980E-01
221,-3.16395000E-05,1558932819.669,+8.74300980E-01
222,-3.15262000E-05,1558932819.8773332,+8.74312600E-01
223,-3.21468000E-05,1558932820.0856667,+8.74342580E-01
224,-3.17330000E-05,1558932820.294,+8.74350240E-01
225,-3.04918000E-05,1558932823.895,+8.89971940E-01
226,-3.07387000E-05,1558932824.1033332,+8.98382280E-01
227,-3.11992000E-05,1558932824.3116667,+8.98401700E-01
228,-3.14927000E-05,1558932824.52,+9.10085670E-01
229,-3.12058000E-05,1558932824.7283332,+9.14238290E-01
230,-3.09522000E-05,1558932824.9366667,+9.14248850E-01
231,-3.04718000E-05,1558932825.145,+9.32535870E-01
232,-3.02849000E-05,1558932825.3533332,+9.38201490E-01
233,-2.91970000E-05,1558932825.5616667,+9.38195420E-01
234,-2.99379000E-05,1558932825.77,+9.50645040E-01
235,-2.89102000E-05,1558932825.9783332,+9.53995950E-01
236,-2.97644000E-05,1558932826.1866667,+9.54000970E-01
237,-3.06519000E-05,1558932826.395,+9.75031800E-01
238,-3.12726000E-05,1558932826.6033332,+9.77990240E-01
239,-3.06720000E-05,1558932826.8116667,+9.78005420E-01
240,-3.06653000E-05,1558932827.02,+9.78009390E-01
241,-3.12192000E-05,1558932827.2283332,+9.78005950E-01
242,-3.03651000E-05,1558932827.4366667,+9.78004100E-01
243,-3.09989000E-05,1558932827.645,+9.78008590E-01
244,-3.08388000E-05,1558932827.8533332,+9.78039630E-01
245,-3.02514000E-05,1558932828.0616667,+9.78034220E-01
246,-2.94106000E-05,1558932828.27,+9.78040560E-01
247,-3.01114000E-05,1558932828.4783332,+9.78056010E-01
248,-3.05251000E-05,1558932828.6866667,+9.78068690E-01
249,-3.06652000E-05,1558932828.895,+9.78084930E-01
250,-3.12792000E-05,1558932832.494,+9.89212240E-01
251,-3.09522000E-05,1558932832.7023332,+9.94492180E-01
252,-3.04517000E-05,1558932832.9106667,+9.94517410E-01
253,-3.11992000E-05,1558932833.119,+1.01902630E+00
254,-3.06854000E-05,1558932833.3273332,+1.01872970E+00
255,-3.12458000E-05,1558932833.5356667,+1.01868440E+00
256,-3.05050000E-05,1558932833.744,+1.04226530E+00
257,-3.01781000E-05,1558932833.9523332,+1.04226020E+00
258,-2.93839000E-05,1558932834.1606667,+1.04227130E+00
259,-2.97510000E-05,1558932834.369,+1.05873830E+00
260,-3.03716000E-05,1558932834.5773332,+1.05874050E+00
261,-3.04650000E-05,1558932834.7856667,+1.05874840E+00
262,-3.07321000E-05,1558932834.994,+1.08235880E+00
263,-3.06320000E-05,1558932835.2023332,+1.08236940E+00
264,-3.07853000E-05,1558932835.4106667,+1.08236280E+00
265,-3.16529000E-05,1558932835.619,+1.08236540E+00
266,-3.10524000E-05,1558932835.8273332,+1.08236460E+00
267,-3.07721000E-05,1558932836.0356667,+1.08237280E+00
268,-3.12927000E-05,1558932836.244,+1.08236140E+00
269,-3.12191000E-05,1558932836.4523332,+1.08235270E+00
270,-3.06186000E-05,1558932836.6606667,+1.08236730E+00
271,-3.09922000E-05,1558932836.869,+1.08237060E+00
272,-3.12058000E-05,1558932837.0773332,+1.08237890E+00
273,-3.16796000E-05,1558932837.2856667,+1.08237680E+00
274,-3.12725000E-05,1558932837.494,+1.08236300E+00
275,-3.07721000E-05,1558932841.206,+1.08259980E+00
276,-3.02716000E-05,1558932841.4143333,+1.09891860E+00
277,-3.03716000E-05,1558932841.6226668,+1.09893610E+00
278,-3.07520000E-05,1558932841.831,+1.09974510E+00
279,-3.12192000E-05,1558932842.0393333,+1.12251650E+00
280,-3.17264000E-05,1558932842.2476668,+1.12251290E+00
281,-3.07121000E-05,1558932842.456,+1.12449350E+00
282,-3.16997000E-05,1558932842.6643333,+1.13901870E+00
283,-3.11791000E-05,1558932842.8726668,+1.13901340E+00
284,-3.13727000E-05,1558932843.081,+1.14241270E+00
285,-3.16796000E-05,1558932843.2893333,+1.16260210E+00
286,-3.18798000E-05,1558932843.4976668,+1.16260960E+00
287,-3.18332000E-05,1558932843.706,+1.16538390E+00
288,-3.19133000E-05,1558932843.9143333,+1.17913550E+00
289,-3.16129000E-05,1558932844.1226668,+1.17914430E+00
290,-3.15394000E-05,1558932844.331,+1.17914760E+00
291,-3.13995000E-05,1558932844.5393333,+1.17915010E+00
292,-3.13127000E-05,1558932844.7476668,+1.17915870E+00
293,-3.12193000E-05,1558932844.956,+1.17914290E+00
294,-3.16330000E-05,1558932845.1643333,+1.17915560E+00
295,-3.06453000E-05,1558932845.3726668,+1.17917050E+00
296,-3.17730000E-05,1558932845.581,+1.17916780E+00
297,-3.14395000E-05,1558932845.7893333,+1.17915900E+00
298,-3.09055000E-05,1558932845.9976668,+1.17916410E+00
299,-2.92504000E-05,1558932846.206,+1.17916160E+00
300,-3.11992000E-05,1558932849.695,+1.18940570E+00
301,-3.17865000E-05,1558932849.9033332,+1.19452290E+00
302,-3.11124000E-05,1558932850.1116667,+1.19452050E+00
303,-3.10323000E-05,1558932850.32,+1.21940470E+00
304,-3.19533000E-05,1558932850.5283332,+1.21942060E+00
305,-3.06519000E-05,1558932850.7366667,+1.21941530E+00
306,-3.12592000E-05,1558932850.945,+1.23592560E+00
307,-2.96308000E-05,1558932851.1533332,+1.23593360E+00
308,-2.93373000E-05,1558932851.3616667,+1.23595210E+00
309,-3.10658000E-05,1558932851.57,+1.25953690E+00
310,-3.12526000E-05,1558932851.7783332,+1.25956200E+00
311,-3.17931000E-05,1558932851.9866667,+1.25954750E+00
312,-3.16529000E-05,1558932852.195,+1.27607900E+00
313,-3.06987000E-05,1558932852.4033332,+1.27609220E+00
314,-3.20800000E-05,1558932852.6116667,+1.27609480E+00
315,-3.15529000E-05,1558932852.82,+1.27609350E+00
316,-3.17998000E-05,1558932853.0283332,+1.27608960E+00
317,-3.14528000E-05,1558932853.2366667,+1.27607500E+00
318,-2.98711000E-05,1558932853.445,+1.27608960E+00
319,-3.14127000E-05,1558932853.6533332,+1.27610280E+00
320,-3.13727000E-05,1558932853.8616667,+1.27611330E+00
321,-3.22070000E-05,1558932854.07,+1.27610810E+00
322,-3.14927000E-05,1558932854.2783332,+1.27610010E+00
323,-3.18665000E-05,1558932854.4866667,+1.27609750E+00
324,-3.18866000E-05,1558932854.695,+1.27608290E+00
325,-3.05252000E-05,1558932858.385,+1.27902790E+00
326,-3.12592000E-05,1558932858.5933332,+1.29962120E+00
327,-3.12727000E-05,1558932858.8016667,+1.29962250E+00
328,-3.18064000E-05,1558932859.01,+1.30211940E+00
329,-3.05985000E-05,1558932859.2183332,+1.31617120E+00
330,-2.98043000E-05,1558932859.4266667,+1.31618310E+00
331,-2.98912000E-05,1558932859.635,+1.31984840E+00
332,-3.07387000E-05,1558932859.8433332,+1.33155540E+00
333,-3.11592000E-05,1558932860.0516667,+1.33157920E+00
334,-3.19933000E-05,1558932860.26,+1.33804800E+00
335,-3.17197000E-05,1558932860.4683332,+1.35628860E+00
336,-3.15329000E-05,1558932860.6766667,+1.35627930E+00
337,-3.09323000E-05,1558932860.885,+1.36163120E+00
338,-3.12726000E-05,1558932861.0933332,+1.37163210E+00
339,-3.14128000E-05,1558932861.3016667,+1.37162950E+00
340,-3.11858000E-05,1558932861.51,+1.37163210E+00
341,-3.07120000E-05,1558932861.7183332,+1.37162950E+00
342,-3.04918000E-05,1558932861.9266667,+1.37164270E+00
343,-3.14995000E-05,1558932862.135,+1.37165060E+00
344,-3.21068000E-05,1558932862.3433332,+1.37165860E+00
345,-3.14861000E-05,1558932862.5516667,+1.37165060E+00
346,-3.03849000E-05,1558932862.76,+1.37166650E+00
347,-3.08789000E-05,1558932862.9683332,+1.37165720E+00
348,-3.07320000E-05,1558932863.1766667,+1.37166120E+00
349,-3.01715000E-05,1558932863.385,+1.37166120E+00
350,-3.00514000E-05,1558932866.894,+1.38793360E+00
351,-3.17397000E-05,1558932867.1023333,+1.39641950E+00
352,-3.20868000E-05,1558932867.3106668,+1.39642740E+00
353,-3.09990000E-05,1558932867.519,+1.40689330E+00
354,-3.15863000E-05,1558932867.7273333,+1.41176930E+00
355,-3.08188000E-05,1558932867.9356668,+1.41176400E+00
356,-2.99179000E-05,1558932868.144,+1.43083470E+00
357,-2.91437000E-05,1558932868.3523333,+1.43648000E+00
358,-2.89167000E-05,1558932868.5606668,+1.43648000E+00
359,-3.09789000E-05,1558932868.769,+1.44870650E+00
360,-3.04517000E-05,1558932868.9773333,+1.45183780E+00
361,-3.03784000E-05,1558932869.1856668,+1.45182450E+00
362,-2.98111000E-05,1558932869.394,+1.46645670E+00
363,-2.74353000E-05,1558932869.6023333,+1.46838390E+00
364,-2.71616000E-05,1558932869.8106668,+1.46839050E+00
365,-2.93506000E-05,1558932870.019,+1.46839850E+00
366,-2.95776000E-05,1558932870.2273333,+1.46839850E+00
367,-2.97042000E-05,1558932870.4356668,+1.46838660E+00
368,-3.00847000E-05,1558932870.644,+1.46838920E+00
369,-3.01047000E-05,1558932870.8523333,+1.46839450E+00
370,-2.94306000E-05,1558932871.0606668,+1.46839710E+00
371,-2.92638000E-05,1558932871.269,+1.46840110E+00
372,-2.82629000E-05,1558932871.4773333,+1.46839580E+00
373,-2.85029000E-05,1558932871.6856668,+1.46840110E+00
374,-2.84963000E-05,1558932871.894,+1.46839980E+00
375,-2.79225000E-05,1558932875.495,+1.48452420E+00
376,-2.76956000E-05,1558932875.7033331,+1.49197510E+00
377,-2.71950000E-05,1558932875.9116666,+1.49197240E+00
378,-2.76089000E-05,1558932876.12,+1.50374820E+00
379,-2.69213000E-05,1558932876.3283331,+1.50854090E+00
380,-2.80693000E-05,1558932876.5366666,+1.50855810E+00
381,-2.81761000E-05,1558932876.745,+1.52592500E+00
382,-2.91837000E-05,1558932876.9533331,+1.53214660E+00
383,-2.89101000E-05,1558932877.1616666,+1.53214930E+00
384,-2.86633000E-05,1558932877.37,+1.54574110E+00
385,-2.83228000E-05,1558932877.5783331,+1.54867550E+00
386,-2.85632000E-05,1558932877.7866666,+1.54867680E+00
387,-2.86499000E-05,1558932877.995,+1.56867400E+00
388,-2.73419000E-05,1558932878.2033331,+1.57229170E+00
389,-2.82093000E-05,1558932878.4116666,+1.57228380E+00
