,SQUID_Volt(V),timestamp,MOD_CURR(A)
157,-3.11321000E-05,1558935157.4103332,+6.45765310E-01
158,-3.01111000E-05,1558935157.6186666,+6.45783800E-01
159,-3.05315000E-05,1558935157.827,+6.46960950E-01
160,-3.04715000E-05,1558935158.0353332,+6.65107880E-01
161,-2.97640000E-05,1558935158.2436666,+6.65110530E-01
162,-2.90767000E-05,1558935158.452,+6.66713470E-01
163,-2.93770000E-05,1558935158.6603332,+6.83827080E-01
164,-2.91968000E-05,1558935158.8686666,+6.83828670E-01
165,-2.94103000E-05,1558935159.077,+6.83827870E-01
166,-2.90967000E-05,1558935159.2853332,+6.83826290E-01
167,-3.01510000E-05,1558935159.4936666,+6.83833820E-01
168,-3.01978000E-05,1558935159.702,+6.83832500E-01
169,-3.06250000E-05,1558935159.9103332,+6.83833160E-01
170,-3.03980000E-05,1558935160.1186666,+6.83836590E-01
171,-2.99376000E-05,1558935160.327,+6.83839890E-01
172,-2.93903000E-05,1558935160.5353332,+6.83840020E-01
173,-2.91901000E-05,1558935160.7436666,+6.83841610E-01
174,-3.03580000E-05,1558935160.952,+6.83843060E-01
175,-3.10253000E-05,1558935164.424,+6.96701930E-01
176,-3.06850000E-05,1558935164.6323333,+7.03765010E-01
177,-2.98308000E-05,1558935164.8406668,+7.03778750E-01
178,-2.94903000E-05,1558935165.049,+7.17968920E-01
179,-2.94638000E-05,1558935165.2573333,+7.23114280E-01
180,-2.81558000E-05,1558935165.4656668,+7.23116660E-01
181,-2.78020000E-05,1558935165.674,+7.37796310E-01
182,-2.80490000E-05,1558935165.8823333,+7.42440330E-01
183,-2.87898000E-05,1558935166.0906668,+7.42442050E-01
184,-3.00376000E-05,1558935166.299,+7.58063760E-01
185,-3.02578000E-05,1558935166.5073333,+7.62382890E-01
186,-2.98041000E-05,1558935166.7156668,+7.62382890E-01
187,-2.98708000E-05,1558935166.924,+7.79248080E-01
188,-3.03379000E-05,1558935167.1323333,+7.81719660E-01
189,-3.09986000E-05,1558935167.3406668,+7.81724940E-01
190,-3.03180000E-05,1558935167.549,+7.81735510E-01
191,-2.99776000E-05,1558935167.7573333,+7.81732070E-01
192,-2.98174000E-05,1558935167.9656668,+7.81735510E-01
193,-2.96238000E-05,1558935168.174,+7.81736300E-01
194,-3.00910000E-05,1558935168.3823333,+7.81743960E-01
195,-3.06917000E-05,1558935168.5906668,+7.81744750E-01
196,-3.10187000E-05,1558935168.799,+7.81740530E-01
197,-2.99976000E-05,1558935169.0073333,+7.81751090E-01
198,-3.02912000E-05,1558935169.2156668,+7.81741320E-01
199,-3.05583000E-05,1558935169.424,+7.81739070E-01
200,-2.85628000E-05,1558935173.022,+7.94789460E-01
201,-2.88698000E-05,1558935173.2303333,+8.01051140E-01
202,-2.84627000E-05,1558935173.4386668,+8.01050080E-01
203,-2.83359000E-05,1558935173.647,+8.13766320E-01
204,-2.75351000E-05,1558935173.8553333,+8.19232130E-01
205,-2.79021000E-05,1558935174.0636668,+8.19235040E-01
206,-2.75283000E-05,1558935174.272,+8.38149780E-01
207,-2.70880000E-05,1558935174.4803333,+8.43228750E-01
208,-2.68876000E-05,1558935174.6886668,+8.43237730E-01
209,-2.85828000E-05,1558935174.897,+8.56089890E-01
210,-2.90165000E-05,1558935175.1053333,+8.59057400E-01
211,-2.96505000E-05,1558935175.3136668,+8.59064670E-01
212,-2.94771000E-05,1558935175.522,+8.73833850E-01
213,-2.85027000E-05,1558935175.7303333,+8.75471400E-01
214,-2.96507000E-05,1558935175.9386668,+8.75474570E-01
215,-3.02713000E-05,1558935176.147,+8.75477600E-01
216,-3.01712000E-05,1558935176.3553333,+8.75481430E-01
217,-2.97107000E-05,1558935176.5636668,+8.75488700E-01
218,-2.88364000E-05,1558935176.772,+8.75494640E-01
219,-2.93436000E-05,1558935176.9803333,+8.75494910E-01
220,-2.79956000E-05,1558935177.1886668,+8.75497020E-01
221,-2.88231000E-05,1558935177.397,+8.75504680E-01
222,-2.87364000E-05,1558935177.6053333,+8.75516300E-01
223,-2.96372000E-05,1558935177.8136668,+8.75520260E-01
224,-2.79088000E-05,1558935178.022,+8.75515240E-01
225,-2.70078000E-05,1558935181.623,+8.90884290E-01
226,-2.74684000E-05,1558935181.8313332,+8.99532890E-01
227,-2.70480000E-05,1558935182.0396667,+8.99541470E-01
228,-2.70612000E-05,1558935182.248,+9.11064060E-01
229,-2.76485000E-05,1558935182.4563332,+9.15378460E-01
230,-2.73617000E-05,1558935182.6646667,+9.15381230E-01
231,-2.75151000E-05,1558935182.873,+9.33449170E-01
232,-2.84893000E-05,1558935183.0813332,+9.39375210E-01
233,-2.72614000E-05,1558935183.2896667,+9.39380100E-01
234,-2.83093000E-05,1558935183.498,+9.51700030E-01
235,-2.80289000E-05,1558935183.7063332,+9.55200870E-01
236,-2.70747000E-05,1558935183.9146667,+9.55206150E-01
237,-2.72480000E-05,1558935184.123,+9.76027260E-01
238,-2.71546000E-05,1558935184.3313332,+9.79207670E-01
239,-2.67810000E-05,1558935184.5396667,+9.79217050E-01
240,-2.85828000E-05,1558935184.748,+9.79218900E-01
241,-2.83359000E-05,1558935184.9563332,+9.79218100E-01
242,-2.80556000E-05,1558935185.1646667,+9.79221800E-01
243,-2.92502000E-05,1558935185.373,+9.79219420E-01
244,-2.95505000E-05,1558935185.5813332,+9.79212820E-01
245,-2.91633000E-05,1558935185.7896667,+9.79211370E-01
246,-2.80022000E-05,1558935185.998,+9.79212950E-01
247,-2.84827000E-05,1558935186.2063332,+9.79219160E-01
248,-2.83026000E-05,1558935186.4146667,+9.79223120E-01
