,Temp(V),timestamp
5244,+1.55667880E+00,1558911707.6853333
5245,+1.55668870E+00,1558911707.8936667
5246,+1.55669620E+00,1558911708.102
5247,+1.55669000E+00,1558911708.3103333
5248,+1.55668750E+00,1558911708.5186667
5249,+1.55670360E+00,1558911708.727
5250,+1.55667760E+00,1558911712.327
5251,+1.55667510E+00,1558911712.5353332
5252,+1.55666890E+00,1558911712.7436666
5253,+1.55666270E+00,1558911712.952
5254,+1.55667140E+00,1558911713.1603332
5255,+1.55668250E+00,1558911713.3686666
5256,+1.55668130E+00,1558911713.577
5257,+1.55667510E+00,1558911713.7853332
5258,+1.55666270E+00,1558911713.9936666
5259,+1.55666140E+00,1558911714.202
5260,+1.55665650E+00,1558911714.4103332
5261,+1.55665280E+00,1558911714.6186666
5262,+1.55667510E+00,1558911714.827
5263,+1.55667760E+00,1558911715.0353332
5264,+1.55666640E+00,1558911715.2436666
5265,+1.55666270E+00,1558911715.452
5266,+1.55663910E+00,1558911715.6603332
5267,+1.55663170E+00,1558911715.8686666
5268,+1.55663170E+00,1558911716.077
5269,+1.55664910E+00,1558911716.2853332
5270,+1.55665400E+00,1558911716.4936666
5271,+1.55664530E+00,1558911716.702
5272,+1.55663050E+00,1558911716.9103332
5273,+1.55663170E+00,1558911717.1186666
5274,+1.55661560E+00,1558911717.327
5275,+1.55663290E+00,1558911720.927
5276,+1.55662670E+00,1558911721.1353333
5277,+1.55662800E+00,1558911721.3436668
5278,+1.55663910E+00,1558911721.552
5279,+1.55663670E+00,1558911721.7603333
5280,+1.55663050E+00,1558911721.9686668
5281,+1.55662800E+00,1558911722.177
5282,+1.55662180E+00,1558911722.3853333
5283,+1.55662670E+00,1558911722.5936668
5284,+1.55661810E+00,1558911722.802
5285,+1.55659950E+00,1558911723.0103333
5286,+1.55661930E+00,1558911723.2186668
5287,+1.55659580E+00,1558911723.427
5288,+1.55658710E+00,1558911723.6353333
5289,+1.55659080E+00,1558911723.8436668
5290,+1.55659080E+00,1558911724.052
5291,+1.55657840E+00,1558911724.2603333
5292,+1.55657100E+00,1558911724.4686668
5293,+1.55657340E+00,1558911724.677
5294,+1.55659330E+00,1558911724.8853333
5295,+1.55659450E+00,1558911725.0936668
5296,+1.55659200E+00,1558911725.302
5297,+1.55660940E+00,1558911725.5103333
5298,+1.55660070E+00,1558911725.7186668
5299,+1.55658960E+00,1558911725.927
5300,+1.55658960E+00,1558911729.527
5301,+1.55657340E+00,1558911729.7353332
5302,+1.55658090E+00,1558911729.9436667
5303,+1.55658210E+00,1558911730.152
5304,+1.55658460E+00,1558911730.3603332
5305,+1.55657470E+00,1558911730.5686667
5306,+1.55656230E+00,1558911730.777
5307,+1.55655980E+00,1558911730.9853332
5308,+1.55654370E+00,1558911731.1936667
5309,+1.55652390E+00,1558911731.402
5310,+1.55653630E+00,1558911731.6103332
5311,+1.55654120E+00,1558911731.8186667
5312,+1.55654370E+00,1558911732.027
5313,+1.55655980E+00,1558911732.2353332
5314,+1.55656100E+00,1558911732.4436667
5315,+1.55657470E+00,1558911732.652
5316,+1.55656850E+00,1558911732.8603332
5317,+1.55655480E+00,1558911733.0686667
5318,+1.55654860E+00,1558911733.277
5319,+1.55654120E+00,1558911733.4853332
5320,+1.55652140E+00,1558911733.6936667
5321,+1.55653380E+00,1558911733.902
5322,+1.55653010E+00,1558911734.1103332
5323,+1.55653250E+00,1558911734.3186667
5324,+1.55654490E+00,1558911734.527
5325,+1.55655110E+00,1558911738.127
5326,+1.55654250E+00,1558911738.3353333
5327,+1.55652630E+00,1558911738.5436668
5328,+1.55651640E+00,1558911738.752
5329,+1.55650400E+00,1558911738.9603333
5330,+1.55651270E+00,1558911739.1686668
5331,+1.55653010E+00,1558911739.377
5332,+1.55653130E+00,1558911739.5853333
5333,+1.55652390E+00,1558911739.7936668
5334,+1.55653870E+00,1558911740.002
5335,+1.55653380E+00,1558911740.2103333
5336,+1.55651640E+00,1558911740.4186668
5337,+1.55651020E+00,1558911740.627
5338,+1.55649910E+00,1558911740.8353333
5339,+1.55650530E+00,1558911741.0436668
5340,+1.55650400E+00,1558911741.252
5341,+1.55650770E+00,1558911741.4603333
5342,+1.55652510E+00,1558911741.6686668
5343,+1.55651640E+00,1558911741.877
5344,+1.55648670E+00,1558911742.0853333
5345,+1.55648050E+00,1558911742.2936668
5346,+1.55646560E+00,1558911742.502
5347,+1.55647430E+00,1558911742.7103333
5348,+1.55648670E+00,1558911742.9186668
5349,+1.55648670E+00,1558911743.127
5350,+1.55649530E+00,1558911746.727
5351,+1.55650030E+00,1558911746.9353333
5352,+1.55649040E+00,1558911747.1436667
5353,+1.55649040E+00,1558911747.352
5354,+1.55647800E+00,1558911747.5603333
5355,+1.55648540E+00,1558911747.7686667
5356,+1.55647680E+00,1558911747.977
5357,+1.55645820E+00,1558911748.1853333
5358,+1.55647680E+00,1558911748.3936667
5359,+1.55648540E+00,1558911748.602
5360,+1.55647550E+00,1558911748.8103333
5361,+1.55648420E+00,1558911749.0186667
5362,+1.55648300E+00,1558911749.227
5363,+1.55648920E+00,1558911749.4353333
5364,+1.55646440E+00,1558911749.6436667
5365,+1.55643710E+00,1558911749.852
5366,+1.55644210E+00,1558911750.0603333
5367,+1.55644950E+00,1558911750.2686667
5368,+1.55645440E+00,1558911750.477
5369,+1.55647430E+00,1558911750.6853333
5370,+1.55647800E+00,1558911750.8936667
5371,+1.55647180E+00,1558911751.102
5372,+1.55646060E+00,1558911751.3103333
5373,+1.55643590E+00,1558911751.5186667
5374,+1.55643590E+00,1558911751.727
5375,+1.55642590E+00,1558911755.327
5376,+1.55642970E+00,1558911755.5353332
5377,+1.55643590E+00,1558911755.7436666
5378,+1.55643590E+00,1558911755.952
5379,+1.55646190E+00,1558911756.1603332
5380,+1.55644950E+00,1558911756.3686666
5381,+1.55643090E+00,1558911756.577
5382,+1.55643340E+00,1558911756.7853332
5383,+1.55642840E+00,1558911756.9936666
5384,+1.55641730E+00,1558911757.202
5385,+1.55642100E+00,1558911757.4103332
5386,+1.55642220E+00,1558911757.6186666
5387,+1.55643830E+00,1558911757.827
5388,+1.55643590E+00,1558911758.0353332
