,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A)
145,-4.23306000E-05,1558931592.7306666,+1.57061110E+00,,
146,-4.23641000E-05,1558931592.939,+1.57061480E+00,,
147,-4.23374000E-05,1558931593.1473331,+1.57061350E+00,,
148,-4.30648000E-05,1558931593.3556666,+1.57061350E+00,,
149,-4.22840000E-05,1558931593.564,+1.57061480E+00,,
150,-4.24708000E-05,1558931597.164,+1.57061350E+00,,
151,-4.27845000E-05,1558931597.3723333,+1.57060860E+00,,
152,-4.25310000E-05,1558931597.5806668,+1.57060980E+00,,
153,-4.28311000E-05,1558931597.789,+1.57061110E+00,,
154,-4.24909000E-05,1558931597.9973333,+1.57061110E+00,,
155,-4.24642000E-05,1558931598.2056668,+1.57060980E+00,,
156,-4.22371000E-05,1558931598.414,+1.57060730E+00,,
157,-4.28311000E-05,1558931598.6223333,+1.57060860E+00,,
158,-4.28978000E-05,1558931598.8306668,+1.57060860E+00,,
159,-4.25709000E-05,1558931599.039,+1.57060610E+00,,
160,-4.25109000E-05,1558931599.2473333,+1.57060980E+00,,
161,-4.19503000E-05,1558931599.4556668,+1.57060980E+00,,
162,-4.27711000E-05,1558931599.664,+1.57060610E+00,,
163,-4.34319000E-05,1558931599.8723333,+1.57060730E+00,,
164,-4.24374000E-05,1558931600.0806668,+1.57060980E+00,,
165,-4.22439000E-05,1558931600.289,+1.57060730E+00,,
166,-4.30447000E-05,1558931600.4973333,+1.57061230E+00,,
167,-4.28112000E-05,1558931600.7056668,+1.57060980E+00,,
168,-4.23841000E-05,1558931600.914,+1.57060980E+00,,
169,-4.22705000E-05,1558931601.1223333,+1.57060730E+00,,
170,-4.30447000E-05,1558931601.3306668,+1.57061230E+00,,
171,-4.25910000E-05,1558931601.539,+1.57060730E+00,,
172,-4.24107000E-05,1558931601.7473333,+1.57060490E+00,,
173,-4.32450000E-05,1558931601.9556668,+1.57060860E+00,,
174,-4.22840000E-05,1558931602.164,+1.57060980E+00,,
175,-4.25443000E-05,1558931605.763,+1.57060120E+00,,
176,-4.26377000E-05,1558931605.9713333,+1.57060610E+00,,
177,-4.27510000E-05,1558931606.1796668,+1.57060120E+00,,
178,-4.25709000E-05,1558931606.388,+1.57060730E+00,,
179,-4.24708000E-05,1558931606.5963333,+1.57060730E+00,,
180,-4.22439000E-05,1558931606.8046668,+1.57060610E+00,,
181,-4.28513000E-05,1558931607.013,+1.57060860E+00,,
182,-4.23039000E-05,1558931607.2213333,+1.57060490E+00,,
183,-4.24642000E-05,1558931607.4296668,+1.57060730E+00,,
184,-4.19368000E-05,1558931607.638,+1.57060610E+00,,
185,-4.22307000E-05,1558931607.8463333,+1.57060980E+00,,
186,-4.25976000E-05,1558931608.0546668,+1.57060860E+00,,
