,SQUID_Volt(V),timestamp,Temp(V)
145,+2.72740000E-06,1558936107.8136668,+1.54309360E+00
146,+2.76747000E-06,1558936108.022,+1.54313950E+00
147,+2.70803000E-06,1558936108.2303333,+1.54315060E+00
148,+2.74476000E-06,1558936108.4386668,+1.54313330E+00
149,+2.69401000E-06,1558936108.647,+1.54313330E+00
150,+2.78417000E-06,1558936112.246,+1.54314440E+00
151,+2.78283000E-06,1558936112.4543333,+1.54316180E+00
152,+2.76547000E-06,1558936112.6626668,+1.54315560E+00
153,+2.78217000E-06,1558936112.871,+1.54315190E+00
154,+2.80153000E-06,1558936113.0793333,+1.54316300E+00
155,+2.78684000E-06,1558936113.2876668,+1.54314810E+00
156,+2.78750000E-06,1558936113.496,+1.54313450E+00
157,+2.82557000E-06,1558936113.7043333,+1.54317170E+00
158,+2.81154000E-06,1558936113.9126668,+1.54321260E+00
159,+2.79285000E-06,1558936114.121,+1.54325100E+00
160,+2.86631000E-06,1558936114.3293333,+1.54327950E+00
161,+2.84828000E-06,1558936114.5376668,+1.54328320E+00
162,+2.83425000E-06,1558936114.746,+1.54328820E+00
163,+2.57647000E-06,1558936114.9543333,+1.54328080E+00
164,+2.72874000E-06,1558936115.1626668,+1.54327330E+00
165,+2.80153000E-06,1558936115.371,+1.54327580E+00
166,+2.83224000E-06,1558936115.5793333,+1.54324360E+00
167,+2.76813000E-06,1558936115.7876668,+1.54318160E+00
168,+2.73141000E-06,1558936115.996,+1.54313950E+00
169,+3.05329000E-06,1558936116.2043333,+1.54313820E+00
170,+2.96581000E-06,1558936116.4126668,+1.54316800E+00
171,+2.75945000E-06,1558936116.621,+1.54314440E+00
172,+2.67998000E-06,1558936116.8293333,+1.54311960E+00
173,+2.69534000E-06,1558936117.0376668,+1.54309730E+00
174,+2.75144000E-06,1558936117.246,+1.54308620E+00
175,+2.49233000E-06,1558936120.847,+1.54312210E+00
176,+2.55243000E-06,1558936121.0553331,+1.54310100E+00
177,+2.52638000E-06,1558936121.2636666,+1.54305390E+00
178,+2.52905000E-06,1558936121.472,+1.54301180E+00
179,+2.49900000E-06,1558936121.6803331,+1.54296470E+00
180,+2.54509000E-06,1558936121.8886666,+1.54295600E+00
181,+2.51102000E-06,1558936122.097,+1.54296340E+00
182,+2.52305000E-06,1558936122.3053331,+1.54294610E+00
183,+2.46027000E-06,1558936122.5136666,+1.54295350E+00
184,+2.49901000E-06,1558936122.722,+1.54290770E+00
185,+2.45092000E-06,1558936122.9303331,+1.54292130E+00
186,+2.39682000E-06,1558936123.1386666,+1.54294860E+00
187,+2.36878000E-06,1558936123.347,+1.54300560E+00
188,+2.47229000E-06,1558936123.5553331,+1.54306510E+00
189,+2.37145000E-06,1558936123.7636666,+1.54310720E+00
190,+2.42755000E-06,1558936123.972,+1.54311220E+00
191,+2.40150000E-06,1558936124.1803331,+1.54309110E+00
192,+2.37478000E-06,1558936124.3886666,+1.54309610E+00
193,+2.46093000E-06,1558936124.597,+1.54310720E+00
194,+2.38814000E-06,1558936124.8053331,+1.54317290E+00
195,+2.41419000E-06,1558936125.0136666,+1.54320520E+00
196,+2.47229000E-06,1558936125.222,+1.54321140E+00
197,+2.48966000E-06,1558936125.4303331,+1.54318280E+00
