,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
151,+3.09464700E-05,1559381100.3753333,+1.57099660E+00,,3.0278431544359252e-05,4.86567881773399e-05
152,+3.10159200E-05,1559381100.5836668,+1.57099780E+00,,3.02781708652793e-05,4.865589162561576e-05
153,+3.09665000E-05,1559381100.792,+1.57099780E+00,,3.0278156626506026e-05,4.865691625615763e-05
154,+3.09671600E-05,1559381101.0003333,+1.57099660E+00,,3.027833077765608e-05,4.8657940886699503e-05
155,+3.09745000E-05,1559381101.2086668,+1.57100030E+00,,3.0278026286966043e-05,4.865806896551724e-05
156,+3.10219200E-05,1559381101.417,+1.57099530E+00,,3.027827272727273e-05,4.865717241379311e-05
157,+3.09872000E-05,1559381101.6253333,+1.57099530E+00,,3.0278750273822562e-05,4.865653201970444e-05
158,+3.10426300E-05,1559381101.8336668,+1.57099410E+00,,3.0278403066812705e-05,4.866127093596059e-05
159,+3.09932000E-05,1559381102.042,+1.57099660E+00,,3.0278431544359252e-05,4.865883743842365e-05
160,+3.10439600E-05,1559381102.2503333,+1.57099780E+00,,3.027869222343921e-05,4.865627586206897e-05
161,+3.10786900E-05,1559381102.4586668,+1.57099530E+00,,3.0278547645125954e-05,4.8660758620689655e-05
162,+3.10012200E-05,1559381102.667,+1.57100030E+00,,3.0278547645125954e-05,4.8656019704433495e-05
163,+3.10152400E-05,1559381102.8753333,+1.57099780E+00,,3.027827272727273e-05,4.8657044334975366e-05
164,+3.10626600E-05,1559381103.0836668,+1.57099780E+00,,3.0278403066812705e-05,4.865537931034483e-05
165,+3.10025400E-05,1559381103.292,+1.57099780E+00,,3.0278431544359252e-05,4.8655635467980294e-05
166,+3.09885300E-05,1559381103.5003333,+1.57100150E+00,,3.0278865279299014e-05,4.8656403940886704e-05
167,+3.10312800E-05,1559381103.7086668,+1.57100280E+00,,3.027883680175246e-05,4.865934975369458e-05
168,+3.10245900E-05,1559381103.917,+1.57099780E+00,,3.0278865279299014e-05,4.865589162561576e-05
169,+3.10606500E-05,1559381104.1253333,+1.57100280E+00,,3.0278489594742603e-05,4.865832512315271e-05
170,+3.11374600E-05,1559381104.3336668,+1.57100400E+00,,3.027863417305586e-05,4.8653970443349753e-05
171,+3.09544600E-05,1559381104.542,+1.57100770E+00,,3.0278547645125954e-05,4.866050246305419e-05
172,+3.10159100E-05,1559381104.7503333,+1.57100770E+00,,3.0278489594742603e-05,4.8655635467980294e-05
173,+3.10733500E-05,1559381104.9586668,+1.57100280E+00,,3.027883680175246e-05,4.865550738916256e-05
174,+3.11020600E-05,1559381105.167,+1.57100520E+00,,3.027909748083242e-05,4.865909359605911e-05
175,+3.10092300E-05,1559381108.767,+1.57099900E+00,,3.02793713033954e-05,4.865999014778325e-05
176,+3.09972000E-05,1559381108.9753332,+1.57099900E+00,,3.0279675794085432e-05,4.8658965517241374e-05
177,+3.09277500E-05,1559381109.1836667,+1.57100400E+00,,3.0279198247535598e-05,4.865550738916256e-05
178,+3.09611500E-05,1559381109.392,+1.57100150E+00,,3.0279039430449068e-05,4.8657428571428575e-05
179,+3.09284300E-05,1559381109.6003332,+1.57100030E+00,,3.027877875136911e-05,4.865819704433498e-05
180,+3.08583000E-05,1559381109.8086667,+1.57100150E+00,,3.0278359255202627e-05,4.865947783251232e-05
181,+3.08850200E-05,1559381110.017,+1.57100770E+00,,3.027831544359255e-05,4.865858128078818e-05
182,+3.08836700E-05,1559381110.2253332,+1.57101020E+00,,3.0278518072289157e-05,4.8657940886699503e-05
183,+3.08689900E-05,1559381110.4336667,+1.57100900E+00,,3.0278503833515883e-05,4.865909359605911e-05
184,+3.08175600E-05,1559381110.642,+1.57100400E+00,,3.0278403066812705e-05,4.8655123152709365e-05
185,+3.08482900E-05,1559381110.8503332,+1.57100400E+00,,3.02783734939759e-05,4.865691625615763e-05
186,+3.08696600E-05,1559381111.0586667,+1.57100280E+00,,3.027929901423877e-05,4.865986206896552e-05
187,+3.08442700E-05,1559381111.267,+1.57100770E+00,,3.0278923329682366e-05,4.866127093596059e-05
188,+3.08082100E-05,1559381111.4753332,+1.57100770E+00,,3.027909748083242e-05,4.865768472906404e-05
189,+3.08175600E-05,1559381111.6836667,+1.57100650E+00,,3.0278951807228913e-05,4.865922167487685e-05
190,+3.08282500E-05,1559381111.892,+1.57100770E+00,,3.0279024096385544e-05,4.865768472906404e-05
191,+3.08229100E-05,1559381112.1003332,+1.57100650E+00,,3.0279270536692223e-05,4.865781280788177e-05
