,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
139,+4.58303400E-05,1559291783.6326668,+1.57095810E+00,,6.206846111719607e-05,5.159490640394089e-05
140,+4.58617300E-05,1559291783.841,+1.57095570E+00,,6.20693143483023e-05,5.158978325123153e-05
141,+4.59051500E-05,1559291784.0493333,+1.57095440E+00,,6.206974808324206e-05,5.159349753694581e-05
142,+4.58604000E-05,1559291784.2576668,+1.57095940E+00,,6.207003833515881e-05,5.159746798029556e-05
143,+4.58243400E-05,1559291784.466,+1.57095940E+00,,6.207067469879519e-05,5.159388177339902e-05
144,+4.58917900E-05,1559291784.6743333,+1.57096190E+00,,6.207076122672508e-05,5.1597980295566504e-05
145,+4.58129900E-05,1559291784.8826668,+1.57096060E+00,,6.207131106243155e-05,5.159452216748768e-05
146,+4.58383600E-05,1559291785.091,+1.57096190E+00,,6.20717447973713e-05,5.1590551724137926e-05
147,+4.58189900E-05,1559291785.2993333,+1.57096190E+00,,6.207168674698795e-05,5.159951724137931e-05
148,+4.57709100E-05,1559291785.5076668,+1.57095570E+00,,6.207275684556408e-05,5.159695566502463e-05
149,+4.58323500E-05,1559291785.716,+1.57095810E+00,,6.207291675794085e-05,5.159810837438424e-05
150,+4.56827600E-05,1559291789.454,+1.57095940E+00,,6.31961182913472e-05,5.1593753694581286e-05
151,+4.56887600E-05,1559291789.6623333,+1.57095940E+00,,6.425255859802848e-05,5.159785221674877e-05
152,+4.57441900E-05,1559291789.8706667,+1.57095570E+00,,6.425307886089814e-05,5.159708374384237e-05
153,+4.56727400E-05,1559291790.079,+1.57096060E+00,,6.553534939759036e-05,5.1595034482758625e-05
154,+4.56620500E-05,1559291790.2873333,+1.57096060E+00,,6.637444249726177e-05,5.1599004926108375e-05
155,+4.57254900E-05,1559291790.4956667,+1.57095940E+00,,6.63753395399781e-05,5.159644334975369e-05
156,+4.57548800E-05,1559291790.704,+1.57096060E+00,,6.770425848849945e-05,5.15915763546798e-05
157,+4.56827600E-05,1559291790.9123333,+1.57096060E+00,,6.849256407447975e-05,5.159234482758621e-05
158,+4.57562200E-05,1559291791.1206667,+1.57096190E+00,,6.849278094194961e-05,5.159465024630542e-05
159,+4.56961100E-05,1559291791.329,+1.57096310E+00,,6.991513362541073e-05,5.159618719211823e-05
160,+4.57121500E-05,1559291791.5373333,+1.57096190E+00,,7.067098138006573e-05,5.159336945812808e-05
161,+4.57308400E-05,1559291791.7456667,+1.57096190E+00,,7.06716330777656e-05,5.159413793103448e-05
162,+4.56747300E-05,1559291791.954,+1.57096310E+00,,7.223738335158816e-05,5.159413793103448e-05
163,+4.56867700E-05,1559291792.1623333,+1.57096190E+00,,7.2785143483023e-05,5.1593241379310344e-05
164,+4.56553800E-05,1559291792.3706667,+1.57096430E+00,,7.278563526834611e-05,5.1594266009852215e-05
