,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
49,+4.59558800E-05,1559293798.03,+1.57590290E+00,,2.2073449069003287e-05,5.1455399014778325e-05
50,+4.61361900E-05,1559293801.609,+1.57586450E+00,,2.2073607886089813e-05,5.145860098522168e-05
51,+4.62169900E-05,1559293801.8173332,+1.57584710E+00,,2.2073694414019715e-05,5.145693596059113e-05
52,+4.63251900E-05,1559293802.0256667,+1.57582230E+00,,2.2073766703176343e-05,5.1458344827586204e-05
53,+4.62998000E-05,1559293802.234,+1.57579510E+00,,2.2073766703176343e-05,5.1457064039408866e-05
54,+4.63866300E-05,1559293802.4423332,+1.57577400E+00,,2.2073911281489596e-05,5.145667980295567e-05
55,+4.62430400E-05,1559293802.6506667,+1.57575170E+00,,2.2074230010952903e-05,5.145527093596059e-05
56,+4.64420600E-05,1559293802.859,+1.57572940E+00,,2.207414238773275e-05,5.145399014778325e-05
57,+4.62871300E-05,1559293803.0673332,+1.57570950E+00,,2.2074258488499454e-05,5.145693596059113e-05
58,+4.64427200E-05,1559293803.2756667,+1.57568850E+00,,2.2074345016429355e-05,5.1457320197044333e-05
59,+4.65469100E-05,1559293803.484,+1.57566240E+00,,2.207451916757941e-05,5.1457960591133e-05
60,+4.63572300E-05,1559293803.6923332,+1.57564140E+00,,2.207464950711939e-05,5.145962561576355e-05
61,+4.63024700E-05,1559293803.9006667,+1.57561780E+00,,2.2074894852135817e-05,5.1456039408866995e-05
62,+4.62303500E-05,1559293804.109,+1.57559430E+00,,2.2074924424972618e-05,5.1457064039408866e-05
63,+4.62230000E-05,1559293804.3173332,+1.57557440E+00,,2.207495290251917e-05,5.145527093596059e-05
64,+4.64360400E-05,1559293804.5256667,+1.57554720E+00,,2.2075213581599124e-05,5.1452325123152706e-05
65,+4.63986500E-05,1559293804.734,+1.57552860E+00,,2.20751412924425e-05,5.1457832512315276e-05
66,+4.64079900E-05,1559293804.9423332,+1.57550500E+00,,2.2075328587075576e-05,5.1452709359605914e-05
67,+4.66577700E-05,1559293805.1506667,+1.57548270E+00,,2.2075155531215773e-05,5.1457960591133e-05
68,+4.63939600E-05,1559293805.359,+1.57545790E+00,,2.2074866374589267e-05,5.145386206896552e-05
69,+4.65215300E-05,1559293805.5673332,+1.57543930E+00,,2.2075025191675797e-05,5.1452709359605914e-05
70,+4.64220100E-05,1559293805.7756667,+1.57541450E+00,,2.2075285870755752e-05,5.145988177339902e-05
71,+4.63966400E-05,1559293805.984,+1.57539100E+00,,2.2075458926615556e-05,5.1457832512315276e-05
72,+4.61929600E-05,1559293806.1923332,+1.57536740E+00,,2.2075271631982476e-05,5.1458344827586204e-05
73,+4.63612400E-05,1559293806.4006667,+1.57534390E+00,,2.2075705366922235e-05,5.145219704433497e-05
74,+4.63545600E-05,1559293806.609,+1.57532030E+00,,2.2075488499452357e-05,5.146065024630542e-05
75,+4.62771100E-05,1559293810.208,+1.57528690E+00,,2.207567579408543e-05,5.145219704433497e-05
76,+4.61602300E-05,1559293810.4163332,+1.57526580E+00,,2.2075733844468785e-05,5.145898522167488e-05
77,+4.61248300E-05,1559293810.6246667,+1.57524350E+00,,2.207608105147864e-05,5.1453733990147785e-05
78,+4.63512300E-05,1559293810.833,+1.57521740E+00,,2.2076385542168676e-05,5.145245320197044e-05
79,+4.62216700E-05,1559293811.0413332,+1.57520010E+00,,2.207631325301205e-05,5.145872906403941e-05
80,+4.63645900E-05,1559293811.2496667,+1.57517900E+00,,2.2076341730558598e-05,5.1452709359605914e-05
81,+4.63679300E-05,1559293811.458,+1.57515420E+00,,2.207653012048193e-05,5.145988177339902e-05
82,+4.63358700E-05,1559293811.6663332,+1.57513940E+00,,2.2076370208105145e-05,5.145578325123153e-05
83,+4.62704200E-05,1559293811.8746667,+1.57511700E+00,,2.2076572836801753e-05,5.145629556650246e-05
84,+4.62650900E-05,1559293812.083,+1.57509470E+00,,2.207639978094195e-05,5.1460137931034485e-05
85,+4.56520200E-05,1559293812.2913332,+1.57507240E+00,,2.2076660460021905e-05,5.1456039408866995e-05
86,+4.59999500E-05,1559293812.4996667,+1.57505010E+00,,2.2076934282584884e-05,5.14568078817734e-05
87,+4.57682200E-05,1559293812.708,+1.57502900E+00,,2.2076688937568456e-05,5.1457832512315276e-05
88,+4.55291400E-05,1559293812.9163332,+1.57500550E+00,,2.2077036144578313e-05,5.145629556650246e-05
89,+4.58209800E-05,1559293813.1246667,+1.57498320E+00,,2.207697809419496e-05,5.1455399014778325e-05
90,+4.57421700E-05,1559293813.333,+1.57496330E+00,,2.2077152245345016e-05,5.145988177339902e-05
91,+4.57875900E-05,1559293813.5413332,+1.57494100E+00,,2.2077426067907994e-05,5.145450246305418e-05
92,+4.58530300E-05,1559293813.7496667,+1.57491620E+00,,2.207735377875137e-05,5.1452709359605914e-05
93,+4.57014300E-05,1559293813.958,+1.57490010E+00,,2.2077369112814893e-05,5.146065024630542e-05
94,+4.57188000E-05,1559293814.1663332,+1.57487410E+00,,2.2077238773274917e-05,5.1456039408866995e-05
95,+4.58857500E-05,1559293814.3746667,+1.57485300E+00,,2.2077542168674697e-05,5.145924137931034e-05
96,+4.59311700E-05,1559293814.583,+1.57483070E+00,,2.2077484118291346e-05,5.145770443349754e-05
97,+4.56547000E-05,1559293814.7913332,+1.57481460E+00,,2.207768674698795e-05,5.145667980295567e-05
98,+4.57722200E-05,1559293814.9996667,+1.57479600E+00,,2.207790361445783e-05,5.145591133004926e-05
99,+4.58530400E-05,1559293815.208,+1.57477490E+00,,2.2077831325301203e-05,5.145629556650246e-05
100,+4.58463500E-05,1559293818.808,+1.57474270E+00,,2.207828039430449e-05,5.145629556650246e-05
101,+4.58223100E-05,1559293819.0163333,+1.57471790E+00,,2.2078106243154436e-05,5.14568078817734e-05
102,+4.59859400E-05,1559293819.2246668,+1.57469680E+00,,2.2078222343921138e-05,5.1459369458128075e-05
103,+4.58997700E-05,1559293819.433,+1.57467950E+00,,2.207828039430449e-05,5.146218719211823e-05
104,+4.58163100E-05,1559293819.6413333,+1.57465470E+00,,2.2078627601314347e-05,5.14568078817734e-05
105,+4.59485300E-05,1559293819.8496668,+1.57463110E+00,,2.2078555312157722e-05,5.145924137931034e-05
106,+4.60099800E-05,1559293820.058,+1.57460880E+00,,2.2079031763417305e-05,5.1457960591133e-05
107,+4.58516900E-05,1559293820.2663333,+1.57459150E+00,,2.2079249726177437e-05,5.145821674876847e-05
108,+4.57862500E-05,1559293820.4746668,+1.57457290E+00,,2.2079047097480833e-05,5.1461802955665026e-05
109,+4.60647400E-05,1559293820.683,+1.57455060E+00,,2.2079581599123767e-05,5.145962561576355e-05
110,+4.59104600E-05,1559293820.8913333,+1.57452950E+00,,2.2079278203723987e-05,5.145667980295567e-05
111,+4.59358400E-05,1559293821.0996668,+1.57450970E+00,,2.2079378970427163e-05,5.145988177339902e-05
112,+4.55905700E-05,1559293821.308,+1.57449360E+00,,2.207955312157722e-05,5.145885714285715e-05
113,+4.57675500E-05,1559293821.5163333,+1.57446750E+00,,2.2079653888280395e-05,5.145757635467981e-05
114,+4.54162800E-05,1559293821.7246668,+1.57444770E+00,,2.2079856516977e-05,5.145949753694581e-05
115,+4.52907300E-05,1559293821.933,+1.57443030E+00,,2.2080088718510405e-05,5.146257142857142e-05
116,+4.51344600E-05,1559293822.1413333,+1.57440680E+00,,2.208037787513691e-05,5.145885714285715e-05
117,+4.54703600E-05,1559293822.3496668,+1.57438570E+00,,2.2080435925520262e-05,5.146295566502463e-05
118,+4.54750500E-05,1559293822.558,+1.57436470E+00,,2.2080637458926616e-05,5.145616748768473e-05
119,+4.57635400E-05,1559293822.7663333,+1.57434230E+00,,2.2080984665936473e-05,5.145744827586207e-05
