,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
295,+3.55567000E-05,1559292684.5356667,+1.57095940E+00,,0.0001272252573932092,5.15348275862069e-05
296,+3.50227000E-05,1559292684.744,+1.57096060E+00,,0.0001272243921139102,5.153380295566503e-05
297,+3.58571000E-05,1559292684.9523332,+1.57095810E+00,,0.00012722433734939758,5.1531753694581286e-05
298,+3.45089000E-05,1559292685.1606667,+1.57095440E+00,,0.00012722360350492882,5.153431527093596e-05
299,+3.57235000E-05,1559292685.369,+1.57095440E+00,,0.00012722258488499452,5.153252216748768e-05
300,+3.49028000E-05,1559292689.031,+1.57095320E+00,,0.0001275087294633078,5.153021674876847e-05
301,+3.50562000E-05,1559292689.2393332,+1.57095320E+00,,0.00012903129244249727,5.153444334975369e-05
302,+3.51831000E-05,1559292689.4476666,+1.57095440E+00,,0.00012903267250821468,5.1533034482758624e-05
303,+3.50229000E-05,1559292689.656,+1.57095320E+00,,0.00012933814895947426,5.1535339901477834e-05
304,+3.53566000E-05,1559292689.8643332,+1.57095570E+00,,0.0001307120591456736,5.1533290640394085e-05
305,+3.48227000E-05,1559292690.0726666,+1.57095690E+00,,0.00013071224534501644,5.1534571428571424e-05
306,+3.47025000E-05,1559292690.281,+1.57095190E+00,,0.00013343671412924425,5.1531241379310344e-05
307,+3.43556000E-05,1559292690.4893332,+1.57095690E+00,,0.0001334387404162103,5.153431527093596e-05
308,+3.40085000E-05,1559292690.6976666,+1.57095440E+00,,0.00013343671412924425,5.1530985221674876e-05
309,+3.39150000E-05,1559292690.906,+1.57095320E+00,,0.00013524217962760133,5.153188177339902e-05
310,+3.48962000E-05,1559292691.1143332,+1.57095320E+00,,0.00013524247535596934,5.1531241379310344e-05
311,+3.49562000E-05,1559292691.3226666,+1.57095690E+00,,0.00013524305585980285,5.153008866995074e-05
312,+3.43022000E-05,1559292691.531,+1.57095570E+00,,0.00013782483023001095,5.153354679802955e-05
313,+3.50829000E-05,1559292691.7393332,+1.57095810E+00,,0.00013782396495071194,5.153021674876847e-05
314,+3.49428000E-05,1559292691.9476666,+1.57095810E+00,,0.00013782338444687844,5.152791133004926e-05
315,+3.60307000E-05,1559292692.156,+1.57095570E+00,,0.00013782396495071194,5.153008866995074e-05
316,+3.43222000E-05,1559292692.3643332,+1.57095940E+00,,0.00013782178532311063,5.152816748768473e-05
317,+3.49428000E-05,1559292692.5726666,+1.57095810E+00,,0.0001378225082146769,5.1531241379310344e-05
318,+3.52298000E-05,1559292692.781,+1.57096060E+00,,0.0001378230887185104,5.153367487684729e-05
319,+3.56436000E-05,1559292692.9893332,+1.57095940E+00,,0.00013782266155531214,5.1529960591133005e-05
320,+3.48295000E-05,1559292693.1976666,+1.57095810E+00,,0.0001378230887185104,5.1528551724137925e-05
321,+3.48093000E-05,1559292693.406,+1.57096190E+00,,0.00013782106243154436,5.1525605911330046e-05
322,+3.44490000E-05,1559292693.6143332,+1.57096190E+00,,0.00013782323110624314,5.152867980295566e-05
323,+3.54901000E-05,1559292693.8226666,+1.57095940E+00,,0.0001378225082146769,5.1528551724137925e-05
324,+3.39885000E-05,1559292694.031,+1.57095940E+00,,0.00013782077765607886,5.152944827586207e-05
325,+3.51297000E-05,1559292697.731,+1.57095690E+00,,0.0001391626834611172,5.1529960591133005e-05
326,+3.49228000E-05,1559292697.9393332,+1.57095570E+00,,0.00013962913472070099,5.152791133004926e-05
327,+3.47427000E-05,1559292698.1476667,+1.57095570E+00,,0.00013962913472070099,5.152688669950739e-05
328,+3.43623000E-05,1559292698.356,+1.57095320E+00,,0.00014160442497261773,5.15295763546798e-05
329,+3.42221000E-05,1559292698.5643332,+1.57095190E+00,,0.00014220552026286966,5.152739901477832e-05
330,+3.45225000E-05,1559292698.7726667,+1.57095070E+00,,0.00014220277108433735,5.152483743842365e-05
331,+3.44556000E-05,1559292698.981,+1.57095320E+00,,0.0001437438882803943,5.152573399014779e-05
332,+3.39618000E-05,1559292699.1893332,+1.57095320E+00,,0.00014401258488499452,5.1531241379310344e-05
333,+3.53900000E-05,1559292699.3976667,+1.57095690E+00,,0.00014401258488499452,5.152406896551724e-05
334,+3.44890000E-05,1559292699.606,+1.57095570E+00,,0.00014548304490690032,5.1528295566502465e-05
335,+3.39351000E-05,1559292699.8143332,+1.57095440E+00,,0.00014569499452354872,5.152509359605911e-05
336,+3.42020000E-05,1559292700.0226667,+1.57095570E+00,,0.00014569499452354872,5.15291921182266e-05
337,+3.44022000E-05,1559292700.231,+1.57095570E+00,,0.00014829512595837898,5.153021674876847e-05
338,+3.34879000E-05,1559292700.4393332,+1.57095320E+00,,0.0001483980613362541,5.153149753694581e-05
339,+3.43621000E-05,1559292700.6476667,+1.57095190E+00,,0.0001483980613362541,5.1534571428571424e-05
340,+3.50295000E-05,1559292700.856,+1.57095570E+00,,0.0001483983461117196,5.1537389162561576e-05
341,+3.38751000E-05,1559292701.0643332,+1.57095190E+00,,0.00014839661555312157,5.1535083743842366e-05
342,+3.46892000E-05,1559292701.2726667,+1.57095570E+00,,0.00014839892661555314,5.153393103448276e-05
343,+3.43489000E-05,1559292701.481,+1.57095690E+00,,0.0001483980613362541,5.1529320197044335e-05
344,+3.42554000E-05,1559292701.6893332,+1.57095440E+00,,0.00014839922234392115,5.1533034482758624e-05
345,+3.43824000E-05,1559292701.8976667,+1.57095690E+00,,0.00014839892661555314,5.1535596059113295e-05
346,+3.49161000E-05,1559292702.106,+1.57095810E+00,,0.00014839848849945234,5.1531625615763545e-05
347,+3.35881000E-05,1559292702.3143332,+1.57095690E+00,,0.00014839545454545453,5.15348275862069e-05
348,+3.42288000E-05,1559292702.5226667,+1.57095440E+00,,0.00014839603504928806,5.153431527093596e-05
349,+3.47492000E-05,1559292702.731,+1.57095320E+00,,0.00014839603504928806,5.153649261083744e-05
350,+3.42887000E-05,1559292706.43,+1.57095320E+00,,0.00014860305585980284,5.153213793103448e-05
351,+3.45424000E-05,1559292706.6383333,+1.57095440E+00,,0.00015007645125958378,5.153418719211823e-05
352,+3.38952000E-05,1559292706.8466668,+1.57095190E+00,,0.00015007470974808326,5.153111330049261e-05
353,+3.33011000E-05,1559292707.055,+1.57095190E+00,,0.0001506428039430449,5.1533290640394085e-05
354,+3.34011000E-05,1559292707.2633333,+1.57095440E+00,,0.0001527861774370208,5.153188177339902e-05
355,+3.32877000E-05,1559292707.4716668,+1.57095320E+00,,0.0001527861774370208,5.1533034482758624e-05
356,+3.34413000E-05,1559292707.68,+1.57095810E+00,,0.0001531744578313253,5.153277832512316e-05
357,+3.34077000E-05,1559292707.8883333,+1.57095690E+00,,0.0001544639539978094,5.1532650246305416e-05
358,+3.35145000E-05,1559292708.0966668,+1.57095320E+00,,0.00015446323110624317,5.1530600985221674e-05
359,+3.38082000E-05,1559292708.305,+1.57095190E+00,,0.0001553298357064622,5.1527527093596055e-05
360,+3.36348000E-05,1559292708.5133333,+1.57095320E+00,,0.00015717049288061337,5.152714285714286e-05
361,+3.36280000E-05,1559292708.7216668,+1.57095440E+00,,0.00015717077765607887,5.1532266009852214e-05
362,+3.33945000E-05,1559292708.93,+1.57095440E+00,,0.00015774944140197153,5.153252216748768e-05
363,+3.35612000E-05,1559292709.1383333,+1.57095320E+00,,0.00015885043811610078,5.1531241379310344e-05
