,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
81,+4.58296400E-05,1559291448.796,+1.57516790E+00,,2.216926944140197e-05,5.16143842364532e-05
82,+4.56406500E-05,1559291449.0043333,+1.57514930E+00,,2.2169384446878423e-05,5.1614256157635465e-05
83,+4.57281400E-05,1559291449.2126667,+1.57512700E+00,,2.216926944140197e-05,5.16147684729064e-05
84,+4.58563500E-05,1559291449.421,+1.57509970E+00,,2.216918181818182e-05,5.1616561576354675e-05
85,+4.55044100E-05,1559291449.6293333,+1.57507990E+00,,2.2169123767798467e-05,5.1615024630541875e-05
86,+4.50195800E-05,1559291449.8376667,+1.57505750E+00,,2.216929791894852e-05,5.160387192118227e-05
87,+4.51084000E-05,1559291450.046,+1.57503520E+00,,2.21694282584885e-05,5.161118226600985e-05
88,+4.52012300E-05,1559291450.2543333,+1.57501290E+00,,2.2169615553121577e-05,5.1610798029556644e-05
89,+4.50883500E-05,1559291450.4626667,+1.57499430E+00,,2.216976122672508e-05,5.161540886699507e-05
90,+4.48072000E-05,1559291450.671,+1.57497200E+00,,2.216967360350493e-05,5.16143842364532e-05
91,+4.48566300E-05,1559291450.8793333,+1.57494970E+00,,2.2169934282584884e-05,5.161233497536946e-05
92,+4.44278800E-05,1559291451.0876667,+1.57492740E+00,,2.216964512595838e-05,5.160977339901477e-05
93,+4.47557900E-05,1559291451.296,+1.57491000E+00,,2.216986199342826e-05,5.1616049261083746e-05
94,+4.46997000E-05,1559291451.5043333,+1.57488770E+00,,2.216976122672508e-05,5.161207881773399e-05
95,+4.51424500E-05,1559291451.7126667,+1.57486420E+00,,2.2169587075575027e-05,5.160862068965517e-05
96,+4.51130800E-05,1559291451.921,+1.57484680E+00,,2.216976122672508e-05,5.1612591133004925e-05
97,+4.53962400E-05,1559291452.1293333,+1.57482450E+00,,2.2169587075575027e-05,5.161118226600985e-05
98,+4.53374600E-05,1559291452.3376667,+1.57480340E+00,,2.2169962760131435e-05,5.161387192118227e-05
99,+4.53688500E-05,1559291452.546,+1.57478360E+00,,2.2169992332968236e-05,5.1615024630541875e-05
100,+4.57515100E-05,1559291456.147,+1.57474520E+00,,2.2170078860898138e-05,5.161566502463054e-05
101,+4.58563600E-05,1559291456.3553333,+1.57472660E+00,,2.216976122672508e-05,5.1611950738916256e-05
102,+4.58610300E-05,1559291456.5636668,+1.57470550E+00,,2.216978970427163e-05,5.160951724137931e-05
103,+4.59051100E-05,1559291456.772,+1.57468570E+00,,2.2169818181818182e-05,5.161182266009853e-05
104,+4.58463500E-05,1559291456.9803333,+1.57465840E+00,,2.2170020810514786e-05,5.161207881773399e-05
105,+4.56967400E-05,1559291457.1886668,+1.57464230E+00,,2.217013691128149e-05,5.161412807881774e-05
106,+4.56940700E-05,1559291457.397,+1.57462250E+00,,2.2169934282584884e-05,5.161374384236453e-05
107,+4.55698600E-05,1559291457.6053333,+1.57460390E+00,,2.2170339539978093e-05,5.161387192118227e-05
108,+4.54135900E-05,1559291457.8136668,+1.57458280E+00,,2.216986199342826e-05,5.161451231527093e-05
109,+4.55171100E-05,1559291458.022,+1.57456550E+00,,2.2169934282584884e-05,5.1611950738916256e-05
110,+4.57054400E-05,1559291458.2303333,+1.57453820E+00,,2.217019496166484e-05,5.1609261083743844e-05
111,+4.56660200E-05,1559291458.4386668,+1.57451710E+00,,2.217013691128149e-05,5.1616049261083746e-05
112,+4.60072800E-05,1559291458.647,+1.57449600E+00,,2.2170281489594742e-05,5.160964532019704e-05
113,+4.58576900E-05,1559291458.8553333,+1.57447500E+00,,2.2170180722891567e-05,5.161528078817734e-05
114,+4.57768900E-05,1559291459.0636668,+1.57445140E+00,,2.2170512595837897e-05,5.161374384236453e-05
115,+4.58076100E-05,1559291459.272,+1.57443160E+00,,2.2170542168674698e-05,5.1617970443349754e-05
116,+4.55251200E-05,1559291459.4803333,+1.57441550E+00,,2.2170542168674698e-05,5.1618610837438424e-05
117,+4.56820500E-05,1559291459.6886668,+1.57439690E+00,,2.2170455640744796e-05,5.1610798029556644e-05
118,+4.55972400E-05,1559291459.897,+1.57437580E+00,,2.2170542168674698e-05,5.161348768472906e-05
119,+4.55211200E-05,1559291460.1053333,+1.57435600E+00,,2.2170397590361445e-05,5.161374384236453e-05
120,+4.57555300E-05,1559291460.3136668,+1.57433240E+00,,2.21706286966046e-05,5.1609901477832514e-05
121,+4.58122900E-05,1559291460.522,+1.57431880E+00,,2.2170556407447974e-05,5.161220689655172e-05
122,+4.57528500E-05,1559291460.7303333,+1.57429770E+00,,2.2170773274917852e-05,5.161451231527093e-05
123,+4.57548500E-05,1559291460.9386668,+1.57428040E+00,,2.2171092004381163e-05,5.161297536945813e-05
124,+4.57401500E-05,1559291461.147,+1.57425310E+00,,2.217088937568456e-05,5.161054187192118e-05
125,+4.53027400E-05,1559291464.746,+1.57422710E+00,,2.217097590361446e-05,5.161822660098522e-05
126,+4.52833700E-05,1559291464.9543333,+1.57420350E+00,,2.2171192771084338e-05,5.161297536945813e-05
127,+4.51464700E-05,1559291465.1626668,+1.57418240E+00,,2.217143921139102e-05,5.161451231527093e-05
128,+4.49881900E-05,1559291465.371,+1.57415760E+00,,2.2171265060240966e-05,5.161528078817734e-05
129,+4.52753500E-05,1559291465.5793333,+1.57414530E+00,,2.217146768893757e-05,5.161233497536946e-05
130,+4.53187500E-05,1559291465.7876668,+1.57412670E+00,,2.2171148959474264e-05,5.161105418719212e-05
131,+4.54156000E-05,1559291465.996,+1.57410560E+00,,2.2171207009857615e-05,5.1612591133004925e-05
132,+4.42268700E-05,1559291466.2043333,+1.57408820E+00,,2.2171481927710844e-05,5.161617733990148e-05
133,+4.47270700E-05,1559291466.4126668,+1.57406720E+00,,2.2171323110624317e-05,5.161348768472906e-05
134,+4.48519400E-05,1559291466.621,+1.57404730E+00,,2.2171568455640746e-05,5.161335960591133e-05
135,+4.49394400E-05,1559291466.8293333,+1.57402630E+00,,2.2171598028477547e-05,5.161489655172414e-05
136,+4.49755000E-05,1559291467.0376668,+1.57400520E+00,,2.2171814895947428e-05,5.1613231527093594e-05
137,+4.50209200E-05,1559291467.246,+1.57398780E+00,,2.2171987951807228e-05,5.1616561576354675e-05
138,+4.37260000E-05,1559291467.4543333,+1.57396800E+00,,2.217190142387733e-05,5.161335960591133e-05
139,+4.43250300E-05,1559291467.6626668,+1.57394690E+00,,2.2171858707557502e-05,5.161233497536946e-05
140,+4.55878900E-05,1559291467.871,+1.57393700E+00,,2.217217634173056e-05,5.161143842364532e-05
141,+4.55351300E-05,1559291468.0793333,+1.57391220E+00,,2.2172118291347208e-05,5.1617330049261085e-05
142,+4.56399800E-05,1559291468.2876668,+1.57389120E+00,,2.2172104052573934e-05,5.161220689655172e-05
143,+4.53742000E-05,1559291468.496,+1.57387260E+00,,2.2172075575027384e-05,5.161054187192118e-05
144,+4.54182600E-05,1559291468.7043333,+1.57385400E+00,,2.2172133625410735e-05,5.161566502463054e-05
