,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
109,+4.39858000E-05,1559292963.037,+1.57136100E+00,,2.2120721796276013e-05,5.1501517241379306e-05
110,+4.48579600E-05,1559292963.2453332,+1.57136590E+00,,2.21211708652793e-05,5.1501517241379306e-05
111,+4.46676400E-05,1559292963.4536667,+1.57137590E+00,,2.2120504928806135e-05,5.1498571428571427e-05
112,+4.37520500E-05,1559292963.662,+1.57138080E+00,,2.2120446878422784e-05,5.150113300492611e-05
113,+4.34702400E-05,1559292963.8703332,+1.57138820E+00,,2.2119478641840087e-05,5.14995960591133e-05
114,+4.32912600E-05,1559292964.0786667,+1.57139570E+00,,2.2120968236582695e-05,5.150087684729064e-05
115,+4.34007800E-05,1559292964.287,+1.57140190E+00,,2.212147426067908e-05,5.1497546798029556e-05
116,+4.38882900E-05,1559292964.4953332,+1.57141430E+00,,2.212138773274918e-05,5.150010837438424e-05
117,+4.35149800E-05,1559292964.7036667,+1.57141680E+00,,2.212205257393209e-05,5.149985221674877e-05
118,+4.36612300E-05,1559292964.912,+1.57142420E+00,,2.212199561883899e-05,5.1497546798029556e-05
119,+4.26842100E-05,1559292965.1203332,+1.57143290E+00,,2.2121763417305585e-05,5.149831527093596e-05
120,+4.26855400E-05,1559292965.3286667,+1.57144400E+00,,2.2122082146768892e-05,5.149267980295567e-05
121,+4.30107600E-05,1559292965.537,+1.57145150E+00,,2.2122284775465497e-05,5.1498955665024635e-05
122,+4.27930600E-05,1559292965.7453332,+1.57145890E+00,,2.212286308871851e-05,5.150087684729064e-05
123,+4.16303800E-05,1559292965.9536667,+1.57146510E+00,,2.2123152245345015e-05,5.150138916256157e-05
124,+4.11962800E-05,1559292966.162,+1.57147750E+00,,2.2123268346111717e-05,5.149805911330049e-05
125,+4.10193200E-05,1559292969.761,+1.57148990E+00,,2.2123818181818183e-05,5.150010837438424e-05
126,+3.95340600E-05,1559292969.9693332,+1.57149860E+00,,2.212400547645126e-05,5.149780295566503e-05
127,+4.14560700E-05,1559292970.1776667,+1.57151220E+00,,2.212413581599124e-05,5.150113300492611e-05
128,+4.19442500E-05,1559292970.386,+1.57151840E+00,,2.2124483023001097e-05,5.149908374384236e-05
129,+4.19128600E-05,1559292970.5943332,+1.57152340E+00,,2.2124584884994522e-05,5.149831527093596e-05
130,+4.08022800E-05,1559292970.8026667,+1.57152960E+00,,2.2125105147864183e-05,5.15003645320197e-05
131,+4.06760400E-05,1559292971.011,+1.57154690E+00,,2.2125538882803946e-05,5.149780295566503e-05
132,+3.97811500E-05,1559292971.2193332,+1.57155060E+00,,2.212574151150055e-05,5.150318226600985e-05
133,+4.20464300E-05,1559292971.4276667,+1.57155560E+00,,2.2126393209200437e-05,5.150074876847291e-05
134,+4.24371000E-05,1559292971.636,+1.57156050E+00,,2.212653778751369e-05,5.149703448275862e-05
135,+4.20958500E-05,1559292971.8443332,+1.57157540E+00,,2.2126855421686747e-05,5.149831527093596e-05
136,+4.36265000E-05,1559292972.0526667,+1.57157790E+00,,2.212733296823658e-05,5.149780295566503e-05
137,+4.45327500E-05,1559292972.261,+1.57158910E+00,,2.2127838992332968e-05,5.149741871921182e-05
138,+4.33627100E-05,1559292972.4693332,+1.57160020E+00,,2.212825848849945e-05,5.149677832512315e-05
139,+4.28885500E-05,1559292972.6776667,+1.57161010E+00,,2.212879408543264e-05,5.150100492610838e-05
140,+4.36745800E-05,1559292972.886,+1.57161880E+00,,2.2129185104052574e-05,5.150266995073891e-05
141,+4.35290100E-05,1559292973.0943332,+1.57162620E+00,,2.212956078860898e-05,5.14995960591133e-05
142,+4.22714700E-05,1559292973.3026667,+1.57163620E+00,,2.212990799561884e-05,5.149741871921182e-05
143,+4.33099600E-05,1559292973.511,+1.57164360E+00,,2.213009638554217e-05,5.149805911330049e-05
144,+4.41627700E-05,1559292973.7193332,+1.57165720E+00,,2.2130500547645128e-05,5.149933990147783e-05
145,+4.41767900E-05,1559292973.9276667,+1.57166710E+00,,2.2130630887185104e-05,5.1497162561576354e-05
146,+4.34415000E-05,1559292974.136,+1.57167710E+00,,2.2131094194961664e-05,5.14995960591133e-05
147,+4.15749400E-05,1559292974.3443332,+1.57168700E+00,,2.2131253012048194e-05,5.149703448275862e-05
148,+4.14547300E-05,1559292974.5526667,+1.57169440E+00,,2.2131658269441403e-05,5.149908374384236e-05
149,+4.22080400E-05,1559292974.761,+1.57170930E+00,,2.2131991237677987e-05,5.150177339901478e-05
150,+4.36024600E-05,1559292978.362,+1.57172170E+00,,2.2132613362541073e-05,5.150164532019704e-05
151,+4.17980000E-05,1559292978.5703332,+1.57173410E+00,,2.21326856516977e-05,5.150177339901478e-05
152,+4.17866500E-05,1559292978.7786667,+1.57174280E+00,,2.213280065717415e-05,5.1500492610837435e-05
153,+4.17238600E-05,1559292978.987,+1.57176010E+00,,2.213345235487404e-05,5.149933990147783e-05
154,+4.23983800E-05,1559292979.1953332,+1.57176630E+00,,2.2133495071193865e-05,5.149729064039409e-05
155,+4.15041500E-05,1559292979.4036667,+1.57177870E+00,,2.213394414019715e-05,5.1508049261083747e-05
156,+4.33466800E-05,1559292979.612,+1.57178490E+00,,2.2134203723986857e-05,5.14995960591133e-05
157,+4.38488900E-05,1559292979.8203332,+1.57179980E+00,,2.2134652792990143e-05,5.149805911330049e-05
158,+4.30795500E-05,1559292980.0286667,+1.57180840E+00,,2.2135116100766703e-05,5.149805911330049e-05
159,+4.22300700E-05,1559292980.237,+1.57181710E+00,,2.2135289156626507e-05,5.1502926108374385e-05
160,+4.33433300E-05,1559292980.4453332,+1.57182950E+00,,2.2135592552026286e-05,5.149908374384236e-05
161,+4.33660400E-05,1559292980.6536667,+1.57184320E+00,,2.213583899233297e-05,5.1495241379310346e-05
162,+4.39009800E-05,1559292980.862,+1.57185310E+00,,2.213598357064622e-05,5.14995960591133e-05
163,+4.40031600E-05,1559292981.0703332,+1.57186420E+00,,2.2136475355969332e-05,5.150241379310345e-05
164,+4.20958400E-05,1559292981.2786667,+1.57187290E+00,,2.2136591456736035e-05,5.149498522167488e-05
165,+4.22828400E-05,1559292981.487,+1.57188780E+00,,2.2136995618838993e-05,5.149600985221675e-05
166,+4.44492500E-05,1559292981.6953332,+1.57189770E+00,,2.2137487404162103e-05,5.149677832512315e-05
167,+4.39103200E-05,1559292981.9036667,+1.57191260E+00,,2.21374008762322e-05,5.1497546798029556e-05
168,+4.40185100E-05,1559292982.112,+1.57192370E+00,,2.213763307776561e-05,5.1499211822660096e-05
