,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),SQUID_Curr(A)
114,-3.07518000E-05,1559281303.6216667,+1.57073750E+00,0.014468207,4.9650512315270936e-05
115,-3.06650000E-05,1559281303.83,+1.57074120E+00,0.014468338,4.965230541871921e-05
116,-3.07251000E-05,1559281304.0383332,+1.57073750E+00,0.014468469000000001,4.964628571428571e-05
117,-3.05181000E-05,1559281304.2466667,+1.57073870E+00,0.014468626000000002,4.965179310344828e-05
118,-3.06917000E-05,1559281304.455,+1.57073750E+00,0.014468652000000002,4.96507684729064e-05
119,-3.06983000E-05,1559281304.6633332,+1.57073750E+00,0.014468574000000001,4.964795073891626e-05
120,-3.06783000E-05,1559281304.8716667,+1.57073870E+00,0.014468390000000001,4.964987192118227e-05
121,-3.08318000E-05,1559281305.08,+1.57073630E+00,0.014468417,4.965102463054187e-05
122,-3.05983000E-05,1559281305.2883332,+1.57073380E+00,0.014468547000000002,4.964705418719212e-05
123,-3.07116000E-05,1559281305.4966667,+1.57073870E+00,0.014468574000000001,4.9649487684729065e-05
124,-3.07651000E-05,1559281305.705,+1.57073250E+00,0.014468574000000001,4.9645389162561575e-05
125,-3.07050000E-05,1559281309.304,+1.57074000E+00,0.014630723000000002,4.9648206896551726e-05
126,-3.07318000E-05,1559281309.5123332,+1.57074370E+00,0.015496547999999999,4.9648719211822655e-05
127,-3.07585000E-05,1559281309.7206666,+1.57074000E+00,0.015496889,4.9647182266009856e-05
128,-3.06517000E-05,1559281309.929,+1.57074370E+00,0.015496941,4.9648719211822655e-05
129,-3.08653000E-05,1559281310.1373332,+1.57074120E+00,0.015497177000000001,4.9648206896551726e-05
130,-3.09318000E-05,1559281310.3456666,+1.57074370E+00,0.015497333999999998,4.9647438423645316e-05
131,-3.08118000E-05,1559281310.554,+1.57074370E+00,0.016556789,4.9646798029556654e-05
132,-3.07250000E-05,1559281310.7623332,+1.57074490E+00,0.016551357,4.964602955665025e-05
133,-3.07584000E-05,1559281310.9706666,+1.57074740E+00,0.016550938,4.964795073891626e-05
134,-3.07718000E-05,1559281311.179,+1.57074620E+00,0.016550781,4.964705418719212e-05
135,-3.04115000E-05,1559281311.3873332,+1.57074740E+00,0.016550729,4.9644364532019704e-05
136,-3.15393000E-05,1559281311.5956666,+1.57074620E+00,0.01655065,4.9647822660098525e-05
137,-3.14658000E-05,1559281311.804,+1.57075110E+00,0.017579921000000002,4.9641418719211825e-05
138,-3.12189000E-05,1559281312.0123332,+1.57075240E+00,0.017580274,4.965025615763547e-05
139,-3.13189000E-05,1559281312.2206666,+1.57075360E+00,0.0175803,4.964654187192118e-05
140,-3.14924000E-05,1559281312.429,+1.57074870E+00,0.0175803,4.964513300492611e-05
141,-3.15325000E-05,1559281312.6373332,+1.57074990E+00,0.017580248,4.964833497536946e-05
142,-3.15191000E-05,1559281312.8456666,+1.57075490E+00,0.017580326,4.964731034482758e-05
143,-3.14925000E-05,1559281313.054,+1.57074990E+00,0.017580405,4.964628571428571e-05
144,-3.14925000E-05,1559281313.2623332,+1.57074990E+00,0.017580313,4.9650128078817735e-05
145,-3.14792000E-05,1559281313.4706666,+1.57075860E+00,0.01758034,4.964282758620689e-05
146,-3.16927000E-05,1559281313.679,+1.57075240E+00,0.01758047,4.964372413793104e-05
147,-3.14791000E-05,1559281313.8873332,+1.57075360E+00,0.017580274,4.964654187192118e-05
148,-3.14925000E-05,1559281314.0956666,+1.57075240E+00,0.017580117,4.965140886699507e-05
149,-3.15059000E-05,1559281314.304,+1.57075240E+00,0.017580143,4.964705418719212e-05
150,-3.15191000E-05,1559281317.998,+1.57075110E+00,0.018392003,4.964231527093596e-05
151,-3.15124000E-05,1559281318.2063332,+1.57075730E+00,0.018607635,4.9647182266009856e-05
152,-3.16126000E-05,1559281318.4146667,+1.57075610E+00,0.018607635,4.9650128078817735e-05
153,-3.15192000E-05,1559281318.623,+1.57075610E+00,0.018607556,4.964423645320197e-05
154,-3.14859000E-05,1559281318.8313332,+1.57075360E+00,0.018607635,4.9644876847290646e-05
155,-3.14859000E-05,1559281319.0396667,+1.57075360E+00,0.018607608,4.964807881773399e-05
156,-3.15993000E-05,1559281319.248,+1.57075490E+00,0.019513644,4.964807881773399e-05
157,-3.16593000E-05,1559281319.4563332,+1.57075730E+00,0.019614117,4.964615763546798e-05
158,-3.14992000E-05,1559281319.6646667,+1.57076100E+00,0.019614117,4.9647694581280784e-05
159,-3.16059000E-05,1559281319.873,+1.57075730E+00,0.019614209,4.964257142857143e-05
160,-3.14658000E-05,1559281320.0813332,+1.57075860E+00,0.019614261,4.964705418719212e-05
161,-3.15860000E-05,1559281320.2896667,+1.57075730E+00,0.019614156,4.96432118226601e-05
162,-3.15592000E-05,1559281320.498,+1.57075730E+00,0.020636308,4.96432118226601e-05
163,-3.17528000E-05,1559281320.7063332,+1.57076350E+00,0.020644397000000002,4.9645389162561575e-05
164,-3.15992000E-05,1559281320.9146667,+1.57076480E+00,0.020644594,4.964961576354679e-05
165,-3.15593000E-05,1559281321.123,+1.57075730E+00,0.020644698,4.9649103448275864e-05
