,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
89,+3.12282600E-05,1559380749.4606667,+1.57102140E+00,,4.057811938663746e-05,4.858824630541872e-05
90,+3.12002100E-05,1559380749.669,+1.57101140E+00,,4.0578292442497264e-05,4.8586453201970444e-05
91,+3.14012300E-05,1559380749.8773332,+1.57101020E+00,,4.057863964950712e-05,4.858568472906404e-05
92,+3.13391200E-05,1559380750.0856667,+1.57100770E+00,,4.057908871851041e-05,4.858864039408867e-05
93,+3.13644900E-05,1559380750.294,+1.57100650E+00,,4.057918948521358e-05,4.85859408866995e-05
94,+3.13144200E-05,1559380750.5023332,+1.57100650E+00,,4.057930558598028e-05,4.859094581280788e-05
95,+3.13711800E-05,1559380750.7106667,+1.57100280E+00,,4.057947864184008e-05,4.8613871921182265e-05
96,+3.14012300E-05,1559380750.919,+1.57100400E+00,,4.057901642935378e-05,4.859158620689655e-05
97,+3.14025600E-05,1559380751.1273332,+1.57100520E+00,,4.0579219058050385e-05,4.859017733990147e-05
98,+3.13972200E-05,1559380751.3356667,+1.57100520E+00,,4.057947864184008e-05,4.8591201970443357e-05
99,+3.13324500E-05,1559380751.544,+1.57101020E+00,,4.057973932092004e-05,4.859235467980296e-05
100,+3.14205800E-05,1559380755.223,+1.57101760E+00,,4.082202409638554e-05,4.8587862068965516e-05
101,+3.15401200E-05,1559380755.4313333,+1.57101890E+00,,4.269611171960569e-05,4.8590049261083745e-05
102,+3.15788600E-05,1559380755.6396668,+1.57102140E+00,,4.269658926615553e-05,4.859312315270936e-05
103,+3.15100800E-05,1559380755.848,+1.57101760E+00,,4.3147049288061336e-05,4.859145812807882e-05
104,+3.15027400E-05,1559380756.0563333,+1.57102140E+00,,4.4873773274917855e-05,4.861668965517241e-05
105,+3.13291100E-05,1559380756.2646668,+1.57101890E+00,,4.487433844468785e-05,4.8642699507389166e-05
106,+3.15481600E-05,1559380756.473,+1.57102010E+00,,4.537249069003286e-05,4.8653201970443343e-05
107,+3.17037600E-05,1559380756.6813333,+1.57101520E+00,,4.698680175246441e-05,4.8653330049261084e-05
108,+3.16182700E-05,1559380756.8896668,+1.57101640E+00,,4.698861007667032e-05,4.8657044334975366e-05
109,+3.16696900E-05,1559380757.098,+1.57102010E+00,,4.754172179627601e-05,4.8659733990147784e-05
110,+3.17391500E-05,1559380757.3063333,+1.57101640E+00,,4.907098685651698e-05,4.866127093596059e-05
111,+3.17318000E-05,1559380757.5146668,+1.57102260E+00,,4.907110295728368e-05,4.866011822660098e-05
112,+3.17925800E-05,1559380757.723,+1.57102010E+00,,4.986231872946331e-05,4.866383251231527e-05
113,+3.18112700E-05,1559380757.9313333,+1.57101890E+00,,5.128176451259584e-05,4.8666778325123154e-05
114,+3.17498300E-05,1559380758.1396668,+1.57101760E+00,,5.1282082146768894e-05,4.867190147783251e-05
115,+3.17865700E-05,1559380758.348,+1.57101640E+00,,5.1283239868565166e-05,4.8674206896551725e-05
116,+3.18159400E-05,1559380758.5563333,+1.57101390E+00,,5.1283095290251916e-05,4.86695960591133e-05
117,+3.18900700E-05,1559380758.7646668,+1.57101520E+00,,5.128361555312158e-05,4.867792118226601e-05
118,+3.18346500E-05,1559380758.973,+1.57100900E+00,,5.128393428258489e-05,4.867817733990148e-05
119,+3.18667100E-05,1559380759.1813333,+1.57101140E+00,,5.1283703176341736e-05,4.868574384236453e-05
120,+3.18206200E-05,1559380759.3896668,+1.57101760E+00,,5.128407886089814e-05,4.868318226600985e-05
121,+3.19294700E-05,1559380759.598,+1.57101890E+00,,5.1284454545454545e-05,4.8687793103448275e-05
122,+3.18820600E-05,1559380759.8063333,+1.57102260E+00,,5.1284309967141295e-05,4.869048275862069e-05
123,+3.19021000E-05,1559380760.0146668,+1.57101760E+00,,5.128491785323111e-05,4.8690098522167485e-05
124,+3.19341500E-05,1559380760.223,+1.57101520E+00,,5.1285467688937567e-05,4.860157635467981e-05
125,+3.18553400E-05,1559380763.823,+1.57101890E+00,,5.152889485213582e-05,4.859568472906404e-05
126,+3.19228000E-05,1559380764.0313332,+1.57101520E+00,,5.336700547645126e-05,4.859555665024631e-05
127,+3.18333100E-05,1559380764.2396667,+1.57102140E+00,,5.336762760131435e-05,4.859786206896552e-05
128,+3.19161200E-05,1559380764.448,+1.57102140E+00,,5.5672559693318735e-05,4.859683743842365e-05
129,+3.18366500E-05,1559380764.6563332,+1.57101760E+00,,5.565750054764512e-05,4.859696551724138e-05
130,+3.19475000E-05,1559380764.8646667,+1.57101270E+00,,5.5656733844468784e-05,4.86008078817734e-05
131,+3.19548600E-05,1559380765.073,+1.57101890E+00,,5.78316626506024e-05,4.8601064039408865e-05
132,+3.19875700E-05,1559380765.2813332,+1.57102510E+00,,5.7832097480832425e-05,4.8595812807881776e-05
133,+3.19007600E-05,1559380765.4896667,+1.57102880E+00,,5.783383242059146e-05,4.859799014778325e-05
134,+3.19668800E-05,1559380765.698,+1.57102630E+00,,5.99474008762322e-05,4.864282758620689e-05
135,+3.19461800E-05,1559380765.9063332,+1.57102010E+00,,5.994838444687843e-05,4.859837438423645e-05
136,+3.14974000E-05,1559380766.1146667,+1.57102380E+00,,5.994957064622125e-05,4.8608748768472904e-05
137,+3.24677400E-05,1559380766.323,+1.57102140E+00,,6.206266046002191e-05,4.859235467980296e-05
138,+3.20623800E-05,1559380766.5313332,+1.57101890E+00,,6.206367250821468e-05,4.859888669950739e-05
139,+3.17364700E-05,1559380766.7396667,+1.57102380E+00,,6.206425191675794e-05,4.8597477832512316e-05
140,+3.20650500E-05,1559380766.948,+1.57102380E+00,,6.2063282584885e-05,4.8596453201970445e-05
141,+3.20289800E-05,1559380767.1563332,+1.57102630E+00,,6.206351369112815e-05,4.8595812807881776e-05
142,+3.20577000E-05,1559380767.3646667,+1.57102010E+00,,6.206426615553122e-05,4.864103448275862e-05
143,+3.20269700E-05,1559380767.573,+1.57102140E+00,,6.206458378970428e-05,4.868100492610837e-05
144,+3.20864200E-05,1559380767.7813332,+1.57102510E+00,,6.20656834611172e-05,4.867856157635468e-05
145,+3.20223000E-05,1559380767.9896667,+1.57102010E+00,,6.206564074479737e-05,4.867702463054187e-05
146,+3.20750500E-05,1559380768.198,+1.57101890E+00,,6.206543811610077e-05,4.867715270935961e-05
147,+3.17718800E-05,1559380768.4063332,+1.57101520E+00,,6.206536582694415e-05,4.8681773399014777e-05
148,+3.19842400E-05,1559380768.6146667,+1.57101640E+00,,6.2066291347207e-05,4.868164532019704e-05
149,+3.22366800E-05,1559380768.823,+1.57101760E+00,,6.206634939759035e-05,4.8679842364532016e-05
150,+3.24383600E-05,1559380772.561,+1.57101760E+00,,6.315095290251917e-05,4.8677280788177345e-05
151,+3.23028000E-05,1559380772.7693334,+1.57101640E+00,,6.42452092004381e-05,4.869214778325123e-05
152,+3.22807600E-05,1559380772.9776669,+1.57102010E+00,,6.42452092004381e-05,4.870162561576355e-05
153,+3.22854200E-05,1559380773.186,+1.57101890E+00,,6.549700109529025e-05,4.870162561576355e-05
154,+3.22794200E-05,1559380773.3943334,+1.57101890E+00,,6.636719605695509e-05,4.871545812807882e-05
155,+3.22820900E-05,1559380773.6026669,+1.57101640E+00,,6.636771631982476e-05,4.8724423645320196e-05
156,+3.23448500E-05,1559380773.811,+1.57101760E+00,,6.768057831325301e-05,4.872032512315271e-05
157,+3.23602200E-05,1559380774.0193334,+1.57101390E+00,,6.848560679079957e-05,4.8724167487684735e-05
