,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
136,+3.72093300E-05,1559361358.9476666,,6.132343373493976e-05
137,+3.72681000E-05,1559361359.156,,6.355637020810515e-05
138,+3.72307000E-05,1559361359.3643332,,6.350318072289156e-05
139,+3.72534100E-05,1559361359.5726666,,6.354515991237677e-05
140,+3.72661100E-05,1559361359.781,,6.364016976998905e-05
141,+3.72540900E-05,1559361359.9893332,,6.358728368017524e-05
142,+3.72954800E-05,1559361360.1976666,,6.357626067907995e-05
143,+3.72874800E-05,1559361360.406,,6.359740963855422e-05
144,+3.73282000E-05,1559361360.6143332,,6.3590856516977e-05
145,+3.73121800E-05,1559361360.8226666,,6.360156078860898e-05
146,+3.73161900E-05,1559361361.031,,6.360281927710843e-05
147,+3.73335600E-05,1559361361.2393332,,6.37261686746988e-05
148,+3.73435600E-05,1559361361.4476666,,6.377286308871851e-05
149,+3.73402300E-05,1559361361.656,,6.369956626506023e-05
150,+3.73863100E-05,1559361365.384,,6.375372508214677e-05
151,+3.73976600E-05,1559361365.5923333,,6.586040635268346e-05
152,+3.73776300E-05,1559361365.8006668,,6.584730010952903e-05
153,+3.74056800E-05,1559361366.009,,6.590164841182913e-05
154,+3.73876500E-05,1559361366.2173333,,6.801800438116101e-05
155,+3.73756300E-05,1559361366.4256668,,6.802344359255202e-05
156,+3.73849700E-05,1559361366.634,,6.791205805038334e-05
157,+3.73635900E-05,1559361366.8423333,,7.011741073384447e-05
158,+3.73743000E-05,1559361367.0506668,,7.012703066812706e-05
159,+3.73929900E-05,1559361367.259,,7.022483242059145e-05
160,+3.74043300E-05,1559361367.4673333,,7.222485542168675e-05
161,+3.73856500E-05,1559361367.6756668,,7.228192223439212e-05
162,+3.73662800E-05,1559361367.884,,7.23787743702081e-05
163,+3.73602700E-05,1559361368.0923333,,7.426531434830229e-05
164,+3.73983300E-05,1559361368.3006668,,7.428221029572837e-05
165,+3.73776300E-05,1559361368.509,,7.428426396495071e-05
166,+3.74036600E-05,1559361368.7173333,,7.428621686746988e-05
167,+3.74030000E-05,1559361368.9256668,,7.429240854326396e-05
168,+3.74230500E-05,1559361369.134,,7.429349397590361e-05
169,+3.74096900E-05,1559361369.3423333,,7.429897590361446e-05
170,+3.74010100E-05,1559361369.5506668,,7.431656626506024e-05
171,+3.73616000E-05,1559361369.759,,7.434367469879518e-05
172,+3.73616000E-05,1559361369.9673333,,7.434024644030668e-05
173,+3.73969900E-05,1559361370.1756668,,7.436469331872946e-05
174,+3.73909800E-05,1559361370.384,,7.436813581599124e-05
175,+3.73802900E-05,1559361373.856,,7.576319167579408e-05
176,+3.73929900E-05,1559361374.0643332,,7.655752464403067e-05
177,+3.73956600E-05,1559361374.2726667,,7.655938225629793e-05
178,+3.73789600E-05,1559361374.481,,7.867770974808324e-05
179,+3.74524300E-05,1559361374.6893332,,7.868771960569551e-05
180,+3.73682800E-05,1559361374.8976667,,7.869140854326397e-05
181,+3.73909900E-05,1559361375.106,,8.07969178532311e-05
182,+3.74003400E-05,1559361375.3143332,,8.079995618838992e-05
183,+3.73716200E-05,1559361375.5226667,,8.080273384446878e-05
184,+3.73749600E-05,1559361375.731,,8.298122124863089e-05
185,+3.73916600E-05,1559361375.9393332,,8.29877743702081e-05
186,+3.73335500E-05,1559361376.1476667,,8.299183899233297e-05
187,+3.73929900E-05,1559361376.356,,8.510035925520264e-05
188,+3.73923300E-05,1559361376.5643332,,8.51050317634173e-05
189,+3.73629300E-05,1559361376.7726667,,8.510859036144579e-05
190,+3.73081700E-05,1559361376.981,,8.511058707557503e-05
191,+3.73148500E-05,1559361377.1893332,,8.511507119386638e-05
192,+3.73141900E-05,1559361377.3976667,,8.511900547645127e-05
193,+3.72921400E-05,1559361377.606,,8.512311391018619e-05
194,+3.72914700E-05,1559361377.8143332,,8.512787294633078e-05
195,+3.72821200E-05,1559361378.0226667,,8.513054983570647e-05
196,+3.73035000E-05,1559361378.231,,8.513405038335159e-05
197,+3.72995000E-05,1559361378.4393332,,8.5139995618839e-05
198,+3.72747800E-05,1559361378.6476667,,8.514537677984666e-05
199,+3.72260300E-05,1559361378.856,,8.514925301204818e-05
200,+3.72447300E-05,1559361382.537,,8.549227710843373e-05
201,+3.72734400E-05,1559361382.7453332,,8.726012486308871e-05
202,+3.73342200E-05,1559361382.9536667,,8.726323548740416e-05
203,+3.73275500E-05,1559361383.162,,8.763279408543264e-05
204,+3.73275400E-05,1559361383.3703332,,8.924898466593647e-05
205,+3.73208700E-05,1559361383.5786667,,8.925594194961665e-05
206,+3.73729500E-05,1559361383.787,,8.997488937568455e-05
207,+3.74103400E-05,1559361383.9953332,,9.187906243154436e-05
208,+3.74297100E-05,1559361384.2036667,,9.188324644030668e-05
209,+3.74243700E-05,1559361384.412,,9.24026056955093e-05
210,+3.74090100E-05,1559361384.6203332,,9.361546768893758e-05
211,+3.74724600E-05,1559361384.8286667,,9.36202847754655e-05
212,+3.75245600E-05,1559361385.037,,9.431608543263965e-05
213,+3.74771400E-05,1559361385.2453332,,9.541509967141292e-05
214,+3.75105200E-05,1559361385.4536667,,9.541969989047097e-05
215,+3.74804700E-05,1559361385.662,,9.542419824753559e-05
216,+3.75045100E-05,1559361385.8703332,,9.543131544359255e-05
217,+3.75499300E-05,1559361386.0786667,,9.543475794085432e-05
218,+3.75559400E-05,1559361386.287,,9.544097809419496e-05
219,+3.75405800E-05,1559361386.4953332,,9.544437787513692e-05
220,+3.75839900E-05,1559361386.7036667,,9.544758926615553e-05
221,+3.75779700E-05,1559361386.912,,9.545133625410734e-05
222,+3.75465900E-05,1559361387.1203332,,9.54547491785323e-05
223,+3.76160400E-05,1559361387.3286667,,9.545709309967141e-05
224,+3.76167100E-05,1559361387.537,,9.54607677984666e-05
225,+3.76267200E-05,1559361391.056,,9.712609967141293e-05
226,+3.75900000E-05,1559361391.2643332,,9.808371522453451e-05
227,+3.76220400E-05,1559361391.4726667,,9.8085421686747e-05
228,+3.76193900E-05,1559361391.681,,9.933843811610077e-05
229,+3.76367500E-05,1559361391.8893332,,9.981846549835706e-05
230,+3.75906500E-05,1559361392.0976667,,9.982124315443594e-05
231,+3.76394200E-05,1559361392.306,,0.00010178458488499452
232,+3.76220500E-05,1559361392.5143332,,0.00010244213800657174
233,+3.75860000E-05,1559361392.7226667,,0.00010244320810514787
234,+3.76153700E-05,1559361392.931,,0.00010378099671412924
235,+3.76253900E-05,1559361393.1393332,,0.00010416858926615553
236,+3.75806500E-05,1559361393.3476667,,0.00010416981818181818
237,+3.76240500E-05,1559361393.556,,0.00010643429134720701
238,+3.75966800E-05,1559361393.7643332,,0.0001067912595837897
239,+3.75786500E-05,1559361393.9726667,,0.00010679370427163199
240,+3.75846600E-05,1559361394.181,,0.00010679447097480833
241,+3.75546000E-05,1559361394.3893332,,0.00010679603285870756
242,+3.75586000E-05,1559361394.5976667,,0.00010679761007667032
243,+3.75132000E-05,1559361394.806,,0.0001067995191675794
244,+3.75839800E-05,1559361395.0143332,,0.00010680545016429353
245,+3.75358900E-05,1559361395.2226667,,0.00010681122672508214
246,+3.75712900E-05,1559361395.431,,0.00010681947207009857
247,+3.75873200E-05,1559361395.6393332,,0.00010682987294633078
248,+3.75993500E-05,1559361395.8476667,,0.00010684070755750273
