,SQUID_Volt(V),timestamp,MOD_CURR(A)
106,+4.69428900E-05,1559359968.548,4.860112924424973e-05
107,+4.69562600E-05,1559359968.7563334,4.909589704271632e-05
108,+4.69295400E-05,1559359968.9646668,4.9096721796276014e-05
109,+4.70083500E-05,1559359969.173,5.084483023001095e-05
110,+4.69869700E-05,1559359969.3813334,5.130898904709748e-05
111,+4.69849700E-05,1559359969.5896668,5.1309147864184004e-05
112,+4.69822900E-05,1559359969.798,5.314325082146769e-05
113,+4.70030000E-05,1559359970.0063334,5.339093209200438e-05
114,+4.69923100E-05,1559359970.2146668,5.3390815991237675e-05
115,+4.69889800E-05,1559359970.423,5.33916265060241e-05
116,+4.69929800E-05,1559359970.6313334,5.3391713033953995e-05
117,+4.70043200E-05,1559359970.8396668,5.339214676889376e-05
118,+4.70303800E-05,1559359971.048,5.3392175246440304e-05
119,+4.70417300E-05,1559359971.2563334,5.339275465498357e-05
120,+4.70410600E-05,1559359971.4646668,5.339284118291347e-05
121,+4.70297200E-05,1559359971.673,5.339284118291347e-05
122,+4.70390600E-05,1559359971.8813334,5.339294194961665e-05
123,+4.70210300E-05,1559359972.0896668,5.339273932092004e-05
124,+4.70297200E-05,1559359972.298,5.339286966046002e-05
125,+4.70564200E-05,1559359975.898,4.680116429353779e-05
126,+4.70971600E-05,1559359976.1063333,5.499970098576123e-05
127,+4.71445800E-05,1559359976.3146667,5.50090317634173e-05
128,+4.70878100E-05,1559359976.523,5.6581670317634176e-05
129,+4.70804700E-05,1559359976.7313333,5.7189038335158816e-05
130,+4.70691100E-05,1559359976.9396667,5.7199063526834616e-05
131,+4.70697800E-05,1559359977.148,5.878590580503834e-05
132,+4.70397200E-05,1559359977.3563333,5.931030010952903e-05
133,+4.70971500E-05,1559359977.5646667,5.931937020810515e-05
134,+4.70524200E-05,1559359977.773,6.0960477546549836e-05
135,+4.70931600E-05,1559359977.9813333,6.142402847754655e-05
136,+4.70724400E-05,1559359978.1896667,6.142909090909091e-05
137,+4.70818000E-05,1559359978.398,6.331459145673603e-05
138,+4.70851400E-05,1559359978.6063333,6.359296823658269e-05
139,+4.71405700E-05,1559359978.8146667,6.35978291347207e-05
140,+4.71165200E-05,1559359979.023,6.360102628696604e-05
141,+4.71552700E-05,1559359979.2313333,6.360403504928807e-05
142,+4.71312100E-05,1559359979.4396667,6.360619058050383e-05
143,+4.71172000E-05,1559359979.648,6.360799890470975e-05
144,+4.70991700E-05,1559359979.8563333,6.360957502738226e-05
145,+4.71532600E-05,1559359980.0646667,6.361155640744797e-05
146,+4.71365600E-05,1559359980.273,6.361258378970428e-05
147,+4.71111900E-05,1559359980.4813333,6.36143778751369e-05
148,+4.71525800E-05,1559359980.6896667,6.36163165388828e-05
149,+4.71960000E-05,1559359980.898,6.361864512595838e-05
150,+4.71819800E-05,1559359984.497,6.506881489594743e-05
151,+4.71846400E-05,1559359984.7053332,6.572201423877328e-05
152,+4.71960000E-05,1559359984.9136667,6.572476232201534e-05
153,+4.71719600E-05,1559359985.122,6.72295399780942e-05
154,+4.71773000E-05,1559359985.3303332,6.782591566265061e-05
155,+4.71639500E-05,1559359985.5386667,6.782770974808324e-05
156,+4.71752900E-05,1559359985.747,6.943496166484118e-05
157,+4.71479200E-05,1559359985.9553332,6.998741840087623e-05
158,+4.71799700E-05,1559359986.1636667,6.999067360350494e-05
159,+4.71919900E-05,1559359986.372,7.174475575027381e-05
160,+4.71572600E-05,1559359986.5803332,7.208763417305587e-05
161,+4.71419100E-05,1559359986.7886667,7.209033953997809e-05
162,+4.71592800E-05,1559359986.997,7.384669331872947e-05
163,+4.71559300E-05,1559359987.2053332,7.412505585980285e-05
164,+4.71152000E-05,1559359987.4136667,7.412758707557502e-05
165,+4.71452400E-05,1559359987.622,7.413156516976999e-05
166,+4.71726200E-05,1559359987.8303332,7.413319934282585e-05
167,+4.71131800E-05,1559359988.0386667,7.413612157721796e-05
168,+4.71292200E-05,1559359988.247,7.413751040525739e-05
169,+4.71612700E-05,1559359988.4553332,7.413849397590361e-05
170,+4.71566000E-05,1559359988.6636667,7.414028806133625e-05
171,+4.71365600E-05,1559359988.872,7.4142139101862e-05
172,+4.71606000E-05,1559359989.0803332,7.414422234392113e-05
173,+4.71519200E-05,1559359989.2886667,7.414663855421687e-05
174,+4.71445800E-05,1559359989.497,7.414932858707557e-05
175,+4.71973400E-05,1559359993.098,7.562098028477547e-05
176,+4.71779700E-05,1559359993.3063333,7.631504381161008e-05
177,+4.71612800E-05,1559359993.5146668,7.631789266155532e-05
178,+4.71699600E-05,1559359993.723,7.780558707557502e-05
179,+4.71318900E-05,1559359993.9313333,7.842295509309968e-05
180,+4.71131800E-05,1559359994.1396668,7.842715005476451e-05
181,+4.71385700E-05,1559359994.348,7.997627710843373e-05
182,+4.71392300E-05,1559359994.5563333,8.053228368017525e-05
183,+4.71058500E-05,1559359994.7646668,8.053825848849945e-05
184,+4.70838100E-05,1559359994.973,8.233522672508214e-05
185,+4.71372300E-05,1559359995.1813333,8.2709426067908e-05
186,+4.71258800E-05,1559359995.3896668,8.271307119386639e-05
187,+4.71158600E-05,1559359995.598,8.45133691128149e-05
188,+4.71051700E-05,1559359995.8063333,8.481380503833515e-05
189,+4.71265500E-05,1559359996.0146668,8.481792771084338e-05
190,+4.71191900E-05,1559359996.223,8.482213800657174e-05
191,+4.71185200E-05,1559359996.4313333,8.482882037239868e-05
192,+4.71345700E-05,1559359996.6396668,8.483356516976998e-05
193,+4.71325600E-05,1559359996.848,8.483810733844468e-05
