,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
113,+4.70884800E-05,1559361867.2143333,,5.3313555312157724e-05
114,+4.70637700E-05,1559361867.4226668,,5.3313786418400875e-05
115,+4.70544300E-05,1559361867.631,,5.3314625410733846e-05
116,+4.70363800E-05,1559361867.8393333,,5.331404709748083e-05
117,+4.70597600E-05,1559361868.0476668,,5.331442278203724e-05
118,+4.70437400E-05,1559361868.256,,5.331491456736035e-05
119,+4.70357200E-05,1559361868.4643333,,5.3315175246440305e-05
120,+4.70297200E-05,1559361868.6726668,,5.3314538882803945e-05
121,+4.70550800E-05,1559361868.881,,5.3317286966046e-05
122,+4.70323800E-05,1559361869.0893333,,5.3317026286966044e-05
123,+4.70357300E-05,1559361869.2976668,,5.3317561883899236e-05
124,+4.70437400E-05,1559361869.506,,5.331750383351588e-05
125,+4.70590900E-05,1559361873.106,,5.562104709748083e-05
126,+4.70878000E-05,1559361873.3143332,,5.5606262869660456e-05
127,+4.71706300E-05,1559361873.5226667,,5.560604600219058e-05
128,+4.71552600E-05,1559361873.731,,5.778123548740417e-05
129,+4.71672900E-05,1559361873.9393332,,5.778107667031763e-05
130,+4.71632800E-05,1559361874.1476667,,5.778032420591456e-05
131,+4.71799800E-05,1559361874.356,,5.989282256297919e-05
132,+4.71886500E-05,1559361874.5643332,,5.98936900328587e-05
133,+4.71659500E-05,1559361874.7726667,,5.989413800657174e-05
134,+4.71826300E-05,1559361874.981,,6.200569112814896e-05
135,+4.71659500E-05,1559361875.1893332,,6.20069496166484e-05
136,+4.72527700E-05,1559361875.3976667,,6.200635706462212e-05
137,+4.71919800E-05,1559361875.606,,6.41834852135816e-05
138,+4.72320700E-05,1559361875.8143332,,6.418357174151151e-05
139,+4.72514400E-05,1559361876.0226667,,6.418153231106243e-05
140,+4.72761400E-05,1559361876.231,,6.418316648411829e-05
141,+4.72360600E-05,1559361876.4393332,,6.418367250821468e-05
142,+4.72494300E-05,1559361876.6476667,,6.418483023001095e-05
143,+4.72981800E-05,1559361876.856,,6.418361445783133e-05
144,+4.73135400E-05,1559361877.0643332,,6.418407776560788e-05
145,+4.73309000E-05,1559361877.2726667,,6.41860021905805e-05
146,+4.73549300E-05,1559361877.481,,6.418555312157721e-05
147,+4.73409200E-05,1559361877.6893332,,6.418692771084337e-05
148,+4.73656200E-05,1559361877.8976667,,6.418698576122673e-05
