,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
109,+4.73449300E-05,1559360735.54,,4.8652539978094195e-05
110,+4.72667900E-05,1559360735.7483332,,4.912406133625411e-05
111,+4.72968400E-05,1559360735.9566667,,4.912401861993429e-05
112,+4.72888300E-05,1559360736.165,,5.103415662650602e-05
113,+4.72741400E-05,1559360736.3733332,,5.133679189485213e-05
114,+4.72874900E-05,1559360736.5816667,,5.133695071193866e-05
115,+4.72955100E-05,1559360736.79,,5.133689266155531e-05
116,+4.72841500E-05,1559360736.9983332,,5.133726944140197e-05
117,+4.73028600E-05,1559360737.2066667,,5.133726944140197e-05
118,+4.73516100E-05,1559360737.415,,5.1337486308871854e-05
119,+4.73362400E-05,1559360737.6233332,,5.1337558598028476e-05
120,+4.73683000E-05,1559360737.8316667,,5.1337399780941946e-05
121,+4.73663000E-05,1559360738.04,,5.133803614457831e-05
122,+4.73682900E-05,1559360738.2483332,,5.133761664841183e-05
123,+4.73836600E-05,1559360738.4566667,,5.133776122672508e-05
124,+4.73970100E-05,1559360738.665,,5.133787623220153e-05
125,+4.74584600E-05,1559360742.265,,5.274257831325301e-05
126,+4.74711400E-05,1559360742.4733334,,5.3421077765607886e-05
127,+4.75138900E-05,1559360742.6816669,,5.3421324205914565e-05
128,+4.74571300E-05,1559360742.89,,5.495007009857612e-05
129,+4.74798300E-05,1559360743.0983334,,5.506177327491786e-05
130,+4.75232300E-05,1559360743.3066669,,5.510107667031764e-05
131,+4.75299100E-05,1559360743.515,,5.727716319824754e-05
132,+4.75325900E-05,1559360743.7233334,,5.7297429353778744e-05
133,+4.75532900E-05,1559360743.9316669,,5.7309985761226725e-05
134,+4.75886900E-05,1559360744.14,,5.941561007667032e-05
135,+4.75199000E-05,1559360744.3483334,,5.942713910186199e-05
136,+4.75659800E-05,1559360744.5566669,,5.9433981380065725e-05
137,+4.75653100E-05,1559360744.765,,6.153719277108434e-05
138,+4.75659800E-05,1559360744.9733334,,6.154663855421688e-05
139,+4.75232300E-05,1559360745.1816669,,6.155403066812706e-05
140,+4.75125500E-05,1559360745.39,,6.15588335158817e-05
141,+4.75152200E-05,1559360745.5983334,,6.156281161007668e-05
142,+4.74658000E-05,1559360745.8066669,,6.156658707557503e-05
143,+4.74310800E-05,1559360746.015,,6.15697404162103e-05
144,+4.74517800E-05,1559360746.2233334,,6.157273493975903e-05
145,+4.74477700E-05,1559360746.4316669,,6.15763077765608e-05
146,+4.73936800E-05,1559360746.64,,6.157907119386638e-05
147,+4.74130400E-05,1559360746.8483334,,6.158148630887185e-05
148,+4.74070400E-05,1559360747.0566669,,6.158393099671413e-05
149,+4.73669600E-05,1559360747.265,,6.158647754654985e-05
150,+4.72674500E-05,1559360750.977,,6.158977546549836e-05
151,+4.72774800E-05,1559360751.1853333,,6.375294414019716e-05
152,+4.72374000E-05,1559360751.3936667,,6.375548959474261e-05
153,+4.72267200E-05,1559360751.602,,6.386544359255203e-05
154,+4.72287200E-05,1559360751.8103333,,6.586470317634173e-05
155,+4.72427500E-05,1559360752.0186667,,6.586788499452354e-05
156,+4.72040200E-05,1559360752.227,,6.603027601314348e-05
157,+4.72040200E-05,1559360752.4353333,,6.797314676889376e-05
158,+4.72180400E-05,1559360752.6436667,,6.797627163198247e-05
159,+4.71859700E-05,1559360752.852,,6.833552573932092e-05
160,+4.72133600E-05,1559360753.0603333,,7.014197371303395e-05
161,+4.71606100E-05,1559360753.2686667,,7.014502628696605e-05
162,+4.71966700E-05,1559360753.477,,7.055218948521358e-05
163,+4.71900000E-05,1559360753.6853333,,7.224949069003286e-05
164,+4.71599400E-05,1559360753.8936667,,7.225390251916758e-05
165,+4.71706100E-05,1559360754.102,,7.225657831325302e-05
166,+4.71686300E-05,1559360754.3103333,,7.225892223439211e-05
167,+4.72247200E-05,1559360754.5186667,,7.22616856516977e-05
168,+4.71652800E-05,1559360754.727,,7.226373932092005e-05
169,+4.71926700E-05,1559360754.9353333,,7.226671960569551e-05
170,+4.71606000E-05,1559360755.1436667,,7.22683395399781e-05
