,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
145,+4.68587800E-05,1559364542.3246667,,6.395199123767798e-05,4.85088275862069e-05
146,+4.68641200E-05,1559364542.533,,6.395307557502737e-05,4.8510364532019704e-05
147,+4.68360600E-05,1559364542.7413332,,6.395384227820372e-05,4.850933990147783e-05
148,+4.68407600E-05,1559364542.9496667,,6.395445016429353e-05,4.850908374384236e-05
149,+4.68708000E-05,1559364543.158,,6.395466703176342e-05,4.851497536945812e-05
150,+4.69269000E-05,1559364546.902,,6.572887075575028e-05,4.8511133004926114e-05
151,+4.69602900E-05,1559364547.1103332,,6.606798795180723e-05,4.85088275862069e-05
152,+4.69549400E-05,1559364547.3186667,,6.606879846659364e-05,4.8512669950738914e-05
153,+4.68895100E-05,1559364547.527,,6.789140197152245e-05,4.851062068965517e-05
154,+4.69389200E-05,1559364547.7353332,,6.817839978094195e-05,4.850857142857143e-05
155,+4.69669600E-05,1559364547.9436667,,6.818010624315444e-05,4.851164532019704e-05
156,+4.69783200E-05,1559364548.152,,7.010664841182914e-05,4.8510748768472906e-05
157,+4.70063600E-05,1559364548.3603332,,7.03482530120482e-05,4.85163842364532e-05
158,+4.69950000E-05,1559364548.5686667,,7.034945454545454e-05,4.8510364532019704e-05
159,+4.69783200E-05,1559364548.777,,7.240675136911281e-05,4.851510344827586e-05
160,+4.69796500E-05,1559364548.9853332,,7.245746768893757e-05,4.8511773399014777e-05
161,+4.69522700E-05,1559364549.1936667,,7.245929025191676e-05,4.8511133004926114e-05
162,+4.69716400E-05,1559364549.402,,7.448455531215772e-05,4.851459113300493e-05
163,+4.69549400E-05,1559364549.6103332,,7.450201533406353e-05,4.851395073891625e-05
164,+4.69389300E-05,1559364549.8186667,,7.450331763417306e-05,4.8512157635467985e-05
165,+4.69001900E-05,1559364550.027,,7.450325958378971e-05,4.85152315270936e-05
166,+4.69135500E-05,1559364550.2353332,,7.450503833515882e-05,4.851062068965517e-05
167,+4.69175600E-05,1559364550.4436667,,7.450561774370208e-05,4.8512157635467985e-05
168,+4.68794800E-05,1559364550.652,,7.450665936473166e-05,4.851292610837438e-05
169,+4.68888300E-05,1559364550.8603332,,7.450843811610077e-05,4.851049261083744e-05
170,+4.68714700E-05,1559364551.0686667,,7.451010186199343e-05,4.851100492610837e-05
171,+4.68587800E-05,1559364551.277,,7.451096933187295e-05,4.8506009852216746e-05
172,+4.68514400E-05,1559364551.4853332,,7.451202628696605e-05,4.851190147783251e-05
173,+4.68394100E-05,1559364551.6936667,,7.451379079956188e-05,4.851459113300493e-05
174,+4.68220400E-05,1559364551.902,,7.451632201533406e-05,4.851241379310345e-05
175,+4.67519300E-05,1559364555.558,,7.556844140197153e-05,4.851190147783251e-05
176,+4.67285500E-05,1559364555.7663333,,7.668942825848851e-05,4.850933990147783e-05
177,+4.67345600E-05,1559364555.9746668,,7.669216210295728e-05,4.8513438423645324e-05
178,+4.67292200E-05,1559364556.183,,7.776619715224535e-05,4.8506009852216746e-05
179,+4.67238900E-05,1559364556.3913333,,7.880179627601314e-05,4.8506009852216746e-05
180,+4.67399100E-05,1559364556.5996668,,7.880328587075575e-05,4.851241379310345e-05
181,+4.66911600E-05,1559364556.808,,8.006119058050384e-05,4.85099802955665e-05
182,+4.67385800E-05,1559364557.0163333,,8.091290361445782e-05,4.851356650246306e-05
183,+4.67111900E-05,1559364557.2246668,,8.09149726177437e-05,4.851395073891625e-05
184,+4.67185400E-05,1559364557.433,,8.226744140197152e-05,4.851190147783251e-05
