,SQUID_Volt(V),timestamp,MAG_CURR(A)
138,+4.72627900E-05,1559362554.8453333,
139,+4.72547700E-05,1559362555.0536668,
140,+4.70043300E-05,1559362555.262,
141,+4.71365700E-05,1559362555.4703333,
142,+4.71132000E-05,1559362555.6786668,
143,+4.70631100E-05,1559362555.887,
144,+4.69549100E-05,1559362556.0953333,
145,+4.70611000E-05,1559362556.3036668,
146,+4.75118800E-05,1559362556.512,
147,+4.74584600E-05,1559362556.7203333,
148,+4.72260500E-05,1559362556.9286668,
149,+4.72320600E-05,1559362557.137,
150,+4.72788100E-05,1559362558.736,
151,+4.70076800E-05,1559362558.9443333,
152,+4.72487600E-05,1559362559.1526668,
153,+4.71986700E-05,1559362559.361,
154,+4.71152000E-05,1559362559.5693333,
155,+4.71051800E-05,1559362559.7776668,
156,+4.72621100E-05,1559362559.986,
157,+4.70163600E-05,1559362560.1943333,
158,+4.69936500E-05,1559362560.4026668,
159,+4.70257100E-05,1559362560.611,
160,+4.69535700E-05,1559362560.8193333,
161,+4.69515800E-05,1559362561.0276668,
162,+4.69028300E-05,1559362561.236,
163,+4.67826200E-05,1559362561.4443333,
164,+4.69268600E-05,1559362561.6526668,
165,+4.68707600E-05,1559362561.861,
166,+4.69636000E-05,1559362562.0693333,
167,+4.70978400E-05,1559362562.2776668,
168,+4.70744600E-05,1559362562.486,
169,+4.69843000E-05,1559362562.6943333,
170,+4.71091900E-05,1559362562.9026668,
171,+4.70958200E-05,1559362563.111,
172,+4.71699600E-05,1559362563.3193333,
173,+4.74257400E-05,1559362563.5276668,
174,+4.72334000E-05,1559362563.736,
175,+4.71960000E-05,1559362565.337,
176,+4.71098500E-05,1559362565.5453331,
177,+4.72841500E-05,1559362565.7536666,
178,+4.73489300E-05,1559362565.962,
179,+4.71178700E-05,1559362566.1703331,
180,+4.71766400E-05,1559362566.3786666,
181,+4.68554000E-05,1559362566.587,
182,+4.69482500E-05,1559362566.7953331,
183,+4.71258800E-05,1559362567.0036666,
184,+4.72240500E-05,1559362567.212,
