,SQUID_Volt(V),timestamp,MAG_CURR(A)
434,+1.83969070E-04,1559362440.278,
435,+1.83746670E-04,1559362440.4863334,
436,+1.84761110E-04,1559362440.6946669,
437,+1.85228590E-04,1559362440.903,
438,+1.86063370E-04,1559362441.1113334,
439,+1.84344400E-04,1559362441.3196669,
440,+1.86679780E-04,1559362441.528,
441,+1.85288030E-04,1559362441.7363334,
442,+1.82799710E-04,1559362441.9446669,
443,+1.83785420E-04,1559362442.153,
444,+1.85562500E-04,1559362442.3613334,
445,+1.84611520E-04,1559362442.5696669,
446,+1.87330240E-04,1559362442.778,
447,+1.85208560E-04,1559362442.9863334,
448,+1.85314070E-04,1559362443.1946669,
449,+1.88355370E-04,1559362443.403,
450,+1.81713160E-04,1559362445.004,
451,+1.84549420E-04,1559362445.2123332,
452,+1.84886670E-04,1559362445.4206667,
453,+1.84067240E-04,1559362445.629,
454,+1.84314330E-04,1559362445.8373332,
455,+1.84327030E-04,1559362446.0456667,
456,+1.84560090E-04,1559362446.254,
457,+1.85066310E-04,1559362446.4623332,
458,+1.84620870E-04,1559362446.6706667,
459,+1.84934080E-04,1559362446.879,
460,+1.85187840E-04,1559362447.0873332,
461,+1.87200010E-04,1559362447.2956667,
462,+1.86200280E-04,1559362447.504,
463,+1.85627280E-04,1559362447.7123332,
464,+1.86518160E-04,1559362447.9206667,
465,+1.85030920E-04,1559362448.129,
466,+1.94116700E-04,1559362448.3373332,
467,+1.86395950E-04,1559362448.5456667,
468,+1.84345060E-04,1559362448.754,
469,+1.94029210E-04,1559362448.9623332,
470,+1.88520990E-04,1559362449.1706667,
471,+1.89407860E-04,1559362449.379,
472,+1.89028540E-04,1559362449.5873332,
473,+1.87519240E-04,1559362449.7956667,
474,+1.91169590E-04,1559362450.004,
475,+1.78659860E-04,1559362451.604,
476,+1.83701280E-04,1559362451.8123333,
477,+1.79266920E-04,1559362452.0206668,
478,+1.81544860E-04,1559362452.229,
479,+1.90570550E-04,1559362452.4373333,
480,+1.90131790E-04,1559362452.6456668,
481,+1.89044570E-04,1559362452.854,
482,+1.91609690E-04,1559362453.0623333,
483,+1.93274580E-04,1559362453.2706668,
484,+1.87534590E-04,1559362453.479,
485,+1.91888170E-04,1559362453.6873333,
486,+1.89832600E-04,1559362453.8956668,
487,+1.90950540E-04,1559362454.104,
488,+1.90664710E-04,1559362454.3123333,
489,+1.88709320E-04,1559362454.5206668,
490,+1.92477190E-04,1559362454.729,
491,+1.89099990E-04,1559362454.9373333,
492,+1.92690220E-04,1559362455.1456668,
493,+1.88542360E-04,1559362455.354,
494,+1.88674590E-04,1559362455.5623333,
495,+1.89504700E-04,1559362455.7706668,
496,+1.93002760E-04,1559362455.979,
497,+1.89473310E-04,1559362456.1873333,
498,+1.91890840E-04,1559362456.3956668,
499,+1.90541830E-04,1559362456.604,
500,+1.92582030E-04,1559362458.204,
501,+1.91641740E-04,1559362458.4123333,
502,+1.91369270E-04,1559362458.6206667,
503,+1.94003170E-04,1559362458.829,
504,+1.90472370E-04,1559362459.0373333,
505,+1.92366330E-04,1559362459.2456667,
506,+1.92727620E-04,1559362459.454,
507,+1.92644150E-04,1559362459.6623333,
508,+1.93883630E-04,1559362459.8706667,
509,+1.91099460E-04,1559362460.079,
510,+1.92730300E-04,1559362460.2873333,
511,+1.91044700E-04,1559362460.4956667,
512,+1.94095330E-04,1559362460.704,
513,+1.93614490E-04,1559362460.9123333,
514,+1.93432190E-04,1559362461.1206667,
515,+1.92230090E-04,1559362461.329,
516,+1.96646420E-04,1559362461.5373333,
517,+1.97509920E-04,1559362461.7456667,
518,+1.96993030E-04,1559362461.954,
519,+1.94302360E-04,1559362462.1623333,
520,+1.90187220E-04,1559362462.3706667,
521,+1.90009570E-04,1559362462.579,
522,+1.93613160E-04,1559362462.7873333,
523,+1.92565340E-04,1559362462.9956667,
524,+1.93136340E-04,1559362463.204,
525,+1.97246800E-04,1559362464.804,
526,+1.94584170E-04,1559362465.0123332,
527,+1.92702920E-04,1559362465.2206666,
528,+1.94487330E-04,1559362465.429,
529,+1.93513650E-04,1559362465.6373332,
530,+1.92111890E-04,1559362465.8456666,
531,+1.91671790E-04,1559362466.054,
532,+1.92751670E-04,1559362466.2623332,
533,+1.94095330E-04,1559362466.4706666,
534,+1.92685550E-04,1559362466.679,
535,+1.91618370E-04,1559362466.8873332,
536,+1.93189760E-04,1559362467.0956666,
537,+1.90698770E-04,1559362467.304,
538,+1.94343770E-04,1559362467.5123332,
539,+1.93161710E-04,1559362467.7206666,
540,+1.93543040E-04,1559362467.929,
541,+1.92523270E-04,1559362468.1373332,
542,+1.91898850E-04,1559362468.3456666,
543,+1.91824730E-04,1559362468.554,
544,+1.89644940E-04,1559362468.7623332,
545,+1.92264160E-04,1559362468.9706666,
546,+1.93642550E-04,1559362469.179,
547,+1.94494680E-04,1559362469.3873332,
548,+1.93175730E-04,1559362469.5956666,
549,+1.92881890E-04,1559362469.804,
550,+1.90455020E-04,1559362471.404,
551,+1.93799480E-04,1559362471.6123333,
552,+1.90254660E-04,1559362471.8206668,
553,+1.88920350E-04,1559362472.029,
554,+1.95365520E-04,1559362472.2373333,
555,+1.89501360E-04,1559362472.4456668,
556,+1.93821520E-04,1559362472.654,
557,+1.97845840E-04,1559362472.8623333,
558,+1.90903790E-04,1559362473.0706668,
559,+1.91884830E-04,1559362473.279,
560,+1.96237050E-04,1559362473.4873333,
561,+1.91881490E-04,1559362473.6956668,
562,+1.92107880E-04,1559362473.904,
563,+1.92851180E-04,1559362474.1123333,
564,+1.92278850E-04,1559362474.3206668,
565,+1.92917950E-04,1559362474.529,
566,+1.98305330E-04,1559362474.7373333,
567,+1.94100010E-04,1559362474.9456668,
568,+1.93541040E-04,1559362475.154,
569,+1.98509010E-04,1559362475.3623333,
570,+1.96947610E-04,1559362475.5706668,
571,+1.95076360E-04,1559362475.779,
572,+1.95292070E-04,1559362475.9873333,
573,+1.92968040E-04,1559362476.1956668,
574,+1.92614100E-04,1559362476.404,
