,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
102,+4.71599500E-05,1559360403.2916667,,4.492216100766703e-05
103,+4.72006600E-05,1559360403.5,,4.6384207009857615e-05
104,+4.71546000E-05,1559360403.7083333,,4.703734501642935e-05
105,+4.71712900E-05,1559360403.9166667,,4.7037808324205913e-05
106,+4.71672900E-05,1559360404.125,,4.8671446878422784e-05
107,+4.72066900E-05,1559360404.3333333,,4.9122455640744795e-05
108,+4.71485800E-05,1559360404.5416667,,4.912296276013143e-05
109,+4.71465900E-05,1559360404.75,,5.0918228915662646e-05
110,+4.71833200E-05,1559360404.9583333,,5.133588061336255e-05
111,+4.71666200E-05,1559360405.1666667,,5.133644468784228e-05
112,+4.71699600E-05,1559360405.375,,5.308473713033954e-05
113,+4.71485800E-05,1559360405.5833333,,5.341931325301205e-05
114,+4.71859800E-05,1559360405.7916667,,5.341992113910186e-05
115,+4.71465700E-05,1559360406.0,,5.342028258488499e-05
116,+4.71258800E-05,1559360406.2083333,,5.342067250821468e-05
117,+4.71666200E-05,1559360406.4166667,,5.342084665936473e-05
118,+4.71499200E-05,1559360406.625,,5.342071631982475e-05
119,+4.71586100E-05,1559360406.8333333,,5.342051369112815e-05
120,+4.71566000E-05,1559360407.0416667,,5.342070208105148e-05
121,+4.71612800E-05,1559360407.25,,5.3420991237677985e-05
122,+4.71566000E-05,1559360407.4583333,,5.3421077765607886e-05
123,+4.71339000E-05,1559360407.6666667,,5.342116429353779e-05
124,+4.71225500E-05,1559360407.875,,5.3421135815991234e-05
125,+4.71652800E-05,1559360411.476,,5.402730668127054e-05
126,+4.71879800E-05,1559360411.6843333,,5.403223986856517e-05
127,+4.71672800E-05,1559360411.8926668,,5.393826834611172e-05
128,+4.71693000E-05,1559360412.101,,5.621765279299014e-05
129,+4.71626100E-05,1559360412.3093333,,5.628497918948522e-05
130,+4.71686200E-05,1559360412.5176668,,5.632710405257393e-05
131,+4.71719600E-05,1559360412.726,,5.841587185104053e-05
132,+4.71292300E-05,1559360412.9343333,,5.846456297918949e-05
133,+4.71365700E-05,1559360413.1426668,,5.8494767798466596e-05
134,+4.71272100E-05,1559360413.351,,6.057642497261774e-05
135,+4.70931500E-05,1559360413.5593333,,6.0605861993428256e-05
136,+4.71091900E-05,1559360413.7676668,,6.0615596933187296e-05
137,+4.70998400E-05,1559360413.976,,6.274477327491786e-05
138,+4.71172000E-05,1559360414.1843333,,6.27458291347207e-05
139,+4.71238800E-05,1559360414.3926668,,6.275429134720701e-05
140,+4.71338900E-05,1559360414.601,,6.276409857612267e-05
141,+4.71045100E-05,1559360414.8093333,,6.277423986856517e-05
142,+4.71412300E-05,1559360415.0176668,,6.277888280394304e-05
143,+4.71285400E-05,1559360415.226,,6.278595618838992e-05
144,+4.71305500E-05,1559360415.4343333,,6.279441840087624e-05
145,+4.71425800E-05,1559360415.6426668,,6.279816538882803e-05
146,+4.71185300E-05,1559360415.851,,6.280385104052575e-05
147,+4.71278800E-05,1559360416.0593333,,6.281061993428258e-05
148,+4.71646200E-05,1559360416.2676668,,6.28133691128149e-05
149,+4.71085200E-05,1559360416.476,,6.281626177437021e-05
150,+4.71359000E-05,1559360420.204,,6.282119496166484e-05
151,+4.71619400E-05,1559360420.4123333,,6.489278203723987e-05
152,+4.71692800E-05,1559360420.6206667,,6.489483680175246e-05
153,+4.71359000E-05,1559360420.829,,6.489968236582695e-05
154,+4.71278800E-05,1559360421.0373333,,6.697300657174151e-05
155,+4.71365600E-05,1559360421.2456667,,6.698154107338445e-05
156,+4.71432500E-05,1559360421.454,,6.703033296823657e-05
157,+4.72153700E-05,1559360421.6623333,,6.912419605695509e-05
158,+4.71686200E-05,1559360421.8706667,,6.913531982475356e-05
159,+4.71445800E-05,1559360422.079,,6.92394008762322e-05
160,+4.71899900E-05,1559360422.2873333,,7.123193428258489e-05
161,+4.72106900E-05,1559360422.4956667,,7.124706571741512e-05
162,+4.71799700E-05,1559360422.704,,7.139869441401972e-05
163,+4.72300700E-05,1559360422.9123333,,7.327470317634173e-05
164,+4.72033500E-05,1559360423.1206667,,7.329381270536692e-05
165,+4.72334000E-05,1559360423.329,,7.331763745892662e-05
166,+4.72340700E-05,1559360423.5373333,,7.334045016429354e-05
167,+4.72541000E-05,1559360423.7456667,,7.33544238773275e-05
168,+4.72100200E-05,1559360423.954,,7.33650843373494e-05
169,+4.72073600E-05,1559360424.1623333,,7.337768455640745e-05
170,+4.72434200E-05,1559360424.3706667,,7.339654764512596e-05
171,+4.72500900E-05,1559360424.579,,7.341933077765608e-05
172,+4.72661100E-05,1559360424.7873333,,7.343998795180722e-05
173,+4.72627800E-05,1559360424.9956667,,7.345659474260679e-05
174,+4.72454200E-05,1559360425.204,,7.347499452354874e-05
175,+4.73349100E-05,1559360428.676,,7.488465060240963e-05
176,+4.73048600E-05,1559360428.8843334,,7.5657e-05
177,+4.73222200E-05,1559360429.0926669,,7.566959912376779e-05
178,+4.73055200E-05,1559360429.301,,7.708978422782037e-05
179,+4.73269000E-05,1559360429.5093334,,7.778180503833515e-05
180,+4.74023600E-05,1559360429.7176669,,7.779148302300109e-05
181,+4.73168800E-05,1559360429.926,,7.939711719605696e-05
182,+4.73496000E-05,1559360430.1343334,,7.989842387732748e-05
183,+4.73442600E-05,1559360430.3426669,,7.991281708652793e-05
184,+4.73883200E-05,1559360430.551,,8.163300766703177e-05
185,+4.73809900E-05,1559360430.7593334,,8.209152464403068e-05
186,+4.73776400E-05,1559360430.9676669,,8.210500657174151e-05
187,+4.73903400E-05,1559360431.176,,8.383953997809419e-05
188,+4.73883400E-05,1559360431.3843334,,8.422628368017525e-05
189,+4.73990100E-05,1559360431.5926669,,8.42404600219058e-05
190,+4.73916700E-05,1559360431.801,,8.425616976998904e-05
191,+4.73856600E-05,1559360432.0093334,,8.426855202628697e-05
192,+4.73442500E-05,1559360432.2176669,,8.428055859802848e-05
193,+4.73903400E-05,1559360432.426,,8.429369331872945e-05
194,+4.73996900E-05,1559360432.6343334,,8.43031686746988e-05
195,+4.73956900E-05,1559360432.8426669,,8.431411938663746e-05
196,+4.73956700E-05,1559360433.051,,8.432255202628696e-05
197,+4.73502800E-05,1559360433.2593334,,8.432689266155532e-05
198,+4.73502800E-05,1559360433.4676669,,8.433146330777656e-05
199,+4.74217200E-05,1559360433.676,,8.433428368017525e-05
200,+4.73422500E-05,1559360437.275,,8.567749507119387e-05
201,+4.73462600E-05,1559360437.4833333,,8.643368893756846e-05
202,+4.73115400E-05,1559360437.6916668,,8.64424556407448e-05
203,+4.73162100E-05,1559360437.9,,8.788789594742607e-05
204,+4.73342300E-05,1559360438.1083333,,8.841878422782037e-05
205,+4.73569500E-05,1559360438.3166668,,8.842882365826944e-05
206,+4.73375800E-05,1559360438.525,,9.041669879518072e-05
207,+4.73088600E-05,1559360438.7333333,,9.104449616648412e-05
208,+4.73269000E-05,1559360438.9416668,,9.105227929901424e-05
209,+4.73576200E-05,1559360439.15,,9.242120810514786e-05
210,+4.73609500E-05,1559360439.3583333,,9.279252683461118e-05
211,+4.73616200E-05,1559360439.5666668,,9.280208871851041e-05
212,+4.73208900E-05,1559360439.775,,9.437979189485214e-05
213,+4.73395700E-05,1559360439.9833333,,9.459462102957284e-05
214,+4.73435900E-05,1559360440.1916668,,9.460723439211391e-05
215,+4.73282200E-05,1559360440.4,,9.461630449069003e-05
216,+4.72848200E-05,1559360440.6083333,,9.461754874041622e-05
217,+4.73115300E-05,1559360440.8166668,,9.46149452354874e-05
218,+4.73055300E-05,1559360441.025,,9.460438554216867e-05
219,+4.72948400E-05,1559360441.2333333,,9.459629901423878e-05
220,+4.72961600E-05,1559360441.4416668,,9.458192004381161e-05
221,+4.72754800E-05,1559360441.65,,9.456593537787513e-05
222,+4.73275700E-05,1559360441.8583333,,9.455186089813801e-05
223,+4.72941700E-05,1559360442.0666668,,9.455408762322015e-05
224,+4.72754800E-05,1559360442.275,,9.456846659364731e-05
225,+4.72120200E-05,1559360445.876,,9.627273822562978e-05
226,+4.71926600E-05,1559360446.0843332,,9.726815224534501e-05
227,+4.71960000E-05,1559360446.2926667,,9.732929901423877e-05
228,+4.72227200E-05,1559360446.501,,9.864252245345015e-05
229,+4.71833000E-05,1559360446.7093332,,9.913155093099672e-05
230,+4.71746300E-05,1559360446.9176667,,9.915324972617743e-05
231,+4.72300500E-05,1559360447.126,,0.0001011274830230011
232,+4.72694700E-05,1559360447.3343332,,0.00010171739211391019
233,+4.72120200E-05,1559360447.5426667,,0.00010161514895947425
234,+4.72006800E-05,1559360447.751,,0.0001028713187294633
235,+4.72474100E-05,1559360447.9593332,,0.00010325245892661556
236,+4.71826500E-05,1559360448.1676667,,0.0001032702803943045
237,+4.72280500E-05,1559360448.376,,0.00010555785761226725
