Time (s),SQUID voltage (V),SQUID Loop Voltage (V),Calculated Squid Current (uA),Temp Probe Voltage (V)
529.157999992,+9.05806300E-05,-1.50110000E-03,-14.7891625616,+7.20400000E-06
531.318000078,+9.05694100E-05,-1.50144000E-03,-14.7925123153,+7.34700000E-06
533.478999853,+9.05684700E-05,-1.50115200E-03,-14.7896748768,+7.64600000E-06
535.639999866,+9.05735500E-05,-1.50112600E-03,-14.7894187192,+8.01000000E-06
537.799999952,+9.05707400E-05,-1.50123100E-03,-14.790453202,+8.30900000E-06
539.960999966,+9.05675400E-05,-1.50154500E-03,-14.793546798,+8.64700000E-06
542.121000051,+9.05654000E-05,-1.50110000E-03,-14.7891625616,+8.69900000E-06
544.280999899,+9.05585900E-05,-1.50091600E-03,-14.7873497537,+9.14100000E-06
546.440999985,+9.05621900E-05,-1.50115200E-03,-14.7896748768,+9.45300000E-06
548.601000071,+9.05604600E-05,-1.50125700E-03,-14.7907093596,+9.79100000E-06
550.762000084,+9.05429600E-05,-1.50138800E-03,-14.792,+1.02070000E-05
552.921999931,+9.05370800E-05,-1.50133500E-03,-14.7914778325,+1.03110000E-05
555.082999945,+9.05421600E-05,-1.50151900E-03,-14.7932906404,+1.06230000E-05
557.243999958,+9.05414900E-05,-1.50123100E-03,-14.790453202,+1.12470000E-05
559.404999971,+9.05460300E-05,-1.50104700E-03,-14.7886403941,+1.14030000E-05
561.565999985,+9.05374900E-05,-1.50146600E-03,-14.7927684729,+1.17550000E-05
563.726000071,+9.05257300E-05,-1.50091600E-03,-14.7873497537,+1.18070000E-05
565.885999918,+9.05380200E-05,-1.50125700E-03,-14.7907093596,+1.24310000E-05
568.046999931,+9.05310700E-05,-1.50123100E-03,-14.790453202,+1.26780000E-05
570.207000017,+9.05175800E-05,-1.50134800E-03,-14.7916059113,+1.29900000E-05
572.368000031,+9.05231900E-05,-1.50157100E-03,-14.7938029557,+1.33020000E-05
574.529000044,+9.05223900E-05,-1.50136100E-03,-14.7917339901,+1.37440000E-05
576.688999891,+9.05264000E-05,-1.50138800E-03,-14.792,+1.37440000E-05
578.849999905,+9.05272000E-05,-1.50107300E-03,-14.7888965517,+1.44200000E-05
581.010999918,+9.05274700E-05,-1.50141400E-03,-14.7922561576,+1.41210000E-05
583.171000004,+9.05253300E-05,-1.50144000E-03,-14.7925123153,+1.51090000E-05
585.332000017,+9.05109100E-05,-1.50110000E-03,-14.7891625616,+1.50180000E-05
587.491999865,+9.05223900E-05,-1.50170200E-03,-14.7950935961,+1.55900000E-05
