Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA),SQUID Loop Voltage (V),Calculated Squid Current (uA)
37.6459999084,-1.77845600E-03,-17.6084752475,-1.63490800E-03,-16.1872079208
38.5220000744,-1.77865400E-03,-17.6104356436,-1.63506500E-03,-16.1887623762
39.3970000744,-1.77870400E-03,-17.6109306931,-1.63522300E-03,-16.1903267327
40.2720000744,-1.77854300E-03,-17.6093366337,-1.63488200E-03,-16.186950495
41.1480000019,-1.77856800E-03,-17.6095841584,-1.63454200E-03,-16.1835841584
42.0230000019,-1.78572900E-03,-17.6804851485,-1.63496100E-03,-16.1877326733
42.8989999294,-1.99808100E-03,-19.782980198,-1.63535300E-03,-16.1916138614
43.7750000954,-2.10508900E-03,-20.8424653465,-1.63522300E-03,-16.1903267327
44.6500000954,-2.21287500E-03,-21.9096534653,-1.63493500E-03,-16.1874752475
45.5260000229,-2.29303400E-03,-22.7033069307,-1.63527500E-03,-16.1908415842
46.4019999504,-2.44450500E-03,-24.203019802,-1.63524900E-03,-16.1905841584
47.2790000439,-2.57937500E-03,-25.5383663366,-1.63517000E-03,-16.1898019802
48.1540000439,-2.70565800E-03,-26.7886930693,-1.63524900E-03,-16.1905841584
49.0290000439,-2.52076100E-03,-24.958029703,-1.63509200E-03,-16.189029703
49.9049999714,-1.99699000E-03,-19.7721782178,-1.63522300E-03,-16.1903267327
50.7809998989,-1.77863000E-03,-17.6101980198,-1.63496100E-03,-16.1877326733
51.6559998989,-1.77833200E-03,-17.6072475248,-1.63496100E-03,-16.1877326733
52.5320000648,-1.77846900E-03,-17.6086039604,-1.63488200E-03,-16.186950495
53.4070000648,-1.77861700E-03,-17.6100693069,-1.63514400E-03,-16.1895445545
54.2829999924,-1.77788600E-03,-17.6028316832,-1.63519600E-03,-16.1900594059
55.1579999924,-1.77856800E-03,-17.6095841584,-1.63498700E-03,-16.187990099
56.0329999924,-1.77869200E-03,-17.6108118812,-1.63530100E-03,-16.1910990099
56.9079999924,-1.77880300E-03,-17.6119108911,-1.63511800E-03,-16.1892871287
57.7829999924,-1.77872900E-03,-17.6111782178,-1.63493500E-03,-16.1874752475
58.6579999924,-1.77849300E-03,-17.6088415842,-1.63472500E-03,-16.1853960396
59.5339999199,-1.77855500E-03,-17.6094554455,-1.63505200E-03,-16.1886336634
60.4089999199,-1.77880300E-03,-17.6119108911,-1.63493500E-03,-16.1874752475
61.2839999199,-1.77850600E-03,-17.608970297,-1.63519600E-03,-16.1900594059
62.1600000858,-1.77854300E-03,-17.6093366337,-1.63501300E-03,-16.1882475248
63.0350000858,-1.77865400E-03,-17.6104356436,-1.63519600E-03,-16.1900594059
63.9100000858,-1.77858000E-03,-17.6097029703,-1.63480400E-03,-16.1861782178
64.7860000134,-1.77876600E-03,-17.6115445545,-1.63503900E-03,-16.1885049505
65.6610000134,-1.77855500E-03,-17.6094554455,-1.63511800E-03,-16.1892871287
66.5360000134,-1.77860500E-03,-17.609950495,-1.63517000E-03,-16.1898019802
67.4110000134,-1.77889000E-03,-17.6127722772,-1.63480400E-03,-16.1861782178
68.2860000134,-1.77872900E-03,-17.6111782178,-1.63524900E-03,-16.1905841584
69.1619999409,-1.77854300E-03,-17.6093366337,-1.63520900E-03,-16.1901881188
70.0369999409,-1.77887700E-03,-17.6126435644,-1.63530100E-03,-16.1910990099
70.9119999409,-1.77870400E-03,-17.6109306931,-1.63530100E-03,-16.1910990099
71.7860000134,-1.77870400E-03,-17.6109306931,-1.63517000E-03,-16.1898019802
72.6610000134,-1.77881500E-03,-17.612029703,-1.63507900E-03,-16.1889009901
73.5360000134,-1.77854300E-03,-17.6093366337,-1.63503900E-03,-16.1885049505
74.4110000134,-1.77910000E-03,-17.6148514851,-1.63513100E-03,-16.1894158416
75.2850000858,-1.77880300E-03,-17.6119108911,-1.63454200E-03,-16.1835841584
76.1600000858,-1.77861700E-03,-17.6100693069,-1.63498700E-03,-16.187990099
77.0350000858,-1.77838200E-03,-17.6077425743,-1.63514400E-03,-16.1895445545
77.9100000858,-1.77861700E-03,-17.6100693069,-1.63490800E-03,-16.1872079208
78.7839999199,-1.77864200E-03,-17.6103168317,-1.63473800E-03,-16.1855247525
79.6589999199,-1.77841900E-03,-17.6081089109,-1.63501300E-03,-16.1882475248
80.5339999199,-1.77721700E-03,-17.5962079208,-1.63483000E-03,-16.1864356436
81.4089999199,-3.22000000E-07,-0.00318811881188,-1.63509200E-03,-16.189029703
82.2850000858,+0.00000000E-09,0.0,-1.63496100E-03,-16.1877326733
83.1600000858,+1.24000000E-07,0.00122772277228,-1.63520900E-03,-16.1901881188
84.0350000858,+3.96000000E-07,0.00392079207921,-1.63520900E-03,-16.1901881188
84.9110000134,+3.70000000E-08,0.000366336633663,+4.64700000E-06,0.0460099009901
85.7860000134,+2.35000000E-07,0.00232673267327,+4.35900000E-06,0.0431584158416
86.6619999409,+1.24000000E-07,0.00122772277228,+4.69900000E-06,0.0465247524752
87.5369999409,+2.23000000E-07,0.00220792079208,+4.59400000E-06,0.0454851485149
88.4110000134,+2.97000000E-07,0.00294059405941,+4.38500000E-06,0.0434158415842
89.2860000134,+2.85000000E-07,0.00282178217822,+4.83000000E-06,0.0478217821782
