Time (s),Temp Probe Voltage (V)
101.312999964,+6.09055270E-01
101.711999893,+6.08965370E-01
102.111999989,+6.08872090E-01
102.510999918,+6.08778170E-01
102.909999847,+6.08668650E-01
103.309999943,+6.08574850E-01
103.708999872,+6.08497030E-01
104.108999968,+6.08407000E-01
104.507999897,+6.08327360E-01
104.907999992,+6.08253440E-01
105.306999922,+6.08161680E-01
105.705999851,+6.07985900E-01
106.105999947,+6.07827800E-01
106.504999876,+6.07692160E-01
106.904999971,+6.07557310E-01
107.303999901,+6.07334380E-01
107.703999996,+6.07173670E-01
108.103999853,+6.06966980E-01
108.503000021,+6.06819390E-01
108.902999878,+6.06763660E-01
109.302000046,+6.06706370E-01
109.701999903,+6.06651150E-01
110.101999998,+6.06612960E-01
110.501999855,+5.71931720E-01
111.011999846,+6.06606980E-01
111.411000013,+6.06556840E-01
111.81099987,+1.78487000E-01
112.210999966,+6.06497330E-01
112.610999823,+6.06433420E-01
113.00999999,+6.06376900E-01
113.409999847,+6.06295710E-01
113.812000036,+6.06213080E-01
114.211999893,+6.06118370E-01
114.610999823,+6.06027950E-01
115.00999999,+6.05931030E-01
115.409999847,+6.05843210E-01
115.809999943,+6.05768250E-01
116.210000038,+6.05685230E-01
116.608999968,+6.05640150E-01
117.007999897,+6.05562850E-01
117.407999992,+6.05436580E-01
117.807999849,+6.05251970E-01
118.207000017,+6.04992790E-01
118.606999874,+6.04863650E-01
119.006999969,+6.04746470E-01
119.406999826,+6.04621490E-01
119.806999922,+6.04518080E-01
120.207000017,+6.04382960E-01
120.606999874,+6.04276430E-01
121.006000042,+6.04145350E-01
121.405999899,+6.04039600E-01
121.805999994,+6.03943330E-01
122.205999851,+6.03857590E-01
122.605000019,+6.03727150E-01
123.004999876,+6.03609450E-01
123.404999971,+6.03417040E-01
123.804999828,+6.03262710E-01
124.203999996,+6.03150980E-01
124.603999853,+6.03026910E-01
125.003999949,+6.02977410E-01
125.404000044,+6.02888810E-01
125.802999973,+6.02777730E-01
