Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
63.504999876,+5.03900000E-06,0.0498910891089
63.9429998398,+5.35300000E-06,0.053
64.381000042,+4.77700000E-06,0.047297029703
64.8190000057,+5.09200000E-06,0.0504158415842
65.2569999695,+5.09200000E-06,0.0504158415842
65.6949999332,+4.88200000E-06,0.0483366336634
66.1339998245,+4.62000000E-06,0.0457425742574
66.5720000267,+4.88200000E-06,0.0483366336634
67.010999918,+2.39500000E-06,0.0237128712871
67.4489998817,+1.58640000E-05,0.157069306931
67.8880000114,+3.86100000E-06,0.0382277227723
68.3259999752,+5.06500000E-06,0.0501485148515
68.763999939,+5.35300000E-06,0.053
69.2019999027,+5.61500000E-06,0.0555940594059
69.6399998665,+5.48400000E-06,0.054297029703
70.0779998302,+5.17000000E-06,0.0511881188119
70.5169999599,+5.30100000E-06,0.0524851485149
70.9549999237,+5.30100000E-06,0.0524851485149
71.3929998875,+5.35300000E-06,0.053
71.8299999237,+5.17000000E-06,0.0511881188119
72.2679998875,+5.40600000E-06,0.0535247524752
72.7070000172,+5.43200000E-06,0.0537821782178
73.1440000534,+5.61500000E-06,0.0555940594059
73.5829999447,+5.92900000E-06,0.058702970297
74.0199999809,+5.51000000E-06,0.0545544554455
74.4579999447,+2.60500000E-06,0.0257920792079
74.896999836,+5.56300000E-06,0.0550792079208
75.3350000381,+5.43200000E-06,0.0537821782178
75.7730000019,+5.35300000E-06,0.053
76.2100000381,+5.09200000E-06,0.0504158415842
76.6480000019,+4.80400000E-06,0.0475643564356
77.0869998932,+5.35300000E-06,0.053
77.5239999294,+5.74600000E-06,0.0568910891089
77.9619998932,+5.70700000E-06,0.056504950495
78.3999998569,-1.07394100E-03,-10.6330792079
78.8379998207,-1.63350800E-03,-16.1733465347
79.2749998569,-1.63345600E-03,-16.1728316832
79.7129998207,-1.63373000E-03,-16.1755445545
80.1499998569,-1.63350800E-03,-16.1733465347
80.5879998207,-1.63356000E-03,-16.1738613861
81.0260000229,-1.63388700E-03,-16.1770990099
81.4639999866,-1.63363900E-03,-16.1746435644
81.9019999504,-1.63361300E-03,-16.1743861386
82.3389999866,-1.63374300E-03,-16.1756732673
82.7779998779,-1.63356000E-03,-16.1738613861
83.2149999142,-1.63350800E-03,-16.1733465347
83.6540000439,-1.63327200E-03,-16.171009901
84.0920000076,-1.63342900E-03,-16.1725643564
84.5299999714,-1.63375700E-03,-16.1758118812
84.9670000076,-1.63391400E-03,-16.1773663366
85.4049999714,-1.63345600E-03,-16.1728316832
85.8429999352,-1.63332500E-03,-16.1715346535
86.2809998989,-1.63345600E-03,-16.1728316832
86.7179999352,-1.63342900E-03,-16.1725643564
87.1569998264,-1.63322000E-03,-16.1704950495
87.5950000286,-1.63342900E-03,-16.1725643564
88.0329999924,-1.63365200E-03,-16.1747722772
88.4709999561,-1.63332500E-03,-16.1715346535
88.9089999199,-1.63331200E-03,-16.1714059406
89.3469998837,-1.63342900E-03,-16.1725643564
89.7849998474,-1.63331200E-03,-16.1714059406
90.2239999771,-1.63328500E-03,-16.1711386139
90.6610000134,-1.63319400E-03,-16.1702376238
91.0989999771,-1.74926700E-03,-17.3194752475
91.5369999409,-2.14958300E-03,-21.283
91.9759998322,-2.53704300E-03,-25.1192376238
92.4140000343,-2.89924100E-03,-28.7053564356
92.8519999981,-3.21929300E-03,-31.8741881188
93.2909998894,-3.98185800E-03,-39.4243366337
93.7289998531,-4.90268300E-03,-48.5414158416
94.1670000553,-7.36006500E-03,-72.8719306931
94.6050000191,-1.17963440E-02,-116.795485149
95.0269999504,-4.02509200E-02,-398.523960396
95.4479999542,-6.07296020E-02,-601.283188119
95.868999958,-5.97693410E-02,-591.775653465
96.2909998894,-4.75612990E-02,-470.903950495
96.7119998932,-3.18004110E-02,-314.855554455
97.1339998245,-2.35867820E-02,-233.53249505
97.5549998283,-1.56555830E-02,-155.005772277
97.9769999981,-1.38889630E-02,-137.514485149
98.3980000019,-1.08454820E-02,-107.381009901
98.8199999332,-9.54679100E-03,-94.5226831683
99.257999897,-7.54615100E-03,-74.7143663366
99.6970000267,-6.55260500E-03,-64.8772772277
100.13499999,-5.50327200E-03,-54.4878415842
100.572000027,-4.59040600E-03,-45.4495643564
101.011999846,-3.68297100E-03,-36.4650594059
101.450000048,-3.43791900E-03,-34.0388019802
101.888000011,-3.05907100E-03,-30.2878316832
102.325999975,-2.75229100E-03,-27.2504059406
102.764999866,-2.53764500E-03,-25.1251980198
103.20299983,-2.31340400E-03,-22.904990099
103.639999866,-2.30919000E-03,-22.8632673267
104.07799983,-2.30810300E-03,-22.8525049505
104.51699996,-2.30758000E-03,-22.8473267327
104.954999924,-2.30542000E-03,-22.8259405941
105.392999887,-2.14375800E-03,-21.2253267327
105.830999851,-1.98666200E-03,-19.6699207921
106.269999981,-1.77002600E-03,-17.525009901
106.707999945,-1.63318100E-03,-16.1701089109
107.145999908,-1.63289300E-03,-16.1672574257
107.583999872,-1.63310200E-03,-16.1693267327
108.020999908,-1.63278800E-03,-16.1662178218
108.458999872,-1.63315400E-03,-16.1698415842
108.896999836,-1.63285300E-03,-16.1668613861
109.333999872,-1.63294500E-03,-16.1677722772
109.771999836,-1.63297100E-03,-16.168029703
110.210000038,-1.63333800E-03,-16.1716633663
110.646999836,-1.63315400E-03,-16.1698415842
111.085000038,-1.63333800E-03,-16.1716633663
111.523000002,-1.63308900E-03,-16.1691980198
111.960999966,-1.63332500E-03,-16.1715346535
112.398000002,-1.63307600E-03,-16.1690693069
112.835999966,-1.63329800E-03,-16.1712673267
113.273999929,-1.63265700E-03,-16.1649207921
113.711999893,-1.63346900E-03,-16.172960396
114.148999929,-1.63320700E-03,-16.1703663366
114.586999893,-1.63324600E-03,-16.1707524752
115.024999857,-1.63312800E-03,-16.1695841584
115.462999821,-1.63348200E-03,-16.1730891089
115.901000023,-1.63367800E-03,-16.175029703
116.337999821,-1.63323300E-03,-16.1706237624
116.77699995,-1.63320700E-03,-16.1703663366
117.214999914,-1.63346900E-03,-16.172960396
117.652999878,-1.63342900E-03,-16.1725643564
118.090999842,-1.63352100E-03,-16.1734752475
118.529999971,-1.63340300E-03,-16.1723069307
118.967999935,-1.63320700E-03,-16.1703663366
119.405999899,-1.63370400E-03,-16.1752871287
119.843999863,-1.63307600E-03,-16.1690693069
120.281999826,-1.63337700E-03,-16.172049505
120.720000029,-1.63340300E-03,-16.1723069307
121.15899992,-1.63333800E-03,-16.1716633663
121.596999884,-1.63341600E-03,-16.1724356436
122.036000013,-1.63333800E-03,-16.1716633663
122.473999977,-1.63357300E-03,-16.173990099
122.911999941,-1.63356000E-03,-16.1738613861
123.349999905,-1.63356000E-03,-16.1738613861
123.787999868,-1.63339000E-03,-16.1721782178
124.225999832,-1.63367800E-03,-16.175029703
124.664000034,-1.63315400E-03,-16.1698415842
125.101999998,-1.63349500E-03,-16.1732178218
125.539999962,-1.63352100E-03,-16.1734752475
125.978999853,-1.63331200E-03,-16.1714059406
126.417000055,-1.63360000E-03,-16.1742574257
126.853999853,-1.63362600E-03,-16.1745148515
127.292999983,-1.63305000E-03,-16.1688118812
127.730000019,-1.63336400E-03,-16.1719207921
128.16899991,-1.63328500E-03,-16.1711386139
128.606999874,-1.63325900E-03,-16.1708811881
129.044999838,-1.63346900E-03,-16.172960396
129.483999968,-1.63341600E-03,-16.1724356436
129.921999931,-1.63302400E-03,-16.1685544554
130.359999895,-1.63349500E-03,-16.1732178218
130.797999859,-1.63331200E-03,-16.1714059406
131.236999989,-1.63349500E-03,-16.1732178218
131.674999952,-1.63341600E-03,-16.1724356436
132.113999844,-1.63367800E-03,-16.175029703
132.552000046,-1.63386100E-03,-16.1768415842
132.99000001,-1.63352100E-03,-16.1734752475
133.427999973,-1.63339000E-03,-16.1721782178
133.865999937,-1.63388700E-03,-16.1770990099
134.303999901,-1.63349500E-03,-16.1732178218
134.741999865,-1.63333800E-03,-16.1716633663
135.179999828,-1.63331200E-03,-16.1714059406
135.618000031,-1.63328500E-03,-16.1711386139
136.057999849,-1.63333800E-03,-16.1716633663
136.496000051,-1.63365200E-03,-16.1747722772
136.934000015,-1.63325900E-03,-16.1708811881
137.371999979,-1.63341600E-03,-16.1724356436
137.81099987,-1.63357300E-03,-16.173990099
138.248999834,-1.63336400E-03,-16.1719207921
138.687000036,-1.63344200E-03,-16.1726930693
139.125,-1.63353400E-03,-16.1736039604
139.562999964,-1.63341600E-03,-16.1724356436
140.000999928,-1.63373000E-03,-16.1755445545
140.438999891,-1.63344200E-03,-16.1726930693
140.876999855,-1.63242200E-03,-16.1625940594
141.315999985,+7.13300000E-06,0.0706237623762
141.753999949,+6.29600000E-06,0.0623366336634
142.190999985,+6.58400000E-06,0.0651881188119
142.628000021,+6.27000000E-06,0.0620792079208
143.065999985,+6.42700000E-06,0.0636336633663
143.503999949,+6.42700000E-06,0.0636336633663
143.941999912,+6.45300000E-06,0.0638910891089
144.379999876,+6.53100000E-06,0.0646633663366
144.81799984,-8.81831000E-04,-8.731
145.254999876,-8.82839000E-04,-8.74098019802
145.69299984,-8.83271000E-04,-8.74525742574
146.131000042,-8.83585000E-04,-8.74836633663
146.569000006,-8.83402000E-04,-8.74655445545
147.006999969,-8.83690000E-04,-8.74940594059
147.444999933,-8.83677000E-04,-8.74927722772
147.881999969,-8.83533000E-04,-8.74785148515
148.319999933,-8.83612000E-04,-8.74863366337
148.757999897,-8.83913000E-04,-8.75161386139
149.195999861,-8.83742000E-04,-8.74992079208
149.633999825,-8.83690000E-04,-8.74940594059
150.072000027,-9.20928000E-04,-9.1180990099
150.510999918,-1.01167600E-03,-10.0165940594
150.947999954,-1.15360000E-03,-11.4217821782
151.386999846,-1.38087700E-03,-13.672049505
151.825000048,-1.66667500E-03,-16.5017326733
152.263000011,-2.02130800E-03,-20.012950495
152.700999975,-2.81205600E-03,-27.8421386139
153.138999939,-2.89901900E-03,-28.7031584158
