Time (s),Temp Probe Voltage (V)
80.0710000992,+1.03162460E+00
80.4289999008,+1.03097830E+00
80.7880001068,+1.03046830E+00
81.1470000744,+1.02996090E+00
81.504999876,+1.02943010E+00
81.8650000095,+1.02894860E+00
82.2239999771,+1.02824000E+00
82.5820000172,+1.02713180E+00
82.9409999847,+1.02640630E+00
83.2999999523,+1.02585600E+00
83.6589999199,+1.02536550E+00
84.0190000534,+1.02488920E+00
84.3770000935,+1.02441290E+00
84.736000061,+1.02398470E+00
85.0950000286,+1.02361220E+00
85.4539999962,+1.02328000E+00
85.8129999638,+1.02293480E+00
86.1719999313,+1.02263630E+00
86.5309998989,+1.02233130E+00
86.8910000324,+1.02202500E+00
87.25,+1.02172520E+00
87.6099998951,+1.02143070E+00
87.9690001011,+1.02112960E+00
88.3280000687,+1.02082330E+00
88.6870000362,+1.02050530E+00
89.0460000038,+1.02021200E+00
89.4049999714,+1.01992780E+00
89.763999939,+1.01962680E+00
90.1229999065,+1.01933610E+00
90.4809999466,+1.01903630E+00
90.8399999142,+1.01875850E+00
91.1989998817,+1.01847040E+00
91.5580000877,+1.01816550E+00
91.9179999828,+1.01789030E+00
92.2760000229,+1.01761390E+00
92.635999918,+1.01731150E+00
92.9949998856,+1.01703120E+00
93.3540000916,+1.01675610E+00
93.7130000591,+1.01646020E+00
94.0720000267,+1.01616950E+00
94.4309999943,+1.01590350E+00
94.7909998894,+1.01561660E+00
95.1500000954,+1.01531690E+00
95.5090000629,+1.01502360E+00
95.8680000305,+1.01474070E+00
96.2260000706,+1.01446290E+00
96.5850000381,+1.01417090E+00
96.9440000057,+1.01388540E+00
97.3029999733,+1.01358820E+00
97.6610000134,+1.01331050E+00
98.0190000534,+1.01301590E+00
98.378000021,+1.01271610E+00
98.7369999886,+1.01242930E+00
99.0969998837,+1.01211400E+00
99.4560000896,+1.01182070E+00
99.8139998913,+1.01153130E+00
100.174000025,+1.01123670E+00
100.532999992,+1.01093170E+00
100.89199996,+1.01061630E+00
101.250999928,+1.01033600E+00
101.609999895,+1.01001420E+00
101.970000029,+1.00973000E+00
102.328999996,+1.00940940E+00
102.687999964,+1.00912130E+00
103.046999931,+1.00882670E+00
103.405999899,+1.00853860E+00
103.763999939,+1.00822720E+00
104.124000072,+1.00793260E+00
104.483999968,+1.00763670E+00
104.842999935,+1.00734340E+00
105.201999903,+1.00703840E+00
105.562000036,+1.00674120E+00
105.921000004,+1.00645310E+00
106.279999971,+1.00615200E+00
106.638999939,+1.00584320E+00
106.997999907,+1.00553950E+00
107.356999874,+1.00524750E+00
107.71600008,+1.00493210E+00
108.075000048,+1.00463230E+00
108.434000015,+1.00431830E+00
108.79399991,+1.00401200E+00
109.152999878,+1.00373430E+00
109.512000084,+1.00342280E+00
109.871000051,+1.00312430E+00
110.229000092,+1.00282060E+00
110.588000059,+1.00253510E+00
110.944999933,+1.00222110E+00
111.303999901,+1.00193690E+00
111.663000107,+1.00163840E+00
112.020999908,+1.00134510E+00
112.379999876,+1.00104660E+00
112.739000082,+1.00072990E+00
113.09800005,+1.00045090E+00
113.457000017,+1.00014460E+00
113.815999985,+9.99842010E-01
114.21600008,+9.99513200E-01
114.61500001,+9.99136830E-01
115.013999939,+9.98890640E-01
115.414000034,+9.98598200E-01
115.813999891,+9.98310570E-01
116.213999987,+9.98021770E-01
116.612999916,+9.98224960E-01
117.012000084,+9.97833780E-01
117.411999941,+9.97439880E-01
117.811000109,+9.97091320E-01
118.210999966,+9.96766530E-01
118.611000061,+9.96447590E-01
119.00999999,+9.96133140E-01
119.410000086,+9.95817580E-01
119.809999943,+9.95505260E-01
120.208999872,+9.95194250E-01
120.60800004,+9.94879980E-01
121.007999897,+9.94569220E-01
121.407000065,+9.94256000E-01
121.808000088,+9.93944070E-01
122.207999945,+9.93632020E-01
122.60800004,+9.93322560E-01
123.007999897,+9.93012450E-01
123.407000065,+9.92700390E-01
123.806999922,+9.92391580E-01
124.207000017,+9.92080050E-01
124.606999874,+9.91773320E-01
125.006000042,+9.91465810E-01
125.404999971,+9.91161030E-01
125.805000067,+9.90852220E-01
126.203999996,+9.90547830E-01
126.604000092,+9.90242790E-01
127.003000021,+9.89939440E-01
127.402999878,+9.89635430E-01
127.802000046,+9.89331170E-01
128.201999903,+9.89030030E-01
128.601999998,+9.88725770E-01
129.002000093,+9.88426830E-01
129.40199995,+9.88124650E-01
129.80099988,+9.87826880E-01
130.201999903,+9.87531070E-01
130.601000071,+9.87246290E-01
131.000999928,+9.86961000E-01
131.400000095,+9.86669990E-01
131.799999952,+9.86378850E-01
132.200000048,+9.86088490E-01
132.598999977,+9.85798520E-01
132.999000072,+9.85507990E-01
133.398000002,+9.85221130E-01
133.796999931,+9.84931420E-01
134.197000027,+9.84643270E-01
134.596999884,+9.84355640E-01
134.996000051,+9.84065410E-01
135.395999908,+9.83782060E-01
135.796000004,+9.83501190E-01
136.194999933,+9.83246680E-01
136.595000029,+9.82901110E-01
136.994999886,+9.82592300E-01
137.394000053,+9.82305580E-01
137.79399991,+9.82023010E-01
138.193000078,+9.81738630E-01
138.592999935,+9.81453460E-01
138.992000103,+9.81168560E-01
139.392999887,+9.80879110E-01
139.792000055,+9.80600830E-01
140.193000078,+9.80334890E-01
140.592000008,+9.80077660E-01
140.992000103,+9.79835110E-01
141.39199996,+9.79592430E-01
141.790999889,+9.79363390E-01
142.190999985,+9.79132010E-01
142.589999914,+9.78912190E-01
142.99000001,+9.78712380E-01
143.388999939,+9.78497890E-01
143.789000034,+9.78278600E-01
144.187999964,+9.78083590E-01
144.588000059,+9.78232220E-01
144.987999916,+9.78716540E-01
145.387000084,+9.79088620E-01
145.786999941,+9.79383780E-01
146.187000036,+9.79601520E-01
146.586999893,+9.79797820E-01
146.986000061,+9.80003740E-01
147.38499999,+9.80222130E-01
147.785000086,+9.80407780E-01
148.184999943,+9.80574460E-01
148.583999872,+9.80756990E-01
148.983999968,+9.80959530E-01
149.382999897,+9.81172330E-01
149.782999992,+9.81362520E-01
150.183000088,+9.81498930E-01
150.582000017,+9.81645090E-01
150.981999874,+9.81823720E-01
151.381999969,+9.82036390E-01
151.780999899,+9.82200740E-01
152.180999994,+9.82343510E-01
152.578999996,+9.82507600E-01
152.979000092,+9.82596980E-01
153.378000021,+9.82716890E-01
153.777999878,+9.82885650E-01
154.177999973,+9.83043370E-01
154.578000069,+9.83175880E-01
154.976999998,+9.83309950E-01
155.377000093,+9.83443250E-01
155.77699995,+9.83577710E-01
156.17599988,+9.83704500E-01
156.576999903,+9.83841440E-01
156.976999998,+9.83975770E-01
157.375999928,+9.84090350E-01
157.776000023,+9.84192860E-01
158.17599988,+9.84275480E-01
158.575000048,+9.84376690E-01
158.974999905,+9.84460870E-01
159.375999928,+9.84559090E-01
159.775000095,+9.84674320E-01
160.174999952,+9.84794100E-01
160.573999882,+9.84908820E-01
160.973999977,+9.85015740E-01
161.372999907,+9.85122140E-01
161.773000002,+9.85236460E-01
162.173000097,+9.85347410E-01
162.572999954,+9.85457450E-01
162.971999884,+9.85564500E-01
163.371999979,+9.85666260E-01
163.770999908,+9.85766560E-01
164.171000004,+9.85862310E-01
164.571000099,+9.85955590E-01
164.970999956,+9.86042630E-01
165.369999886,+9.86129670E-01
165.769999981,+9.86213210E-01
166.16899991,+9.86293620E-01
166.569000006,+9.86370010E-01
166.969000101,+9.86443550E-01
167.368000031,+9.86514870E-01
167.767999887,+9.86581780E-01
168.167999983,+9.86648680E-01
168.566999912,+9.86709740E-01
168.967000008,+9.86771060E-01
169.365999937,+9.86827840E-01
169.765000105,+9.86882400E-01
170.164999962,+9.86934500E-01
170.565000057,+9.86985290E-01
170.963999987,+9.87030890E-01
171.364000082,+9.87074030E-01
171.763000011,+9.87110400E-01
172.163000107,+9.87119370E-01
172.562999964,+9.87125990E-01
172.961999893,+9.87129500E-01
173.361999989,+9.87137810E-01
173.760999918,+9.87139110E-01
174.161999941,+9.87140150E-01
174.562000036,+9.87144050E-01
174.960999966,+9.87144830E-01
175.361000061,+9.87147950E-01
175.760999918,+9.87147950E-01
176.161000013,+9.87154830E-01
176.559999943,+9.87166400E-01
176.958999872,+9.87194590E-01
177.358999968,+9.87228230E-01
177.757999897,+9.87262270E-01
178.157999992,+9.87281500E-01
178.558000088,+9.87292150E-01
178.957000017,+9.87305140E-01
179.356999874,+9.87319700E-01
179.756000042,+9.87334120E-01
180.155999899,+9.87347890E-01
180.555000067,+9.87369840E-01
180.954999924,+9.87403880E-01
181.355000019,+9.87443240E-01
181.754999876,+9.87482480E-01
182.154000044,+9.87520150E-01
182.552999973,+9.87555360E-01
182.953000069,+9.87586800E-01
183.352999926,+9.87620970E-01
183.752000093,+9.87649810E-01
184.152999878,+9.87678780E-01
184.552000046,+9.87702940E-01
184.951999903,+9.87732310E-01
185.351000071,+9.87774270E-01
185.750999928,+9.87785700E-01
186.151000023,+9.87807270E-01
186.55099988,+9.87838060E-01
186.950000048,+9.87931470E-01
187.349999905,+9.87981740E-01
187.749000072,+9.87967450E-01
188.148999929,+9.87956670E-01
188.548000097,+9.87926790E-01
188.947000027,+9.87868850E-01
189.346999884,+9.88048000E-01
189.746999979,+9.88187010E-01
190.145999908,+9.88138160E-01
190.546000004,+9.88059300E-01
190.944000006,+9.87998890E-01
191.344000101,+9.87967970E-01
191.744999886,+9.87948480E-01
192.144000053,+9.87979920E-01
192.54399991,+9.87998370E-01
192.944000006,+9.88062680E-01
193.342999935,+9.87889110E-01
193.743000031,+9.87468970E-01
194.142999887,+9.87063110E-01
194.542999983,+9.86624650E-01
194.941999912,+9.86088230E-01
195.342000008,+9.85489670E-01
195.742000103,+9.85025870E-01
196.141000032,+9.84598450E-01
196.539999962,+9.84130890E-01
196.940000057,+9.83617070E-01
197.339999914,+9.83079220E-01
197.74000001,+9.82553720E-01
198.140000105,+9.82007550E-01
198.539999962,+9.81476980E-01
198.938999891,+9.80826360E-01
199.338999987,+9.80112740E-01
199.737999916,+9.79363130E-01
200.138000011,+9.78565060E-01
200.538000107,+9.77627330E-01
200.937000036,+9.76701950E-01
201.336999893,+9.75548560E-01
201.736999989,+9.74336280E-01
202.135999918,+9.73124950E-01
202.536000013,+9.71872050E-01
202.936000109,+9.70558350E-01
203.335999966,+9.69280760E-01
203.734999895,+9.67782970E-01
204.134000063,+9.66305960E-01
204.53399992,+9.64824020E-01
204.933000088,+9.63308140E-01
205.332999945,+9.61776700E-01
205.73300004,+9.60119760E-01
206.132999897,+9.58418000E-01
206.532000065,+9.56619970E-01
206.931999922,+9.54423500E-01
207.33100009,+9.52014830E-01
207.730999947,+9.49523700E-01
208.129999876,+9.47135340E-01
208.529999971,+9.44834670E-01
208.930000067,+9.42614750E-01
209.329999924,+9.40473490E-01
209.730000019,+9.38402640E-01
210.128999949,+9.36336600E-01
210.527999878,+9.34296280E-01
210.927999973,+9.32517180E-01
211.328000069,+9.30880770E-01
211.726999998,+9.29270210E-01
212.128000021,+9.27705900E-01
212.52699995,+9.26148480E-01
212.927000046,+9.24584820E-01
213.326999903,+9.23021680E-01
213.726000071,+9.21263510E-01
214.125,+9.19664250E-01
214.525000095,+9.18209330E-01
214.924999952,+9.16759610E-01
215.323999882,+9.15011340E-01
215.723999977,+9.13612020E-01
216.124000072,+9.12133160E-01
216.523000002,+9.10553390E-01
216.923000097,+9.09110030E-01
217.322000027,+9.07921050E-01
217.721999884,+9.06839500E-01
218.121000051,+9.05716000E-01
218.520999908,+9.04626010E-01
218.921000004,+9.03516530E-01
219.319999933,+9.02413160E-01
219.720000029,+9.01326910E-01
220.121000051,+9.00227570E-01
220.519999981,+8.99120430E-01
220.91899991,+8.98015890E-01
