Time (s),SQUID voltage (V),SQUID Loop Voltage (V),Calculated Squid Current (uA),Temp Probe Voltage (V)
180.667999983,+1.73555560E-04,-3.10363900E-03,-30.5777241379,+8.78340000E-05
182.736999989,+1.73814540E-04,-3.10607400E-03,-30.6017142857,+8.75220000E-05
184.803999901,+1.73797450E-04,-3.10219900E-03,-30.5635369458,+8.81590000E-05
186.870999813,+1.62563140E-04,-2.90655800E-03,-28.6360394089,+8.77430000E-05
188.937999964,+1.62684950E-04,-2.90433300E-03,-28.6141182266,+8.79900000E-05
191.004999876,+1.63011120E-04,-2.92090400E-03,-28.7773793103,+8.80030000E-05
193.071999788,+1.63898790E-04,-2.92726500E-03,-28.8400492611,+8.74050000E-05
195.138999939,+1.63457630E-04,-2.92459500E-03,-28.8137438424,+8.76260000E-05
197.205999851,+1.66636740E-04,-2.98781500E-03,-29.4366009852,+8.77820000E-05
199.273000002,+1.68248080E-04,-3.00547200E-03,-29.6105615764,+8.79770000E-05
201.342000008,+1.68242740E-04,-3.00642700E-03,-29.6199704433,+8.78600000E-05
203.40899992,+1.68245010E-04,-3.00593000E-03,-29.6150738916,+8.78730000E-05
205.475999832,+1.68253960E-04,-3.00637500E-03,-29.6194581281,+8.80680000E-05
207.542999983,+1.68246750E-04,-3.00616500E-03,-29.6173891626,+8.79770000E-05
209.609999895,+1.68261710E-04,-3.00621800E-03,-29.61791133,+8.79770000E-05
211.677999973,+1.68253430E-04,-3.00653200E-03,-29.6210049261,+8.85230000E-05
213.744999886,+1.68241670E-04,-3.00595600E-03,-29.6153300493,+8.78860000E-05
215.811999798,+1.68250090E-04,-3.00608700E-03,-29.6166206897,+8.82500000E-05
217.879999876,+1.68254360E-04,-3.00624400E-03,-29.6181674877,+8.81330000E-05
219.946999788,+1.68294700E-04,-3.00676700E-03,-29.623320197,+8.78730000E-05
222.014999866,+1.68289090E-04,-3.00650600E-03,-29.6207487685,+8.80680000E-05
224.081999779,+1.68270790E-04,-3.00642700E-03,-29.6199704433,+8.80420000E-05
226.148999929,+1.68264380E-04,-3.00663700E-03,-29.6220394089,+8.80030000E-05
228.215999842,+1.68278800E-04,-3.00658400E-03,-29.6215172414,+8.74050000E-05
230.282999992,+1.68277070E-04,-3.00679400E-03,-29.6235862069,+8.78730000E-05
232.349999905,+1.68278270E-04,-3.00684600E-03,-29.6240985222,+8.79640000E-05
234.416999817,+1.68268120E-04,-3.00606100E-03,-29.616364532,+8.79120000E-05
236.484999895,+1.68243010E-04,-3.00566800E-03,-29.6124926108,+8.80290000E-05
238.552999973,+1.68233660E-04,-3.00587700E-03,-29.6145517241,+8.76520000E-05
240.619999886,+1.68246610E-04,-3.00577300E-03,-29.6135270936,+8.81330000E-05
242.686999798,+1.68251160E-04,-3.00624400E-03,-29.6181674877,+8.82110000E-05
244.753999949,+1.68246880E-04,-3.00577300E-03,-29.6135270936,+8.79510000E-05
246.820999861,+1.68249820E-04,-3.00595600E-03,-29.6153300493,+8.78080000E-05
248.888999939,+1.68246610E-04,-3.00593000E-03,-29.6150738916,+8.79640000E-05
250.955999851,+1.68238330E-04,-3.00647900E-03,-29.6204827586,+8.78990000E-05
253.023999929,+1.68250760E-04,-3.00595600E-03,-29.6153300493,+8.83020000E-05
255.090999842,+1.68242340E-04,-3.00598200E-03,-29.6155862069,+8.79770000E-05
257.15899992,+1.68246750E-04,-3.00585100E-03,-29.6142955665,+8.82110000E-05
259.224999905,+1.68255830E-04,-3.00645300E-03,-29.620226601,+8.83410000E-05
261.292999983,+1.68243280E-04,-3.00595600E-03,-29.6153300493,+8.80550000E-05
263.359999895,+1.68250490E-04,-3.00595600E-03,-29.6153300493,+8.79250000E-05
265.42599988,+1.68241810E-04,-3.00616500E-03,-29.6173891626,+8.81460000E-05
267.493999958,+1.68245150E-04,-3.00634900E-03,-29.6192019704,+8.79510000E-05
269.559999943,+1.68251420E-04,-3.00590400E-03,-29.614817734,+8.80290000E-05
271.627999783,+1.68241670E-04,-3.00632200E-03,-29.6189359606,+8.80680000E-05
273.695999861,+1.68245950E-04,-3.00624400E-03,-29.6181674877,+8.79900000E-05
275.763000011,+1.68239940E-04,-3.00603400E-03,-29.6160985222,+8.78860000E-05
277.830999851,+1.68251820E-04,-3.00573300E-03,-29.6131330049,+8.78340000E-05
279.898000002,+1.68240340E-04,-3.00603400E-03,-29.6160985222,+8.77820000E-05
281.964999914,+1.68243010E-04,-3.00595600E-03,-29.6153300493,+8.78860000E-05
284.032999992,+1.68234460E-04,-3.00587700E-03,-29.6145517241,+8.81720000E-05
286.099999905,+1.68239800E-04,-3.00594300E-03,-29.6152019704,+8.82110000E-05
288.166999817,+1.68223910E-04,-3.00598200E-03,-29.6155862069,+8.78730000E-05
290.234999895,+1.68223770E-04,-3.00598200E-03,-29.6155862069,+8.81590000E-05
