Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
107.703999996,+3.47000000E-07,0.00343564356436
108.146000147,+3.47000000E-07,0.00343564356436
108.587000132,+3.47000000E-07,0.00343564356436
109.029000044,+4.58000000E-07,0.00453465346535
109.470999956,+4.34000000E-07,0.00429702970297
109.913000107,+1.86000000E-07,0.00184158415842
110.355000019,+2.85000000E-07,0.00282178217822
110.79700017,+2.73000000E-07,0.00270297029703
111.239000082,+4.46000000E-07,0.00441584158416
111.680999994,+4.96000000E-07,0.00491089108911
112.121999979,+5.70000000E-07,0.00564356435644
112.56400013,+3.59000000E-07,0.00355445544554
113.006000042,+4.96000000E-07,0.00491089108911
113.447999954,+3.59000000E-07,0.00355445544554
113.890000105,+2.60000000E-07,0.00257425742574
114.332000017,-5.08000000E-07,-0.0050297029703
114.774000168,-1.26400000E-06,-0.0125148514851
115.21600008,-1.04100000E-06,-0.0103069306931
115.657999992,-3.16050000E-05,-0.312920792079
116.098999977,-1.01988000E-04,-1.00978217822
116.541000128,+2.47410000E-05,0.24496039604
116.98300004,-1.79186000E-04,-1.77411881188
117.424000025,-3.17910000E-05,-0.314762376238
117.866000175,-2.42532000E-04,-2.40130693069
118.308000088,-1.73685000E-04,-1.71965346535
118.75,-1.13980000E-05,-0.112851485149
119.193000078,-9.91000000E-07,-0.00981188118812
119.634000063,+1.24000000E-07,0.00122772277228
120.075999975,-1.38800000E-06,-0.0137425742574
120.518000126,-2.14300000E-06,-0.0212178217822
120.960000038,-2.09400000E-06,-0.0207326732673
121.401000023,-1.92000000E-06,-0.0190099009901
121.844000101,-1.75900000E-06,-0.0174158415842
122.286000013,-1.46200000E-06,-0.0144752475248
122.728000164,-1.90800000E-06,-0.0188910891089
123.169000149,-1.69700000E-06,-0.016801980198
123.613000154,-1.45000000E-06,-0.0143564356436
124.054000139,-1.66000000E-06,-0.0164356435644
124.496000051,-1.85800000E-06,-0.018396039604
124.937999964,-1.64800000E-06,-0.0163168316832
125.380000114,-1.57300000E-06,-0.0155742574257
125.822000027,-1.18900000E-06,-0.0117722772277
126.264000177,-1.32600000E-06,-0.0131287128713
126.70600009,-1.27600000E-06,-0.0126336633663
127.148000002,-1.18900000E-06,-0.0117722772277
127.590000153,-1.25100000E-06,-0.0123861386139
128.032000065,-1.11500000E-06,-0.0110396039604
128.47300005,-1.35000000E-06,-0.0133663366337
128.914999962,-1.21400000E-06,-0.0120198019802
129.35800004,-1.27600000E-06,-0.0126336633663
