Counter,Time(s),Temperature Voltage(V)Magnet Current(A),Field Coil Current(mA),SQUID Voltage(uV),Mod Coil Currnet(uA),Pickup Loop Current(uA),
0,35.6240000725,,,,+3.32905350E-04,19.1702157722,
0,36.5390000343,,,,-1.00518100E-02,20.7551916758,
0,37.4419999123,,,,+4.82298790E-03,20.7583307777,
0,38.3499999046,,,,+1.20402920E-02,20.7598214677,
0,39.2159998417,,,,-1.07786820E-02,22.3739145674,
0,40.1689999104,,,,+1.21365540E-02,22.3782245345,
0,41.0299999714,,,,-1.74850980E-02,22.3828105148,
0,41.9909999371,,,,+1.44731120E-02,23.9714424973,
0,42.8489999771,,,,-2.14748360E-02,23.9769967141,
0,43.8069999218,,,,+1.53613950E-02,23.9832891566,
0,44.7189998627,,,,-1.90362240E-02,25.5726933187,
0,45.6240000725,,,,+4.76817330E-03,25.5796363636,
0,46.5349998474,,,,-2.14748360E-02,25.5861894852,
0,47.4470000267,,,,-1.99947100E-03,27.177033954,
0,48.3529999256,,,,-2.14748360E-02,27.1850920044,
0,49.260999918,,,,-4.11078820E-03,27.1942343921,
0,50.1770000458,,,,+1.21185870E-02,28.8490788609,
0,51.0329999924,,,,-6.96524270E-03,28.858626506,
0,51.9909999371,,,,+1.79542360E-02,28.8667995619,
0,52.8529999256,,,,-1.37974850E-02,30.5252442497,
0,53.8059999943,,,,+1.33983870E-02,30.5324041621,
0,54.6670000553,,,,-2.10340990E-02,30.5403461117,
0,55.6289999485,,,,+1.18122470E-02,32.1819561884,
0,56.4849998951,,,,-2.14748360E-02,32.1913296824,
0,57.4429998398,,,,+1.58907590E-02,32.1995323111,
0,58.3550000191,,,,+1.62979420E-02,33.5902026287,
0,59.2130000591,,,,+1.74831840E-02,33.5972617744,
0,60.1229999065,,,,-2.14748360E-02,33.6043493976,
0,61.0839998722,,,,+6.46019220E-03,35.3588882804,
0,61.9889998436,,,,-1.67077190E-02,35.3619835706,
0,62.8959999084,,,,-4.47602010E-03,35.3639791895,
0,63.8129999638,,,,+1.62603120E-02,37.0164249726,
0,64.6689999104,,,,+1.76820360E-02,37.0178127054,
0,65.7030000687,,,,+1.14436070E-02,37.0196933187,
0,66.9930000305,,,,-1.96586390E-02,38.6711073384,
0,67.8980000019,,,,+6.55950270E-03,38.6723515882,
0,68.8079998493,,,,-2.07176180E-02,38.6754611172,
0,69.7189998627,,,,-2.77992740E-03,40.3302365827,
0,70.626999855,,,,+1.34821670E-02,40.3324063527,
0,71.4869999886,,,,-3.30990910E-04,40.3334479737,
0,72.4489998817,,,,+1.75151750E-02,41.7222081051,
0,73.3039999008,,,,-1.14030070E-02,41.7233943045,
0,74.2599999905,,,,+1.26380900E-02,41.7266210296,
0,75.1259999275,,,,-1.60743430E-02,43.3799748083,
0,76.0780000687,,,,+1.28835150E-02,43.3800470975,
0,76.9400000572,,,,-2.14748360E-02,43.3799748083,
0,77.8999998569,,,,+1.34552320E-02,45.0339518072,
0,78.8050000668,,,,+1.04870960E-02,45.0350361446,
0,79.6670000553,,,,+1.52446610E-02,45.0372070099,
0,80.5820000172,,,,-2.14748360E-02,46.6937864184,
0,81.5360000134,,,,+1.26131290E-02,46.6936998905,
0,82.3949999809,,,,-1.93667070E-02,46.694611172,
0,83.3550000191,,,,+2.93314860E-04,48.3471708653,
0,84.2619998455,,,,+1.00145910E-02,48.3473439211,
0,85.1229999065,,,,-3.88459440E-03,48.3478937568,
0,86.0839998722,,,,+1.63829690E-02,49.9702760131,
0,86.9409999847,,,,-2.30128940E-03,49.9719539978,
0,87.8819999695,,,,+1.77433250E-03,49.9727929901,
0,88.7920000553,,,,-6.49589620E-03,51.3568554217,
0,89.7149999142,,,,+1.43658140E-02,51.3599507119,
0,90.5769999027,,,,-2.09896490E-02,51.3584611172,
0,91.5379998684,,,,+1.14401740E-02,53.0089813801,
0,92.3949999809,,,,-2.14748360E-02,53.0089518072,
0,93.3529999256,,,,+1.58861750E-02,53.0137404162,
0,94.263999939,,,,+1.03714390E-02,54.6667897043,
0,95.121999979,,,,+1.64511880E-02,54.6687853231,
0,96.0320000648,,,,-2.14748360E-02,54.6674687842,
0,97.0699999332,,,,-2.14748360E-02,56.3233428258,
0,98.3059999943,,,,-1.71936840E-02,56.3246878423,
0,99.2130000591,,,,-2.07915360E-02,56.3240514786,
0,100.174999952,,,,+1.21732610E-02,57.9750898138,
0,101.032000065,,,,-2.14748360E-02,57.9765213582,
0,101.988999844,,,,+8.00671980E-03,57.976203724,
0,102.90199995,,,,-2.14748360E-02,59.6326670318,
0,103.806999922,,,,+1.33470940E-02,59.6308871851,
0,104.714999914,,,,+1.00092130E-02,59.6290503834,
0,105.580999851,,,,+1.85347430E-02,60.9893220153,
0,106.484999895,,,,-1.38647420E-02,60.9896396495,
0,107.444000006,,,,+1.04615090E-02,60.987686747,
0,108.307999849,,,,-1.30439510E-02,62.6433691128,
0,109.25999999,,,,+4.15981150E-03,62.6454370208,
0,110.171000004,,,,-1.18269020E-02,62.6440920044,
0,111.082999945,,,,+1.53078970E-03,64.2977491785,
0,111.988999844,,,,+1.04321310E-02,64.298905805,
0,112.848999977,,,,+5.86837570E-04,64.2983559693,
0,113.79399991,,,,-8.04614800E-05,65.9500065717,
0,114.697999954,,,,-2.75189750E-03,65.9506429354,
0,115.625,,,,+1.33532240E-02,65.9528127054,
0,116.493000031,,,,-1.57408880E-02,67.6023187295,
0,117.444000006,,,,+1.33134630E-02,67.6040843373,
0,118.303999901,,,,-2.14748360E-02,67.6033899233,
0,119.264999866,,,,+1.04561760E-02,69.7165345016,
0,120.16899991,,,,-2.09604990E-02,69.7187918949,
0,121.079999924,,,,+1.64535890E-02,69.7202092004,
0,121.993000031,,,,-2.13680600E-02,71.0869550931,
0,122.896999836,,,,+9.28340770E-03,71.0861883899,
0,123.805999994,,,,+1.47725460E-02,71.088026287,
0,124.671999931,,,,+1.38513350E-02,72.7545334064,
